産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,929473,1097627,593658,378200,438724,257329,347921,30279,551273,658903,336329
D 鉱業,1406690,1551064,901163,491909,545258,305109,470430,21479,914781,1005806,596054
E 建設業,873358,913935,562584,401046,422311,238179,370875,30171,472312,491624,324405
F 製造業,1167060,1349886,623391,378855,428151,232265,352915,25940,788205,921735,391126
G 電気・ガス・熱供給・水道業,1557525,1671350,888370,506214,540371,305411,456275,49939,1051311,1130979,582959
H 情報通信業,847675,922664,613840,389205,422340,285882,350484,38721,458470,500324,327958
I 運輸業,787812,823289,483436,353976,370076,215839,302324,51652,433836,453213,267597
J 卸売・小売業,825820,1094699,400156,354702,449777,204189,332142,22560,471118,644922,195967
K 金融・保険業,1225887,1661244,668695,482024,616393,310052,460083,21941,743863,1044851,358643
L 不動産業,870104,997583,563342,366914,418553,242651,336809,30105,503190,579030,320691
"M 飲食店,宿泊業",958168,1128081,604395,400242,455649,284880,371579,28663,557926,672432,319515
"N 医療,福祉",812486,936544,768023,336697,442150,298903,311667,25030,475789,494394,469120
"O 教育,学習支援業",1554588,1848212,1123839,460323,534995,350779,442243,18080,1094265,1313217,773060
P 複合サービス事業,467099,481715,397824,335638,368699,178935,279533,56105,131461,113016,218889
Q サービス業（他に分類されないもの）,864760,1077777,544482,356033,426691,249798,327467,28566,508727,651086,294684
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年１２月分,,,,,,,,,,,
第８－３表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模１００～４９９人）,,,,,,,,,,,
