産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
TL 調査産業計,379757,453658,250371,337388,400121,227554,316131,21257,42369,53537,22817
D 鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
E 建設業,429249,453427,265204,395451,418690,237774,359183,36268,33798,34737,27430
F 製造業,391256,450934,232601,388279,447425,231038,368133,20146,2977,3509,1563
G 電気・ガス・熱供給・水道業,504708,524058,372485,451268,469829,324439,397925,53343,53440,54229,48046
H 情報通信業,335462,353559,245356,328996,346600,241342,313945,15051,6466,6959,4014
I 運輸業,354771,370114,226070,354451,369756,226070,293733,60718,320,358,0
J 卸売・小売業,320209,412228,190604,306142,392841,184030,293411,12731,14067,19387,6574
K 金融・保険業,769321,1029463,437598,475663,594787,323760,448370,27293,293658,434676,113838
L 不動産業,416314,470240,267211,384940,435702,244584,368487,16453,31374,34538,22627
"M 飲食店,宿泊業",174488,230081,116738,174434,230034,116677,164024,10410,54,47,61
"N 医療,福祉",293507,409523,267282,274167,400828,245535,267489,6678,19340,8695,21747
"O 教育,学習支援業",484686,550098,402150,426269,480061,358395,403068,23201,58417,70037,43755
P 複合サービス事業,-,-,-,-,-,-,-,-,-,-,-
Q サービス業（他に分類されないもの）,392296,460283,253224,331761,382462,228050,304972,26789,60535,77821,25174
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,
第８－２表　産業、性別常用労働者の一人平均月間現金給与額　（事業所規模３０人～９９人）,,,,,,,,,,,
