産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,19.5,20,18.6,160.8,168.1,146.6,145.1,151.1,133.4,15.7,17,13.2
D 鉱業,19.4,19.4,19.1,161.1,161.5,159.5,144.4,145.2,141.4,16.7,16.3,18.1
E 建設業,21.7,21.9,20.5,181.2,182.6,171.1,164.6,165.4,158.7,16.6,17.2,12.4
F 製造業,19.9,20,19.3,162.8,167,150.1,149.6,153.3,138.5,13.2,13.7,11.6
G 電気・ガス・熱供給・水道業,19.3,19.5,18.2,160.8,164,142.1,143.8,146.2,130.1,17,17.8,12
H 情報通信業,19.9,20,19.4,176.5,180.1,165.7,150.3,152.2,144.6,26.2,27.9,21.1
I 運輸業,19.7,19.8,18.9,170,171.9,153.2,147.3,148.5,136.2,22.7,23.4,17
J 卸売・小売業,19.5,20,18.8,154.4,164.9,138.6,143.7,152.9,129.9,10.7,12,8.7
K 金融・保険業,18.3,19.2,17.2,149.3,155.2,141.8,133.5,140.7,124.5,15.8,14.5,17.3
L 不動産業,20.3,20.8,19,166.8,173.6,150.5,151.2,157.3,136.6,15.6,16.3,13.9
"M 飲食店,宿泊業",19.9,20.5,18.8,172.8,179.5,158.1,159.7,167,143.8,13.1,12.5,14.3
"N 医療,福祉",17.8,18,17.7,143.8,138.7,145.7,129.5,131.1,129,14.3,7.6,16.7
"O 教育,学習支援業",19,19.8,17.8,141.2,147.2,132.1,133.2,138.7,124.9,8,8.5,7.2
P 複合サービス事業,18.6,18.7,18.3,143.4,153.3,106.1,133.7,143.2,98.2,9.7,10.1,7.9
Q サービス業（他に分類されないもの）,19.4,19.7,18.7,159.3,165.8,149.1,144.9,150.3,136.5,14.4,15.5,12.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年４月分,,,,,,,,,,,,
第９－３表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模１００人～４９９人）,,,,,,,,,,,,
