産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
TL 調査産業計,18.5,19.6,17,142.9,158.1,121.8,134.7,147.1,117.6,8.2,11,4.2
D 鉱業,-,-,-,-,-,-,-,-,-,-,-,-
E 建設業,21.1,21.5,19.5,170.7,175.2,151.4,158.3,160.9,147.2,12.4,14.3,4.2
F 製造業,20.2,20.6,19.5,162.6,172,141.5,151.3,157.7,137.1,11.3,14.3,4.4
G 電気・ガス・熱供給・水道業,20.8,21.2,19,166.6,171.2,145.3,160.1,164.7,139.3,6.5,6.5,6
H 情報通信業,18.8,19.5,17.5,154.6,164.1,137.2,141.3,147.2,130.5,13.3,16.9,6.7
I 運輸業,20.2,20.3,19.7,174.4,181.2,129.9,149.9,153.5,126.2,24.5,27.7,3.7
J 卸売・小売業,18.3,19.3,16.9,139,152.7,119.5,133.2,145.7,115.5,5.8,7,4
K 金融・保険業,18.6,19.6,17.8,148,162.4,135.7,136.5,145.9,128.5,11.5,16.5,7.2
L 不動産業,20.1,20.3,19.4,160.2,165,147.4,152.7,155.7,144.7,7.5,9.3,2.7
"M 飲食店,宿泊業",15.8,17.5,14.3,111.5,134,92.6,106.2,125.4,90.1,5.3,8.6,2.5
"N 医療,福祉",16,16.5,15.8,111.8,120.8,109.3,108.4,115.6,106.4,3.4,5.2,2.9
"O 教育,学習支援業",16.2,16.2,16.3,119.3,119.3,119.3,117.9,118.4,117.6,1.4,0.9,1.7
P 複合サービス事業,18.5,19.5,17.4,139.2,151,127.5,132.6,144.1,121.1,6.6,6.9,6.4
Q サービス業（他に分類されないもの）,20.2,20.6,19.5,159.2,166.2,147,149.3,154.8,139.7,9.9,11.4,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成１９年３月分,,,,,,,,,,,,
第９－１表　産業、性別常用労働者の一人平均月間出勤日数及び実労働時間　（事業所規模５人～２９人）,,,,,,,,,,,,
