,給付項目,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
現物給付分,訪問介護[回],486220,502339,502447,518026,522036
現物給付分,訪問入浴介護[回],19946,19158,18163,16822,14694
現物給付分,訪問看護[回],51423,55442,56957,65533,75825
現物給付分,訪問リハビリテーション[回],3941,5556,6965,8268,9440
現物給付分,通所介護[回],266508,299736,337319,389944,429488
現物給付分,通所リハビリテーション[回],32641,31550,31844,32091,33161
現物給付分,福祉用具貸与[回],1033485,1108422,1194147,1279891,1366285
現物給付分,短期入所生活介護[回],29872,34076,36491,37982,40538
現物給付分,短期入所療養介護[回],10815,9188,7147,7255,6553
現物給付分,特定診療[件],8,23,12,0,1
現物給付分,居宅療養管理指導[回],42461,48095,57541,66700,75963
現物給付分,特定施設入居者生活介護[回],171160,176898,179850,183413,200270
現物給付分,認知症対応型共同生活介護[回],56986,57428,70381,80578,90843
現物給付分,夜間対応型訪問介護[回],2239,3358,1628,373,420
現物給付分,認知症対応型通所介護[回],16231,13647,14903,13712,14802
現物給付分,小規模多機能型居宅介護[回],19328,22404,23195,22187,22260
現物給付分,地域密着型特定施設入居者生活介護[回],,4920,7000,6925,7251
現物給付分,地域密着型介護老人福祉施設[回],,50,0,968,1038
現物給付分,定期巡回・随時対応型訪問介護看護[回],,2564,6085,6629,10143
現物給付分,複合型サービス[回],,161,2022,2128,2458
現物給付分,介護老人福祉施設[日],234821,254364,275108,281116,298029
現物給付分,介護老人保健施設[日],200005,200859,196708,197124,209863
現物給付分,介護療養型医療施設[日],23320,22041,20014,19337,18544
現物給付分,特定入所者介護サービス[件],14424,15152,16042,16332,15112
現物給付分,居宅サービス計画給付費[件],67877,71928,75751,80561,83150
現物給付分,高額介護サービス費[件],4851,5548,6346,6454,7357
償還払い分,福祉用具購入費[件],1122,1111,1088,1023,957
償還払い分,住宅改修費[件],1041,1136,1178,973,834
償還払い分,高額介護サービス費[件],20138,22451,24067,25684,28247
償還払い分,高額医療合算介護サービス費[件],1195,1268,1419,1533,1621
償還払い分,その他[件],5,2,0,2,0
