施設名,施設内容,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
すみだボランティアセンター,学習室,回数,512,629,755,637,632
すみだボランティアセンター,学習室,人数,11045,12087,11581,10943,11552
すみだボランティアセンター,グループ活動室,回数,498,641,979,741,712
すみだボランティアセンター,グループ活動室,人数,6376,7817,8760,7345,7600
すみだボランティアセンター,講習室・会議室,回数,200,215,276,220,209
すみだボランティアセンター,講習室・会議室,人数,1391,1548,1799,2576,2683
すみだボランティアセンター分館,講習室Ａ,回数,369,321,283,262,432
すみだボランティアセンター分館,講習室Ａ,人数,4179,5202,3827,5597,5335
すみだボランティアセンター分館,講習室Ｂ,回数,330,441,393,402,545
すみだボランティアセンター分館,講習室Ｂ,人数,3428,6237,4946,6953,6254
すみだボランティアセンター分館,ボランティア登録者数,団体,63,57,52,54,52
すみだボランティアセンター分館,ボランティア登録者数,個人,684,481,635,785,490
