,名称,所在地,開設年月日,敷地面積[㎡] ,建物面積[㎡],利用状況(27年度中) [人]幼児,利用状況(27年度中) [人]小学生,利用状況(27年度中) [人]中学生,利用状況(27年度中) [人]高校生,合計,備考
児童館,墨田児童会館,墨田2－30－15,昭46.11.1,"2,203","1,820",12534,40890,9631,1333,64388,指定管理者　社会福祉法人雲柱社
児童館,八広児童館,八広2－38－14,昭47.4.1,385,424,1751,25990,2123,33,29897,指定管理者　株式会社小学館集英社プロダクション
児童館,江東橋児童館,江東橋1－15－4,昭49.4.1,184,564,5869,17434,1051,52,24406,指定管理者　社会福祉法人雲柱社
児童館,東向島児童館,東向島6－6－12,昭50.7.21,512,"1,068",6934,29710,3480,5781,45905,指定管理者　一般財団法人本所賀川記念館
児童館,立花児童館,立花1－27－9,昭51.5.5,"1,084",625,5093,29475,2675,1412,38655,指定管理者　特定非営利活動法人ワーカーズコープ
児童館,立川児童館,立川1－5－2,昭54.6.1,"1,145",704,4990,24994,1672,163,31819,"立川保育園と併設　
指定管理者　特定非営利活動法人ワーカーズコープ"
児童館,文花児童館,文花1－32－11,昭55.5.1,500,833,7894,25268,3408,1984,38554,指定管理者　社会福祉法人雲柱社
児童館,中川児童館,立花5－18－9,昭58.4.1,341,590,3775,27045,2420,977,34217,指定管理者　社会福祉法人厚生館
児童館,外手児童館,本所2－6－9,昭58.9.1,353,622,7816,31154,2670,687,42327,指定管理者　社会福祉法人雲柱社
児童館,八広はなみずき児童館,八広4－27－8,昭60.5.1,507,"1,138",3439,34689,5177,1823,45128,指定管理者　特定非営利活動法人ワーカーズコープ
児童館,さくら橋コミュニティセンター,向島2－3－8,昭61.5.1,470,858,10460,31877,6029,2221,50587,指定管理者　社会福祉法人雲柱社
児童館,計,,,"7,684","9,118",70555,318526,40336,16466,445883,
児童館機能を持つ施設,家庭センター,亀沢3－24－2,昭46.1.23,690,(2711),674,9899,1561,12134,コミュニティセンター　指定管理者　一般財団法人墨田まちづくり公社,
児童館機能を持つ施設,社会福祉会館,東墨田2－7－1,昭49.9.19,"1,833",(2580),4991,8119,1680,14790,コミュニティセンター,
児童館機能を持つ施設,東駒形コミュニティ会館,東駒形4－14－1,昭57.5.1(児童室運営開始日),539,378(1502),2364,8215,261,10840,コミュニティセンター(図書室､集会室を併設)　指定管理者　東駒形TRC賀川記念館グループ,
児童館機能を持つ施設,梅若橋コミュニティ会館,堤通2－9－1,昭63.5.5(児童室運営開始日),"1,770",420(1897),3268,12122,399,15789,コミュニティセンター(図書室､集会室を併設)　指定管理者　梅若橋あすのすみだ,
児童館機能を持つ施設,横川コミュニティ会館,横川5－9－1,平7.5.1(児童室運営開始日),,509(2556),9014,35153,3171,47338,コミュニティセンター(図書室､集会室を併設)指定管理者　ソシオーク・テルウェル・東武ビルマネジメント共同企業体,
児童館機能を持つ施設,計,,,,,,,,,,
