区分,,平成23年,平成24年,平成25年,平成26年,平成27年
児童手当（国制度）,受給者,,15008,15069,15263,15356
児童手当（国制度）,児童,,23850,23845,24051,24115
特例給付（国制度）,受給者,,2560,2646,2834,3069
特例給付（国制度）,児童,,3141,3269,3502,3794
小学校修了前特例給付（国制度）,受給者,,,,,
小学校修了前特例給付（国制度）,児童,,,,,
子ども手当(国制度) ,受給者,17122,,,,
子ども手当(国制度) ,児童,26855,,,,
児童育成手当（区制度）育成手当,受給者,2419,2392,2363,2313,2298
児童育成手当（区制度）育成手当,児童,3484,3435,3354,3241,3192
児童育成手当（区制度）障害手当,受給者,156,149,134,137,129
児童育成手当（区制度）障害手当,児童,245,235,137,140,135
児童育成手当（区制度）育成障害手当,受給者,23,30,39,40,41
児童育成手当（区制度）育成障害手当,児童,36,42,42,40,39
児童扶養手当（国制度）,受給者,1902,1892,1855,1796,1764
児童扶養手当（国制度）,児童,2772,2735,2760,2651,2595
特別児童扶養手当（国制度）,受給者,214,220,224,232,231
特別児童扶養手当（国制度）,児童,217,223,229,237,238
