,名称,所在地,開設年月日,敷地面積[㎡],園庭面積[㎡],建物面積[㎡],定員[0歳],定員[1歳],定員[2歳],定員[3歳],定員[4～5歳],計,備考,,
1,江東橋,緑4－35－9,昭36.4.1,1408.78,311.5,1063.27,12,22,23,23,60,140,平4.4.1改築　ふれあいセンターに併設,,
1,江東橋（分園）,亀沢3-12-5,平21.4.1,129.41,0,129.41,,7,7,7,,21,シティハイム亀沢に併設,,
2,横川橋,太平1－27－13,昭36.4.1,1294.97,483,819.79,11,15,18,20,52,116,昭53.4.1改築,,
3,中川,東墨田2－1－15,昭38.12.1,1914,635.8,913.59,9,15,18,20,50,112,昭58.4.1改築,,
4,花園,東向島3－16－2,昭41.4.1,910.71,329.94,973.75,,20,24,25,50,119,平23.4.1改築,,
5,押上,押上2－10－17,昭41.5.1,1034.48,280.905,896.96,9,14,18,20,40,101,平7.4.1改築　　指定管理者　社会福祉法人雲柱社,,
6,福神橋,文花1－30－21－101,昭42.5.1,960.61,480,323.82,,7,10,16,40,73,都営住宅に併設,,
7,文花,文花1－24－5,昭43.4.1,826.48,405.6,860.09,,15,18,20,54,107,平1.9.1改築,,
8,あおやぎ,東向島4－37－17,昭43.11.1,1100.29,368.9,998.51,12,20,22,22,48,124,平16.4.1改築　　指定管理者　社会福祉法人厚生館,,
9,たちばな,立花3－21－16,昭44.7.15,928.52,240.6,866.1,9,10,16,16,40,91,平10.4.1改築,,
10,すみだ,墨田4－22－4－101,昭45.5.1,641,332,416.99,,10,12,20,45,87,都営住宅に併設,,
11,八広,八広3－7－5,昭46.7.1,905.14,414.1,1059.08,12,16,20,24,48,120,平26.5.12改築,,
12,東駒形,東駒形1－6－8,昭48.12.1,729.67,276.7,353.39,,8,12,15,32,67,本所保健センターに併設,,
13,亀沢,亀沢1－27－5,昭49.5.1,732.23,306,623.72,9,14,16,18,39,96,,,
14,ひきふね,八広1－1－18,昭51.5.1,1331.01,610,754.97,12,19,20,20,40,111,指定管理者　社会福祉法人愛理会,,
15,東あずま,立花1－27－6－101,昭51.5.1,2190,810,796.97,9,15,18,20,56,118,都営住宅に併設,,
16,おむらい,文花1－32－1－103,昭51.10.1,1843.8,840,786.8,11,15,18,20,52,116,都営住宅に併設,,
17,太平,太平1－13－10,昭52.4.1,1026.96,421.1,642.14,,10,18,19,42,89,,,
18,きんし,江東橋4－30－2-301,昭52.9.1,1479.65,430,821.56,,15,18,25,51,109,都営住宅に併設　　指定管理者　社会福祉法人仁風会館,,
19,鐘ケ淵北,堤通2－8－15－109,昭53.5.1,1489.41,772.8,1190.74,12,15,18,20,52,117,都営住宅に併設,,
20,梅若,墨田2－38－13,昭54.5.1,1594.94,550,916.68,9,15,18,20,52,114,,,
21,立川,立川1－5－2,昭54.5.1,1145.23,270,664.45,,12,17,20,42,91,立川児童館に併設,,
22,中川南,立花6－8－2－106,昭54.10.1,2157.16,650,806.5,9,15,18,20,52,114,都営住宅に併設,,
23,長浦,八広5－10－1－105,昭55.9.1,1594.29,720,741.98,12,15,20,20,52,119,都営住宅に併設,,
24,寺島,東向島1－23－10,昭56.5.1,825.58,365.1,693.62,,14,20,20,40,94,,,
25,水神,堤通2－6－9－103,昭57.5.1,1568.46,399.6,648.82,,14,16,20,40,90,都営住宅に併設,,
26,しらひげ,堤通2－5－5－101,昭58.4.1,1152.61,565.3,765.59,9,15,17,20,44,105,都営住宅に併設,,
27,横川さくら,横川5－9－1,平7.4.1,675.01,180.68,675.01,15,18,18,,,51,都営住宅に併設　指定管理者　社会福祉法人希望福祉会,,
27,横川さくら（分園）,立花1-23-5-206,平22.4.1,191.25,0,191.25,,15,15,,,30,サンタウン立花に併設　指定管理者　社会福祉法人希望福祉会,,
,計,27箇所,,,,,181,415,503,530,1213,2842,,,27箇所
