区分,,,平成23年度18歳未満,平成23年度18歳以上,平成23年度計,平成24年度18歳未満,平成24年度18歳以上,平成24年度計,平成25年度18歳未満,平成25年度18歳以上,平成25年度計,平成26年度18歳未満,平成26年度18歳以上,平成26年度計,平成27年度18歳未満,平成27年度18歳以上,平成27年度計
身体障害者,総数,,133,7599,7732,127,7858,7985,121,8173,8294,133,8134,8267,131,7991,8122
身体障害者,障害種別,視覚障害[人],7,537,544,8,546,554,7,557,564,7,545,552,5,539,544
身体障害者,障害種別,聴覚障害[人],15,610,625,10,646,656,10,670,680,13,686,699,14,698,712
身体障害者,障害種別,言語障害[人],0,101,101,0,102,102,0,110,110,0,116,116,0,117,117
身体障害者,障害種別,肢体不自由[人],91,3986,4077,88,4065,4153,82,4218,4300,87,4153,4240,88,4009,4097
身体障害者,障害種別,内部障害[人],20,2365,2385,21,2499,2520,22,2618,2640,26,2634,2660,24,2628,2652
身体障害者,障害程度別,1級[人],57,2583,2640,52,2671,2723,55,2779,2834,61,2761,2822,60,2713,2773
身体障害者,障害程度別,2級[人],30,1216,1246,24,1260,1284,22,1308,1330,22,1250,1272,21,1228,1249
身体障害者,障害程度別,3級[人],18,1292,1310,15,1335,1350,17,1389,1406,20,1385,1405,18,1335,1353
身体障害者,障害程度別,4級[人],9,1672,1681,9,1728,1737,10,1798,1808,13,1875,1888,14,1836,1850
身体障害者,障害程度別,5級[人],8,456,464,8,471,479,8,490,498,8,422,430,7,420,427
身体障害者,障害程度別,6級[人],7,380,387,7,393,400,9,409,418,9,441,450,11,459,470
知的障害者,総数,,323,1015,1338,354,1035,1389,378,1064,1442,415,1137,1552,415,1171,1586
知的障害者,程度別,1度[人],7,31,38,7,30,37,7,32,39,8,30,38,5,30,35
知的障害者,程度別,2度[人],73,280,353,79,283,362,82,287,369,92,302,394,83,307,390
知的障害者,程度別,3度[人],69,260,329,62,269,331,66,270,336,79,284,363,85,285,370
知的障害者,程度別,4度[人],174,444,618,206,453,659,223,475,698,236,521,757,242,549,791
