年次,総数[人],0～14歳(A),15～64歳(B),65歳以上(C),65歳以上の5歳階級分別人口[人]65～69,65歳以上の5歳階級分別人口[人]70～74,65歳以上の5歳階級分別人口[人]75～79,65歳以上の5歳階級分別人口[人]80～84,65歳以上の5歳階級分別人口[人]85～89,65歳以上の5歳階級分別人口[人]90～94,65歳以上の5歳階級分別人口[人]95～99,65歳以上の5歳階級分別人口[人]100歳以上,従属人口指数(A+C)÷B,老齢人口指数(C÷B)
平成24年,100.00%,10.75%,67.17%,22.08%,,,,,,,,,,
平成24年,240691,25864,161681,53146,14305,13669,11247,7330,4302,1768,459,66,48.9,32.9
平成25年,100.00%,10.73%,66.66%,22.61%,,,,,,,,,,
平成25年,242805,26056,161841,54908,14976,13911,11546,7698,4388,1830,489,70,50,33.9
平成26年,100.00%,10.64%,66.29%,23.07%,,,,,,,,,,
平成26年,245318,26106,162628,56584,15491,14471,11549,7953,4620,1913,517,70,50.8,34.8
平成27年,100.00%,10.63%,65.94%,23.43%,,,,,,,,,,
平成27年,248558,26416,163894,58248,16259,14668,11611,8273,4822,2000,542,73,51.7,35.5
平成28年,100.00%,0.1069,0.6569,0.2362,,,,,,,,,,
平成28年,251050,26846,164921,59283,17081,13818,11773,8864,4937,2155,582,73,52.2,35.9
