施設内容,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
障害者生活介護施設（はばたき福祉園）,在籍者数,46,47,47,50,53
身体障害者福祉センター,集会室利用者延数,4767,5077,5484,5942,5629
身体障害者福祉センター,講座参加者延数,839,823,962,962,1036
老人福祉センター,集会室利用者延数,8266,7867,7734,7543,6966
老人福祉センター,講座参加者延数,1599,1679,1577,1447,1564
高齢者在宅サービスセンター,デイサービス利用者延数,12412,12405,11896,10515,11774
要介護認定調査事務,受託件数,4125,4660,4632,4665,4682
要介護認定調査事務,調査実施件数,4001,4497,4473,4545,4361
こうめ高齢者支援総合センター,新規相談者数,536,560,466,524,587
こうめ高齢者支援総合センター,延べ相談件数,2122,2534,2780,2045,2192
児童デイサービス施設（みつばち園）,療育等相談延件数,801,728,712,791,811
児童デイサービス施設（みつばち園）,個別指導(在籍者)利用者数,142,149,172,187,210
児童デイサービス施設（みつばち園）,集団指導利用(在籍者)者数,64,75,77,84,85
児童デイサービス施設（みつばち園）,巡回相談･指導利用件数,36,46,54,64,83
健康増進事業,体育実技指導利用者延数,1240,1211,1191,1207,1196
機能訓練事業,相談件数,1030,1045,1003,434,624
機能訓練事業,訓練実施延回数,12873,12078,11593,10727,8678
こうめ高齢者みまもり相談室,相談件数,177,587,1193,1655,1327
相談支援事業所,サービス利用計画作成数,,121,343,386,396
休日応急診療所,開設日数,71,72,71,72,72
休日応急診療所,患者延人数,4571,4891,4971,5541,5577
心身障害児(者)歯科相談事業,開設日数,71,69,68,68,68
心身障害児(者)歯科相談事業,患者延人数,644,612,586,576,597
