区分,平成23年度保護延人数,平成23年度年間保護費支給額,平成23年度1人当たりの保護費,平成24年度保護延人数,平成24年度年間保護費支給額,平成24年度1人当たりの保護費,平成25年度保護延人数,平成25年度年間保護費支給額,平成25年度1人当たりの保護費,平成26年度保護延人数,平成26年度年間保護費支給額,平成26年度1人当たりの保護費,平成27年度保護延人数,平成27年度年間保護費支給額,平成27年度1人当たりの保護費
生活,89456,5484315394,61307,92165,5609291803,60861,93210,5515444240,59172.23731,90360,5458940325,60413.23954,91318,5267835926,57686.72032
住宅,85124,3332726345,39151,88358,3455986293,39113,89696,3528705928,39340.72788,89871,3529990921,39278.42041,88980,3539545665,39779.11514
教育,5138,58248940,11337,5262,65107114,12373,4970,58227444,11715.7835,4679,55125816,11781.53794,4523,51949064,11485.53261
医療,87450,6437838425,73617,89136,6528792867,73245,89704,6651738362,74152.08198,89356,6303357716,70542.0757,89929,6498386094,72261.29607
出産,2,413950,206975,0,0,0,0,0,0,2,317500,158750,1,247000,247000
生業,1876,31360195,16717,2124,33810480,15918,2302,35399475,15377.70417,2256,37100506,16445.25975,2251,38040114,16899.20657
葬祭,290,48997653,168957,262,46413261,177150,287,51016154,177756.6341,266,48974284,184113.8496,254,43114844,169743.4803
授産施設費,354,28848360,81493,367,30787050,83888,350,28535500,81530,357,29680980,83140,357,30252180,84740
保護施設費,777,73272399,94302,694,68927717,99319,751,70439495,93794.26764,685,70283375,102603.4672,627,67485423,107632.2536
介護,12829,503018766,39210,13972,528442250,37822,15125,548111409,36238.77084,16120,553112141,34312.16756,15957,597513634,37445.2362
計,283296,15999040427,,292340,16367558835,,296395,16487618007,,293952,16086883564,,294197,16134369944,
