区分,,平成23年,平成24年,平成25年,平成26年,平成27年,備考
後期高齢者医療被保険者数,国制度,24642,25267,25757,26385,27267,H20.3老人保健法廃止　H20.4後期高齢者医療制度開始
後期高齢者医療被保険者数,都制度,,,,,,H19.6.30事業廃止
高齢者軽度生活援助サービス事業,利用者数,31,26,35,31,24,H12.4より開始
高齢者軽度生活援助サービス事業,延派遣回数,1553,1564,1246,1274,1240,
介護軽度者に対するホームヘルプサービス事業,利用者数,152,125,107,112,87,H20.7より開始
介護軽度者に対するホームヘルプサービス事業,延派遣回数,3231,2824,2715,2463,2145,
高齢者福祉電話設置,設置数,170,167,174,171,161,S48.11開始
高齢者にこにこ入浴証,交付枚数,1907,12864,1538,11950,1405,2年に1回一斉交付
高齢者にこにこ入浴証,延利用者数,357137,352498,332866,329505,306754,
友愛訪問,訪問員数,5,,,,,S48.11開始
友愛訪問,訪問対象者数,5,,,,,H24.4.1廃止
ねたきり高齢者布団乾燥サービス,利用者数,108,115,131,96,114,S53.6開始
ねたきり高齢者布団乾燥サービス,延乾燥件数,486,476,389,360,335,
ねたきり高齢者介助者慰労,助成者数,223,228,218,196,168,S58.4開始
長寿マッサージ,延利用者数,2016,2016,1961,2015,1971,S53.10開始
ねたきり高齢者紙おむつ等支給,現物延支給件数,15392,15284,15457,16430,16892,S56.10開始
ねたきり高齢者紙おむつ等支給,現金延支給件数,1527,1413,1387,1645,1624,
高齢者相談員活動推進,相談員数,178,175,178,171,173,S50.4開始
老人クラブ指導員設置,指導員数,1,1,1,1,1,S53.4開始
シルバー人材センター運営助成,補助金,113659,110999,106886,106666,102490,賛助会費5万円を除く
シルバー人材センター運営助成,貸付金,0,0,0,0,0,
長寿者祝金贈呈,最高齢者,2,2,2,2,2,S38.9開始
長寿者祝金贈呈,喜寿,2625,2452,2520,2216,2334,H10開始
長寿者祝金贈呈,米寿,867,966,983,945,1010,
長寿者祝金贈呈,満１００歳,30,48,39,38,41,Ｈ12.4開始
浴場ゆず湯､菖蒲湯助成,利用者数(ゆず),3148,4592,3129,3121,2967,
浴場ゆず湯､菖蒲湯助成,利用者数(菖蒲),3233,2830,2889,2770,2737,
高齢者福祉電話訪問,訪問員,2,,,,,ひとりぐらし老人電話料助成の交信回数を含む。H24年度から高齢者みまもり相談室に業務委託している。
高齢者福祉電話訪問,交信回数,10638,,,,,
ひとりぐらし高齢者緊急通報システム,年度末設置台数,0,,,,,S63.10開始　H24.3.31廃止→民間型へ移行
ひとりぐらし高齢者民間型緊急通報システム,年度末設置台数,811,1000,1150,1247,1268,H16.10開始
ひとりぐらし高齢者等食事サービス,年度末登録者数,2387,2594,2648,2808,2749,S63.6開始
ふれあい給食,実施回数,189,232,171,204,169,H2.6開始（公立保育園含む）※区立保育園：事業内容の変更のため平成25年度以降は、地域交流事業として実施(実績含まず。）
ふれあい給食,延人数,4240,4163,3788,4134,3741,
高齢者理美容サービス,利用者数,726,690,681,810,681,H4.8開始。H13.4美容サービス開始。
高齢者補聴器購入費助成,支給決定者数,,,,,39,H27.9開始
高齢者補聴器購入費助成,支出件数,,,,,27,
生活支援型ホームヘルパー派遣,派遣世帯,,,,,,H12より開始。H18.3事業廃止。H18のみ「自立支援型ホームヘルプサービス事業」として実施
生活支援型ホームヘルパー派遣,延派遣回数,,,,,,
生活支援型日常生活用具の給付,給付件数,669,622,661,602,575,H12より開始
自立支援住宅改修費の助成,助成件数,219,299,483,428,452,Ｈ12より開始
自立支援型デイ･サービス,実人員,8,3,0,0,0,H12より開始。H18より介護予防事業として位置づけた。H28.3.31事業廃止
自立支援型デイ･サービス,延回数,245,94,0,0,0,
介護者教室,開催回数,49,49,57,57,,Ｈ16より開始　H27.3.31事業廃止
介護者教室,参加人数,492,569,765,765,,
養護老人ホーム,入所（年度中異動）,26,21,16,14,9,
養護老人ホーム,退所（年度中異動）,17,30,16,14,15,
養護老人ホーム,死亡（年度中異動　再掲　　）,13,12,9,7,6,
養護老人ホーム,在所数（年度末）,124,115,115,115,109,
養護老人ホーム,待機者数（年度末）,35,44,40,24,9,
訪問指導,訪問指導件数,1204,1027,1017,905,788,18年以後は、保健師のみの訪問で、理学療法士と看護師は訪問指導を行わない。
訪問指導,保健師等の訪問,1204,1027,1017,905,788,
訪問指導,理学療法士の訪問,,,,,,
リハビリ教室,実施回数,63,65,66,64,62,平成20年度より名称を「リハビリグループ」へと変更している。
,延人数,646,590,599,594,514,
