給付事業所名称,所在地,事業所種別,施設規模,開所日数,通所者延人数,設置日
"ユニークジョブサポート
(社会福祉法人おいてけ堀協会)",錦糸3-8-2IK第5ビル2.3.4階,就労移行支援就労継続支援Ｂ型,244,519,32095,昭62.11.14
"ユニークジョブサポート・ビー
(社会福祉法人おいてけ堀協会)",錦糸3-8-2IK第5ビル2.3.4階,就労継続支援Ｂ型,244,2545,40269,平22.4.1
"ユニークがらん堂
(社会福祉法人おいてけ堀協会)","太平4-6-7
ダイトービル１・2階",自立訓練,242,495,37895,平15.10.1
"おいてけ堀かっぱ堂
(社会福祉法人おいてけ堀協会)","太平4-6-7
ダイトービル１・2階",就労継続支援Ｂ型,242,984,40210,平22.2.1
"ユニーク工芸
(社会福祉法人おいてけ堀協会)","横川2-3-7
知野ビル102",就労継続支援Ｂ型,242,2621,37530,平14.10.1
"隅田作業所
（特定非営利活動法人とらいあんぐる）","八広3‐1‐5
ライフスペース
90-101",就労継続支援Ｂ型,286,4450,29423,昭55.7.21
"すみだ花工房
（特定非営利活動法人とらいあんぐる）","墨田2-16-5 
若草ビル21 1・2階",就労継続支援Ｂ型,241,3896,35765,平9.12.1
"ルーパス
（特定非営利活動法人とらいあんぐる）",東向島3-37-8,就労継続支援Ｂ型,239,4165,40634,平23.4.1
"こらーるカフェ
（特定非営利活動法人こらーるたいとう）","向島3-2-1
向島パークハイツ1階",就労継続支援Ｂ型,239,1190,35643,平9.8.1
"はあとぴーす
（特定非営利法人おきあがりこぼし）","文花２－２－９
海老原ビル1階",就労継続支援Ｂ型,240,2936,41000,平24.4.1
"錦糸町就労支援センター
（医療法人社団草思会）",錦糸3-11-3,就労移行支援就労継続支援Ｂ型,262,4090,41699,平26.3.1
"カラコネオフィス
（特定非営利活動法人カラフル・コネクターズ）","石原３－３０－１０
御谷湯ビル２０１",就労継続支援Ｂ型,243,2187,42156,平27.6.1
