区分１,区分２,区分３,R1,30,29,28,27
定例監査,本庁,対象（箇所）,138,137,137,137,137
定例監査,本庁,実施,138,137,137,137,137
定例監査,事業所,対象（箇所）,741,742,744,745,737
定例監査,事業所,実施,299,312,311,320,301
定例監査,計,対象（箇所）,879,879,881,882,874
定例監査,計,実施,437,449,448,457,438
定例監査,計,実施率（％）,49.7,51.1,50.9,51.8,50.1
定例監査,指摘事項（件）,,68,111,143,112,111
定例監査,意見・要望事項（件）,,11,4,10,4,4
工事監査,実施件数（件）,,"1,645","1,574","1,631","1,684","1,688"
工事監査,金額（百万円）,,"1,077,012","955,869","1,008,883","687,675","512,983"
工事監査,指摘事項（件）,,27,29,28,31,36
工事監査,意見・要望事項（件）,,1,0,1,3,1
財政援助団体等監査,対象団体数,,"5,509","5,208","4,983","4,249","4,075"
財政援助団体等監査,実施団体数,,212,184,145,154,165
財政援助団体等監査,実施率（％）,,3.8,3.5,2.9,3.6,4
財政援助団体等監査,指摘事項（件）,,44,66,52,82,56
財政援助団体等監査,意見・要望事項（件）,,2,4,9,5,2
行政監査,指摘事項（件）,,0,11,15,0,24
行政監査,意見・要望事項（件）,,1,29,5,7,11
決算審査,各会計歳入歳出,対象会計数,17,16,16,16,16
決算審査,各会計歳入歳出,指摘事項（件）,24,13,19,18,14
決算審査,各会計歳入歳出,意見・要望事項（件）,0,0,0,0,0
決算審査,公営企業各会計,対象会計数,11,11,11,11,11
決算審査,公営企業各会計,指摘事項（件）,2,3,0,1,0
決算審査,公営企業各会計,意見・要望事項（件）,0,0,0,0,0
随時監査,指摘事項（件）,,－,－,－,－,－
随時監査,意見・要望事項（件）,,－,－,－,－,－
合計,指摘事項（件）,,165,233,257,244,241
合計,意見・要望事項（件）,,15,37,25,19,18
住民監査請求に基づく監査,請求件数（件）,,29,8,21,29,13
住民監査請求に基づく監査,監査実施せず（件）,,29,8,18,23,13
住民監査請求に基づく監査,監査実施,勧告（件）,0,0,0,1,0
住民監査請求に基づく監査,監査実施,理由なし（件）,0,0,3,5,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
