"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2021","介護保険料","4013704","23.6","4013737","22.3"
"2021","使用料及び手数料",,,"1","0.0"
"2021","国庫支出金","3303192","19.5","3303248","18.4"
"2021","支払基金交付金","4290350","25.3","4290350","23.9"
"2021","都支出金","2376882","14.0","2376910","13.2"
"2021","財産収入","498","0.0","498","0.0"
"2021","寄附金","1","0.0","1","0.0"
"2021","繰入金","2983546","17.6","2880899","16.0"
"2021","繰越金","7032","0.0","1095036","6.1"
"2021","諸収入","33","0.0","33","0.0"
"2021","歳入合計","16975238","100.0","17960713","100.0"
"2022","介護保険料","4059021","23.5",,
"2022","使用料及び手数料","1","0.0",,
"2022","国庫支出金","3438321","19.9",,
"2022","支払基金交付金","4408521","25.5",,
"2022","都支出金","2448858","14.2",,
"2022","財産収入","563","0.0",,
"2022","寄附金","1","0.0",,
"2022","繰入金","2931009","16.9",,
"2022","繰越金","8193","0.0",,
"2022","諸収入","41","0.0",,
"2022","歳入合計","17294529","100.0",,

"令和4年度港区行政資料集　介護保険会計歳入予算","Ver202203",,,,
