"全国地方公共団体コード","ID","地方公共団体名","施設名称","施設名称_カナ","施設名称_英字","営業の種類","業態","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","施設所在地_都道府県","施設所在地_市区町村","施設所在地_町字","施設所在地_番地以下","施設方書","緯度","経度","施設電話番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人名","法人番号","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"132136","132136E00001","東村山市","BLACK DIAMOND","","","飲食店営業(一般飲食店)","","132136","","東京都東村山市栄町1丁目10-1モラード久米川地下1階部分","東京都","東村山市","栄町1丁目","10-1 モラード久米川地下1階部分","","35.748562","139.474298","(042)306-2247","","","","1890013","株式会社ALOKA AUTO PARTS EXPORT JP","","","2022-05-02","","","","","新規","",""
"132136","132136E00002","東村山市","gain","","","飲食店営業(一般飲食店)","","132136","","東京都東村山市栄町1丁目10-1モラード久米川地下1階","東京都","東村山市","栄町1丁目","10-1 モラード久米川地下1階","","35.748562","139.474298","","","","","1890013","","","","2018-06-06","","","","","新規","",""
"132136","132136E00003","東村山市","ブラック ダイアモンド","","","飲食店営業(一般飲食店)","","132136","","東京都東村山市栄町1丁目10-1モラード久米川地下1階A室","東京都","東村山市","栄町1丁目","10-1 モラード久米川地下1階A室","","35.748562","139.474298","","","","","1890013","","","","2023-02-07","","","","","新規","",""
"132136","132136E00004","東村山市","ラザレ","","","菓子製造業(パン製造業)","","132136","","東京都東村山市栄町1丁目10-12","東京都","東村山市","栄町1丁目","10-12","","35.748079","139.474793","(042)394-6562","","","","1890013","株式会社 ラザレ","","","2022-04-15","","","","","新規","",""
"132136","132136E00005","東村山市","ラウンジ サファイヤブルー","","","飲食店営業(一般飲食店)","","132136","","東京都東村山市栄町1丁目10-19久米川第一レジデンス101","東京都","東村山市","栄町1丁目","10-19 久米川第一レジデンス101","","35.748550","139.474158","(042)395-9555","","","","1890013","株式会社アクアベール","","","2022-02-10","","","","","新規","",""
"132136","132136E00006","東村山市","キャメル","","","飲食店営業(一般飲食店)","","132136","","東京都東村山市栄町1丁目10-19","東京都","東村山市","栄町1丁目","10-19","","35.748550","139.474158","(042)395-9919","","","","1890013","","","","1988-09-09","","","","","更新","",""
"132136","132136E00007","東村山市","サファイヤ","","","飲食店営業(一般飲食店)","","132136","","東京都東村山市栄町1丁目10-19第1レジオンス101","東京都","東村山市","栄町1丁目","10-19 第1レジオンス101","","35.748550","139.474158","(042)395-9555","","","","1890013","","","","2021-05-06","","","","","新規","",""
"132136","132136E00008","東村山市","有限会社赤ずきん","","","菓子製造業(生菓子製造業)","","132136","","東京都東村山市栄町1丁目10-24","東京都","東村山市","栄町1丁目","10-24","","35.748336","139.474639","(042)394-3202","","","","1890013","有限会社 赤ずきん","","","1976-02-20","","","","","更新","",""
"132136","132136E00009","東村山市","パブ 朋","","","飲食店営業(一般飲食店)","","132136","","東京都東村山市栄町1丁目11-1","東京都","東村山市","栄町1丁目","11-1","","35.748765","139.474471","(042)395-9450","","","","1890013","","","","2007-03-30","","","","","更新","",""
"132136","132136E00010","東村山市","洋風食べ飲み屋びーどろ亭","","","飲食店営業(一般飲食店)","","132136","","東京都東村山市栄町1丁目11-1グリーンS2","東京都","東村山市","栄町1丁目","11-1 グリーンS2","","35.748765","139.474471","(042)395-5685","","","","1890013","","","","2022-09-06","","","","","新規","",""
