"全国地方公共団体コード","法人番号","ID","地方公共団体名","イベント名","言語コード","イベント通称","サブタイトル","イベント名_カナ","イベント名_英語","コンテンツURL","状態","キーワード","タグ","対象となる産業","開催パターン","開始日","終了日","開始時間","終了時間","開始日時特記事項","所要時間","掲載開始日","掲載終了日","概要","説明","サブイベント","イベント種類","料金(基本)","料金(詳細)","連絡先名称","連絡先電話番号","連絡先内線番号","主催者","共催団体","関連組織","対象者","対象者備考","場所名称","集合（受付）場所","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","アクセス方法","駐車場情報","駐車場料金","駐輪場情報","Web開催","Web開催URL","ツール・環境","定員","定員備考","料金種別","決済種別","外国語対応","外国語対応備考","開催条件","参加申込終了日","参加申込終了時間","参加申込方法","申込開始日","申込開始時刻","申込URL","URL","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","画像","画像_ライセンス","備考"
"132136","","132136B00001","東村山市","エコライフフェア","","","","","","","","","","","","","","","","開催日時 未定","","","","","","","","","","","(042)393-5111","","東村山市 環境資源循環部ごみ減量推進課・環境保全課","ガイガー東村山＆ガイウェイ東村山;東京ガスネットワーク㈱東京西支店;東村山花と野菜の会;東村山エナジー;北川かっぱの会;とんぼサポーター２;美住リサイクルショップ運営委員会;ＮＰＯ空堀川に清流を取り戻す会;まちかど運動実行員会;東村山市環境整備事業協同組合;キンランの咲く雑木林を守る会 ;西都保健生活協同組合東村山協議会;東多摩再資源化事業協同組合;東村山市 関係所管","","","","東村山市立中央公民館","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","","132136B00009","東村山市","グリーンカーテンコンテスト","","","","","","","","","","","","","","","","開催日時 未定","","","","東村山市では、地球温暖化対策推進のため「グリーンカーテンコンテスト」 を実施します。ご家庭や職場で作られたグリーンカーテンの写真を、ぜひご応募く ださい。入賞作品には記念品を贈呈いたします。(応募詳細は裏面参照)","グリーンカーテンは、夏の日差しを遮る「自然のカーテン」です。今年の夏は、グリーンカーテ ンの成長や収穫を楽しみながら、地球に優しい夏を過ごしてみませんか？","","","","","東村山市環境資源循環部環境保全課","(042)393-5111","","","","","令和４年度夏季に、つる性植物によるグリー ンカーテンを設置されている方","","東村山市秋津町4丁目17番地1（秋水園）","","","","","","","","","","","","","","","","","","","","","","","","","","","","・応募用紙に必要事項を記入の上、環境保全 課窓口へ持参、郵送、電子メール、又は特 設webサイト（表面QRコード）の いずれか でご応募ください。 ・グリーンカーテンの全体がわかるカラー写 真（２枚以内）を添付してください。画像 データでの応募も可能です。","","","","","","","","","","","",""
"132136","","132136B00010","東村山市","ボッチャ大会","","","","","","","","","","","","","","","","開催日時 未定","","","","","","","","","","","","","東村山市青少年対策地区連絡協議会","","","市立小学校に通学する4・5・6年生","","","","","","","","","","","","","","","","","","","","","","応募が多い場合には抽選となります。","","","","","","","","","","","","","","","","","","","",""
"132136","","132136B00011","東村山市","輝け！東村山っ子育成塾","","","","","","","","","","","","","","","","開催日時 未定","","","","年齢の違う子どもたちが、グループになって奉仕活動や体験活動を行うことで、チームワークの大切さや規範・礼儀などを学びながら豊かな人間性を育むことを目的に開催します。また、年度ごとに様々な経験を積み重ねることで、自ら進んで地域の活動に参加できることを目指します。","","","","","","","(042)393-5111","","東村山市教育委員会・東村山市青少年委員","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","","132136B00012","東村山市","市民の集い","","","","","","","","","","","","","","","","開催日時 未定","","","","市民の集いは、「東村山市いのちとこころの教育週間」の一環として、次代を担う子どもたちが心も体も健やかに成長するよう、市民の皆様に関心を高めていただくことを目的に、毎年開催しております。","","","","","","教育部社会教育課","(042)393-5111","3816;3817","東村山市・東村山市教育委員会","東村山市青少年問題協議会","","","","","","132136","","","","","","","","35.759786","139.466863","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","","132136B00013","東村山市","東大和市・東村山市地域の戦争・平和学習及び広島派遣事業","","","","","","","","","","","","","","","","開催日時未定　市報及び市ホームページによりお知らせします","","","","","東大和市と合同で市内小学５～６年及び中学生を対象に地域の戦争の歴史や広島市において核兵器の惨状の記録と記憶を実際に見聞することで、戦争の悲惨や命の尊さについて学ぶ","","","","小学生：7,500円中学生：10,000円","","","","","","","","","東村山市、東大和市、広島市","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","","132136B00014","東村山市","平和のつどい","","","","","","","","","","","","","","","","開催日時未定　市報及び市ホームページによりお知らせします","","","","","第１部：平和学習報告会;第2部：平和映画会","","","","無","","","","","","","","","東村山市立中央公民館","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","","132136B00015","東村山市","核兵器廃絶と平和展","","","","","","","","","","","","","","","","例年８月中下旬に開催　市報及び市ホームページによりお知らせします","","","","","広島平和記念資料館所蔵の原爆写真パネルの展示等","","","","無","","","","","","","","","東村山市立中央公民館","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","","132136B00016","東村山市","平和祈願献花式","","","","","","","","","","","","45153","","","","時間未定　市報及び市ホームページによりお知らせします","","","","","戦没者に哀悼の誠をささげ、平和を祈願するための献花台を設置","","","","無","","","","","","","","","東村山市役所（予定）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132136","","132136B00017","東村山市","多文化共生 市民カレッジ","","","","","","","","","","","","","","","","開催日時未定　市報及び市ホームページによりお知らせします","","","","","多文化共生意識の啓発となる講座を実施（年３回実施予定）","","","","無","","","","","","","","","未定","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
