全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
132136,1.32137E+11,東村山市,市役所 本庁舎1階 総合受付横,シヤクショ ホンチョウシャ1カイ ソウゴウウケツケヨコ,,132136,,東京都東村山市本町1丁目2-3,東京都,東村山市,本町1丁目,2-3,,35.75418,139.468301,階数,1,1階総合案内横,(042)393-5111,,,,,1890014,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,市役所 いきいきプラザ1階 総合窓口横,シヤクショ イキイキプラザ1カイ ソウゴウマドグチヨコ,,132136,,東京都東村山市本町1丁目2-3,東京都,東村山市,本町1丁目,2-3,,35.75418,139.468301,階数,1,1階総合案内横,(042)393-5111,,,,,1890014,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,市民センター1階 入口付近,シミンセンター1カイ イリグチフキン,,132136,,東京都東村山市本町1丁目1-1,東京都,東村山市,本町1丁目,1-1,,35.755291,139.46753,階数,1,1階警備員室前,(042)393-5111,,,,,1890014,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,東村山駅西口サンパルネ3階 健康・交流フロア,ヒガシムラヤマエキニシグチサンパルネ3カイ ケンコウ・コウリュウフロア,,132136,,東京都東村山市野口町1丁目46,東京都,東村山市,野口町1丁目,46,,35.759997,139.465323,階数,3,3階 健康・交流フロア,(042)393-5111,,,,,1890022,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,秋水園ふれあいセンター,シュウスイエンフレアイセンター,,132136,,東京都東村山市秋津町4丁目24-12,東京都,東村山市,秋津町4丁目,24-12,,35.77929,139.485947,,,,(042)395-8177,,,,,1890001,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,多摩湖ふれあいセンター,タマコフレアイセンター,,132136,,東京都東村山市多摩湖町1丁目18-16,東京都,東村山市,多摩湖町1丁目,18-16,,35.764064,139.449143,,,,(042)398-7851,,,,,1890026,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,恩多ふれあいセンター,オンタフレアイセンター,,132136,,東京都東村山市恩多町5丁目40-1,東京都,東村山市,恩多町5丁目,40-1,,35.757291,139.490009,,,,(042)399-1551,,,,,1890011,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,栄町ふれあいセンター,サカエチョウフレアイセンター,,132136,,東京都東村山市栄町2丁目25-5,東京都,東村山市,栄町2丁目,25-5,,35.747752,139.47242,,,,(042)390-3283,,,,,1890013,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,久米川ふれあいセンター,クメガワフレアイセンター,,132136,,東京都東村山市久米川町3丁目16-4,東京都,東村山市,久米川町3丁目,16-4,,35.766096,139.474206,,,,(042)395-8685,,,,,1890003,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,青葉地域センター,アオバチイキセンター,,132136,,東京都東村山市青葉町3丁目30-3,東京都,東村山市,青葉町3丁目,30-3,,35.76921,139.496263,,,,(042)395-4416,,,,,1890002,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,秋水園,シュウスイエン,,132136,,東京都東村山市秋津町4丁目17-1,東京都,東村山市,秋津町4丁目,17-1,,35.779668,139.485337,,,,(042)393-5111,,,,,1890001,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,秋水園プール （注記）プール開放期間のみ,シュウスイエンプール （チュウキ）プールカイホウキカンノミ,,132136,,東京都東村山市秋津町4丁目17-1,東京都,東村山市,秋津町4丁目,17-1,,35.779668,139.485337,,,,(042)393-5111,,,,,1890001,,,,,,（注記）プール開放期間のみ,,,,,,,,
132136,1.32137E+11,東村山市,東村山駅西口地下駐輪場,ヒガシムラヤマエキニシグチチカチュウリンジョウ,,132136,,東京都東村山市野口町1丁目41,東京都,東村山市,野口町1丁目,41,,35.761558,139.464132,,,,(042)396-7559,,,,,1890022,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,久米川駅北口地下駐輪場,クメガワエキキタグチチカチュウリンジョウ,,132136,,東京都東村山市栄町1丁目3-1,東京都,東村山市,栄町1丁目,3-1,,35.750106,139.473008,,,,(042)396-7543,,,,,1890013,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,子育て総合支援センター（地域福祉センター）,コソダテソウゴウシエンセンター（チイキフクシセンター）,,132136,,東京都東村山市野口町1丁目25-15,東京都,東村山市,野口町1丁目,25-15,,35.758257,139.464253,,,,(042)395-7280,,,,,1890022,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,社会福祉センター,シャカイフクシセンター,,132136,,東京都東村山市諏訪町1丁目3-10,東京都,東村山市,諏訪町1丁目,3-10,,35.765483,139.466712,,,,(042)392-4077,,,,,1890021,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,萩山憩いの家,ハギヤマイコイノイエ,,132136,,東京都東村山市萩山町2丁目3-11,東京都,東村山市,萩山町2丁目,3-11,,35.742364,139.475627,,,,(042)391-1525,,,,,1890012,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,久米川憩いの家,クメガワイコイノイエ,,132136,,東京都東村山市久米川町5丁目16-1,東京都,東村山市,久米川町5丁目,16-1,,35.771689,139.471999,,,,(042)393-6868,,,,,1890003,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,廻田憩いの家（第一回田児童クラブ、廻田集会所）,メグタイコイノイエ（ダイイチメグリタジドウクラブ、メグチタシュウカイジョ）,,132136,,東京都東村山市廻田町3丁目12-6,東京都,東村山市,廻田町3丁目,12-6,,35.757549,139.447586,,,,(042)395-4295,,,,,1890025,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第一保育園,ダイイチホイクエン,,132136,,東京都東村山市本町4丁目15-16,東京都,東村山市,本町4丁目,15-16,,35.75338,139.473389,,,,(042)395-8955,,,,,1890014,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第三保育園,ダイサンホイクエン,,132136,,東京都東村山市多摩湖町1丁目23-4,東京都,東村山市,多摩湖町1丁目,23-4,,35.763727,139.452163,,,,(042)394-5800,,,,,1890026,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第四保育園,ダイヨンホイクエン,,132136,,東京都東村山市美住町1丁目4,東京都,東村山市,美住町1丁目,4,,35.75007,139.462908,,,,(042)394-1211,,,,,1890023,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第五保育園,ダイゴホイクエン,,132136,,東京都東村山市秋津町4丁目25-15,東京都,東村山市,秋津町4丁目,25-15,,35.779294,139.485108,,,,(042)394-1452,,,,,1890001,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第七保育園,ダイナナホイクエン,,132136,,東京都東村山市栄町1丁目36-51,東京都,東村山市,栄町1丁目,36-51,,35.752516,139.477233,,,,(042)394-6267,,,,,1890013,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,本町児童館,ホンチョウジドウカン,,132136,,東京都東村山市本町4丁目19-26,東京都,東村山市,本町4丁目,19-26,,35.753746,139.474797,,,,(042)397-1154,,,,,1890014,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,栄町児童館,サカエチョウジドウカン,,132136,,東京都東村山市栄町3丁目14-1,東京都,東村山市,栄町3丁目,14-1,,35.74663,139.469211,,,,(042)397-1151,,,,,1890013,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,北山児童館,キタヤマジドウカン,,132136,,東京都東村山市野口町3丁目26-2,東京都,東村山市,野口町3丁目,26-2,,35.765104,139.453386,,,,(042)397-1153,,,,,1890022,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,秋津児童館,アキツジドウカン,,132136,,東京都東村山市秋津町3丁目51-25,東京都,東村山市,秋津町3丁目,51-25,,35.773334,139.483478,,,,(042)397-1150,,,,,1890001,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第1久米川児童クラブ,ダイ1クメガワジドウクラブ,,132136,,東京都東村山市久米川町4丁目11-19,東京都,東村山市,久米川町4丁目,11-19,,35.761767,139.473034,,,,(042)395-2002,,,,,1890003,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,久米川東児童クラブ,クメガワヒガシジドウクラブ,,132136,,東京都東村山市久米川町2丁目44-3,東京都,東村山市,久米川町2丁目,44-3,,35.766236,139.481497,,,,(042)395-1172,,,,,1890003,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第1・第2秋津東児童クラブ,ダイ1・ダイ2アキツヒガシジドウクラブ,,132136,,東京都東村山市秋津町4丁目35-68,東京都,東村山市,秋津町4丁目,35-68,,35.774677,139.489323,,,,(042)393-5175,,,,,1890001,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第1・第2青葉児童クラブ,ダイ1・ダイ2アオバジドウクラブ,,132136,,東京都東村山市青葉町2丁目35-11,東京都,東村山市,青葉町2丁目,35-11,,35.764264,139.488665,,,,(042)397-1155,,,,,1890002,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第1野火止児童クラブ,ダイ1ノビトメジドウクラブ,,132136,,東京都東村山市恩多町5丁目45-4,東京都,東村山市,恩多町5丁目,45-4,,35.756596,139.48673,,,,(042)397-1156,,,,,1890011,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第1東萩山児童クラブ,ダイ1ヒガシハギヤマジドウクラブ,,132136,,東京都東村山市萩山町5丁目7-18,東京都,東村山市,萩山町5丁目,7-18,,35.746268,139.477317,,,,(042)394-1242,,,,,1890012,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,第1・第2萩山児童クラブ,ダイ1・ダイ2ハギヤマジドウクラブ,,132136,,東京都東村山市萩山町4丁目16-5,東京都,東村山市,萩山町4丁目,16-5,,35.743035,139.478656,,,,(042)397-1157,,,,,1890012,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,富士見児童クラブ,フジミジドウクラブ,,132136,,東京都東村山市富士見町5丁目4-56,東京都,東村山市,富士見町5丁目,4-56,,35.747287,139.457986,,,,(042)394-5396,,,,,1890024,,,,,,,,,,,,,,
132136,1.32137E+11,東村山市,南台児童クラブ,ミナミダイジドウクラブ,,132136,,東京都東村山市富士見町1丁目16-1,東京都,東村山市,富士見町1丁目,16-1,,35.744493,139.456483,,,,(042)392-2863,,,,,1890024,,,,,,,,,,,,,,
