項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,4213,-,2644,-,2346,-,796,-
0,0,0,0,0,調査世帯数,748,-,312,-,195,-,177,-,64,-
0,0,0,0,0,世帯人員,3,-,2,-,3,-,4,-,5.32,-
0,0,0,0,0,有業人員,1.32,-,0.89,-,1.48,-,1.68,-,2.04,-
0,0,0,0,0,世帯主平均年齢,57.3,-,64.8,-,54,-,49.2,-,52.3,-
2,2,0,0,0,生計支出,322638,-,285803,-,310951,-,376458,-,397764,-
2,3,0,0,0,消費支出,322638,100,285803,100,310951,100,376458,100,397764,100
2,4,1,0,0,食料,78830,24.4,70339,24.6,78923,25.4,89196,23.7,92901,23.4
2,5,1,1,0,穀類,6411,2,5410,1.9,6259,2,7387,2,9341,2.3
2,6,1,1,1,米類,2116,0.7,1889,0.7,2108,0.7,2222,0.6,3027,0.8
2,6,1,1,2,パン,2683,0.8,2122,0.7,2674,0.9,3324,0.9,3788,1
2,6,1,1,3,めん類,1222,0.4,1005,0.4,1148,0.4,1454,0.4,1939,0.5
2,6,1,1,4,他の穀類,391,0.1,395,0.1,329,0.1,387,0.1,587,0.1
2,5,1,2,0,魚介類,6050,1.9,5877,2.1,6034,1.9,6155,1.6,6714,1.7
2,6,1,2,1,生鮮魚介,3580,1.1,3454,1.2,3712,1.2,3562,0.9,3865,1
2,6,1,2,2,塩干魚介,1078,0.3,1019,0.4,1011,0.3,1165,0.3,1363,0.3
2,6,1,2,3,魚肉練製品,590,0.2,572,0.2,525,0.2,624,0.2,794,0.2
2,6,1,2,4,他の魚介加工品,802,0.2,831,0.3,787,0.3,805,0.2,693,0.2
2,5,1,3,0,肉類,6908,2.1,4971,1.7,7341,2.4,8564,2.3,10838,2.7
2,6,1,3,1,生鮮肉,5449,1.7,3884,1.4,5916,1.9,6684,1.8,8537,2.1
2,6,1,3,2,加工肉,1459,0.5,1086,0.4,1425,0.5,1880,0.5,2301,0.6
2,5,1,4,0,乳卵類,3854,1.2,3373,1.2,3670,1.2,4465,1.2,5208,1.3
2,6,1,4,1,牛乳,1423,0.4,1305,0.5,1248,0.4,1632,0.4,2010,0.5
2,6,1,4,2,乳製品,1740,0.5,1482,0.5,1735,0.6,2033,0.5,2252,0.6
2,6,1,4,3,卵,691,0.2,585,0.2,687,0.2,799,0.2,946,0.2
2,5,1,5,0,野菜・海藻,10016,3.1,9445,3.3,9860,3.2,10849,2.9,11101,2.8
2,6,1,5,1,生鮮野菜,7002,2.2,6513,2.3,6999,2.3,7628,2,7750,1.9
2,6,1,5,2,乾物・海藻,676,0.2,652,0.2,706,0.2,641,0.2,809,0.2
2,6,1,5,3,大豆加工品,1145,0.4,1065,0.4,1097,0.4,1299,0.3,1265,0.3
2,6,1,5,4,他の野菜・海藻加工品,1194,0.4,1214,0.4,1058,0.3,1281,0.3,1277,0.3
2,5,1,6,0,果物,3218,1,3487,1.2,3282,1.1,2863,0.8,2624,0.7
2,6,1,6,1,生鮮果物,3023,0.9,3310,1.2,3096,1,2626,0.7,2433,0.6
2,6,1,6,2,果物加工品,194,0.1,177,0.1,186,0.1,237,0.1,191,0
2,5,1,7,0,油脂・調味料,3475,1.1,2881,1,3390,1.1,4072,1.1,5140,1.3
2,6,1,7,1,油脂,353,0.1,281,0.1,386,0.1,410,0.1,451,0.1
2,6,1,7,2,調味料,3122,1,2600,0.9,3004,1,3662,1,4689,1.2
2,5,1,8,0,菓子類,5133,1.6,4119,1.4,4917,1.6,6589,1.8,6928,1.7
2,5,1,9,0,調理食品,9770,3,9345,3.3,9014,2.9,10946,2.9,11062,2.8
2,6,1,9,1,主食的調理食品,4369,1.4,4173,1.5,4321,1.4,4793,1.3,4316,1.1
2,6,1,9,2,他の調理食品,5401,1.7,5172,1.8,4693,1.5,6153,1.6,6746,1.7
2,5,1,10,0,飲料,4482,1.4,3911,1.4,4515,1.5,4997,1.3,5879,1.5
2,6,1,10,1,茶類,1066,0.3,1096,0.4,965,0.3,1028,0.3,1356,0.3
2,6,1,10,2,コーヒー・ココア,948,0.3,1013,0.4,797,0.3,970,0.3,1044,0.3
2,6,1,10,3,他の飲料,2468,0.8,1801,0.6,2754,0.9,2998,0.8,3478,0.9
2,5,1,11,0,酒類,3184,1,3115,1.1,3006,1,3528,0.9,3123,0.8
2,5,1,12,0,外食,16330,5.1,14408,5,17634,5.7,18781,5,14944,3.8
2,6,1,12,1,一般外食,15552,4.8,14365,5,17044,5.5,17083,4.5,12365,3.1
2,6,1,12,2,学校給食,778,0.2,43,0,590,0.2,1698,0.5,2580,0.6
2,4,2,0,0,住居,31855,9.9,35327,12.4,33727,10.8,24169,6.4,29917,7.5
2,5,2,1,0,家賃地代,18481,5.7,17099,6,19330,6.2,21708,5.8,13470,3.4
2,5,2,2,0,設備修繕・維持,13374,4.1,18228,6.4,14397,4.6,2461,0.7,16448,4.1
2,6,2,2,1,設備材料,5008,1.6,2498,0.9,13291,4.3,613,0.2,3734,0.9
2,6,2,2,2,工事その他のサービス,8366,2.6,15730,5.5,1106,0.4,1848,0.5,12714,3.2
2,4,3,0,0,光熱・水道,19769,6.1,16751,5.9,20409,6.6,21634,5.7,28124,7.1
2,5,3,1,0,電気代,10404,3.2,8971,3.1,10536,3.4,11383,3,14672,3.7
2,5,3,2,0,ガス代,4026,1.2,3530,1.2,4223,1.4,4202,1.1,5473,1.4
2,5,3,3,0,他の光熱,92,0,86,0,62,0,134,0,97,0
2,5,3,4,0,上下水道料,5247,1.6,4164,1.5,5588,1.8,5914,1.6,7881,2
2,4,4,0,0,家具・家事用品,12053,3.7,12379,4.3,13554,4.4,11469,3,7061,1.8
2,5,4,1,0,家庭用耐久財,3745,1.2,3288,1.2,5362,1.7,3973,1.1,123,0
2,6,4,1,1,家事用耐久財,2131,0.7,2347,0.8,2388,0.8,2147,0.6,84,0
2,6,4,1,2,冷暖房用器具,879,0.3,565,0.2,977,0.3,1618,0.4,39,0
2,6,4,1,3,一般家具,735,0.2,376,0.1,1996,0.6,208,0.1,-,-
2,5,4,2,0,室内装備・装飾品,689,0.2,513,0.2,770,0.2,1078,0.3,201,0.1
2,5,4,3,0,寝具類,1867,0.6,2727,1,1988,0.6,659,0.2,473,0.1
2,5,4,4,0,家事雑貨,2172,0.7,2078,0.7,2381,0.8,2253,0.6,1740,0.4
2,5,4,5,0,家事用消耗品,2573,0.8,2073,0.7,2553,0.8,3093,0.8,3755,0.9
2,5,4,6,0,家事サービス,1006,0.3,1700,0.6,499,0.2,413,0.1,769,0.2
2,4,5,0,0,被服及び履物,14872,4.6,12046,4.2,14612,4.7,20449,5.4,14254,3.6
2,5,5,1,0,和服,1,0,-,-,-,-,5,0,-,-
2,5,5,2,0,洋服,5726,1.8,4103,1.4,5952,1.9,8944,2.4,4083,1
2,6,5,2,1,男子用洋服,1920,0.6,1303,0.5,2311,0.7,2976,0.8,780,0.2
2,6,5,2,2,婦人用洋服,3130,1,2762,1,2920,0.9,4208,1.1,2598,0.7
2,6,5,2,3,子供用洋服,676,0.2,38,0,721,0.2,1760,0.5,705,0.2
2,5,5,3,0,シャツ・セーター類,3025,0.9,2054,0.7,3401,1.1,4301,1.1,3151,0.8
2,6,5,3,1,男子用シャツ・セーター類,1114,0.3,952,0.3,1609,0.5,885,0.2,999,0.3
2,6,5,3,2,婦人用シャツ・セーター類,1760,0.5,1103,0.4,1601,0.5,3102,0.8,1817,0.5
2,6,5,3,3,子供用シャツ・セーター類,151,0,-,-,191,0.1,314,0.1,335,0.1
2,5,5,4,0,下着類,1270,0.4,1416,0.5,926,0.3,1423,0.4,1186,0.3
2,6,5,4,1,男子用下着類,389,0.1,475,0.2,250,0.1,374,0.1,435,0.1
2,6,5,4,2,婦人用下着類,772,0.2,927,0.3,498,0.2,920,0.2,424,0.1
2,6,5,4,3,子供用下着類,109,0,14,0,178,0.1,129,0,327,0.1
2,5,5,5,0,生地・糸類,213,0.1,289,0.1,153,0,199,0.1,50,0
2,5,5,6,0,他の被服,1181,0.4,1110,0.4,998,0.3,1533,0.4,1127,0.3
2,5,5,7,0,履物類,2270,0.7,1997,0.7,2137,0.7,2498,0.7,3490,0.9
2,5,5,8,0,被服関連サービス,1186,0.4,1077,0.4,1044,0.3,1549,0.4,1168,0.3
2,4,6,0,0,保健医療,17405,5.4,21654,7.6,15376,4.9,14891,4,9061,2.3
2,5,6,1,0,医薬品,2768,0.9,3387,1.2,2518,0.8,2072,0.6,2377,0.6
2,5,6,2,0,健康保持用摂取品,1193,0.4,1769,0.6,632,0.2,835,0.2,1066,0.3
2,5,6,3,0,保健医療用品・器具,2204,0.7,1671,0.6,2337,0.8,2844,0.8,2698,0.7
2,5,6,4,0,保健医療サービス,11239,3.5,14827,5.2,9890,3.2,9140,2.4,2919,0.7
2,4,7,0,0,交通・通信,32036,9.9,26110,9.1,31771,10.2,41397,11,36692,9.2
2,5,7,1,0,交通,9525,3,8058,2.8,9554,3.1,11080,2.9,12610,3.2
2,5,7,2,0,自動車等関係費,11205,3.5,10554,3.7,9951,3.2,15128,4,7255,1.8
