項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,748,-,-,100,-,107,-,108,-,107,-,111,-,111,-,104,-
0,世帯人員,3.01,-,-,2.78,-,2.72,-,2.92,-,3.19,-,2.94,-,3.36,-,3.14,-
0,有業人員,1.28,-,-,1.16,-,1.12,-,1.29,-,1.37,-,1.22,-,1.38,-,1.4,-
0,世帯主平均年齢,57.2,-,-,61.8,-,61.8,-,57.3,-,55.2,-,56.1,-,53.6,-,54.8,-
0,消費支出,294492,100,1,108935,100,165337,100,210470,100,253860,100,302829,100,376559,100,641305,100
2,基礎的支出,154429,52.4,-1,79140,72.6,113598,68.7,126426,60.1,148757,58.6,165901,54.8,195687,52,250773,39.1
3,選択的支出,140064,47.6,3.4,29794,27.4,51739,31.3,84044,39.9,105103,41.4,136928,45.2,180873,48,390533,60.9
1,食料,77342,26.3,-1.5,48971,45,59586,36,68042,32.3,73941,29.1,83221,27.5,99162,26.3,108103,16.9
2,基礎的支出,58868,20,-3.4,40603,37.3,49749,30.1,55418,26.3,57435,22.6,61949,20.5,71283,18.9,75427,11.8
3,選択的支出,18474,6.3,5,8367,7.7,9837,5.9,12624,6,16506,6.5,21272,7,27880,7.4,32676,5.1
1,住居,23717,8.1,20.8,2772,2.5,8264,5,11872,5.6,23009,9.1,24095,8,38851,10.3,56908,8.9
2,基礎的支出,21646,7.4,20.5,1973,1.8,7965,4.8,10575,5,20715,8.2,21378,7.1,34080,9.1,54625,8.5
3,選択的支出,2071,0.7,23.4,800,0.7,300,0.2,1297,0.6,2294,0.9,2718,0.9,4771,1.3,2283,0.4
1,光熱・水道,31298,10.6,1.8,17962,16.5,28215,17.1,29748,14.1,33058,13,35789,11.8,35733,9.5,38536,6
2,基礎的支出,31298,10.6,1.8,17962,16.5,28215,17.1,29748,14.1,33058,13,35789,11.8,35733,9.5,38536,6
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,9638,3.3,2.1,3176,2.9,3928,2.4,6186,2.9,6282,2.5,8713,2.9,13731,3.6,25331,3.9
2,基礎的支出,5394,1.8,-11,2538,2.3,2975,1.8,4208,2,4869,1.9,4985,1.6,5453,1.4,12701,2
3,選択的支出,4244,1.4,25.6,638,0.6,953,0.6,1979,0.9,1413,0.6,3728,1.2,8279,2.2,12630,2
1,被服及び履物,12986,4.4,12.5,3790,3.5,4301,2.6,8247,3.9,12309,4.8,14240,4.7,19133,5.1,28756,4.5
2,基礎的支出,824,0.3,5.8,341,0.3,385,0.2,600,0.3,1130,0.4,922,0.3,888,0.2,1503,0.2
3,選択的支出,12162,4.1,13,3450,3.2,3916,2.4,7647,3.6,11180,4.4,13319,4.4,18245,4.8,27253,4.2
1,保健医療,13863,4.7,-12.9,4545,4.2,8974,5.4,8839,4.2,11897,4.7,14005,4.6,20020,5.3,28663,4.5
2,基礎的支出,8862,3,-20.2,3914,3.6,6711,4.1,7316,3.5,8215,3.2,8995,3,13797,3.7,13015,2
3,選択的支出,5002,1.7,3.8,631,0.6,2263,1.4,1523,0.7,3681,1.5,5010,1.7,6222,1.7,15647,2.4
1,交通・通信,33898,11.5,16.3,7048,6.5,15763,9.5,17096,8.1,22834,9,27720,9.2,42817,11.4,103682,16.2
2,基礎的支出,8137,2.8,21.4,2731,2.5,5055,3.1,4143,2,6874,2.7,9986,3.3,12282,3.3,15836,2.5
3,選択的支出,25761,8.7,14.8,4317,4,10708,6.5,12952,6.2,15960,6.3,17734,5.9,30535,8.1,87846,13.7
1,教育,12623,4.3,-13.5,460,0.4,1837,1.1,4639,2.2,7324,2.9,10240,3.4,10946,2.9,52792,8.2
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,12623,4.3,-13.5,460,0.4,1837,1.1,4639,2.2,7324,2.9,10240,3.4,10946,2.9,52792,8.2
1,教養娯楽,34440,11.7,11.9,9128,8.4,15352,9.3,20895,9.9,26781,10.5,39725,13.1,37973,10.1,90990,14.2
2,基礎的支出,7933,2.7,-5.6,4914,4.5,6567,4,6634,3.2,8489,3.3,8005,2.6,10040,2.7,10860,1.7
3,選択的支出,26507,9,18.5,4215,3.9,8784,5.3,14261,6.8,18292,7.2,31720,10.5,27933,7.4,80129,12.5
1,その他の消費支出,44686,15.2,-12.6,11083,10.2,19115,11.6,34905,16.6,36426,14.3,45080,14.9,58192,15.5,107546,16.8
2,基礎的支出,11467,3.9,-13.7,4165,3.8,5975,3.6,7783,3.7,7973,3.1,13893,4.6,12131,3.2,28270,4.4
3,選択的支出,33219,11.3,-12.2,6918,6.4,13139,7.9,27122,12.9,28454,11.2,31187,10.3,46061,12.2,79276,12.4
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成25年2月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
