項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,741,-,-,104,-,103,-,115,-,107,-,100,-,110,-,102,-
0,0,世帯人員,3,-,-,2.62,-,2.95,-,2.91,-,2.87,-,3.12,-,3.27,-,3.23,-
0,0,有業人員,1.32,-,-,1.19,-,1.3,-,1.15,-,1.25,-,1.51,-,1.44,-,1.41,-
0,0,世帯主平均年齢,57.4,-,-,59.5,-,60.9,-,57.9,-,59,-,56.3,-,52.9,-,55.3,-
0,0,消費支出,318587,-,5.6,107166,-,168344,-,210873,-,262950,-,316449,-,400504,-,760813,-
0,0,公共的料金,81691,25.6,5.4,33664,31.4,46218,27.5,65391,31,81553,31,83172,26.3,113017,28.2,148164,19.5
1,0,公共料金等,54195,17,-1,27052,25.2,37400,22.2,47693,22.6,55311,21,58722,18.6,69981,17.5,82873,10.9
1,1,米,1887,0.6,-5.7,970,0.9,1832,1.1,1848,0.9,1739,0.7,1782,0.6,2441,0.6,2587,0.3
1,1,食塩,39,0,-13.3,25,0,28,0,45,0,26,0,56,0,57,0,35,0
1,1,学校給食,793,0.2,-21.4,54,0.1,233,0.1,783,0.4,953,0.4,993,0.3,1602,0.4,924,0.1
1,1,公営家賃,1453,0.5,-39.7,1787,1.7,886,0.5,3706,1.8,1372,0.5,624,0.2,1792,0.4,-,-
1,1,電気代,9717,3.1,6.3,6666,6.2,8738,5.2,9205,4.4,9242,3.5,10791,3.4,10928,2.7,12417,1.6
1,1,都市ガス,5337,1.7,13.4,3856,3.6,5268,3.1,4925,2.3,5387,2,5863,1.9,5697,1.4,6351,0.8
1,1,上下水道料,4864,1.5,-4.9,3548,3.3,4130,2.5,4334,2.1,4748,1.8,6343,2,5111,1.3,5825,0.8
1,1,医科診療代,3540,1.1,16.8,1295,1.2,2445,1.5,2772,1.3,4392,1.7,7395,2.3,2712,0.7,3758,0.5
1,1,歯科診療代,1620,0.5,-49.8,352,0.3,534,0.3,1852,0.9,1252,0.5,782,0.2,929,0.2,5614,0.7
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,1724,0.5,86.6,-,-,-,-,360,0.2,6494,2.5,871,0.3,2232,0.6,2066,0.3
1,1,鉄道運賃,3180,1,3,1453,1.4,1467,0.9,2203,1,2868,1.1,3414,1.1,4443,1.1,6389,0.8
1,1,鉄道通学定期代,195,0.1,400,-,-,-,-,124,0.1,278,0.1,184,0.1,359,0.1,419,0.1
1,1,鉄道通勤定期代,2693,0.8,81.6,520,0.5,709,0.4,1049,0.5,722,0.3,1316,0.4,4509,1.1,9990,1.3
1,1,バス代,331,0.1,-4.6,42,0,71,0,192,0.1,264,0.1,548,0.2,674,0.2,527,0.1
1,1,バス通学定期代,25,0,127.3,-,-,-,-,26,0,33,0,-,-,29,0,89,0
1,1,バス通勤定期代,18,0,-78.3,-,-,-,-,-,-,-,-,125,0,-,-,-,-
1,1,タクシー代,779,0.2,-19.9,255,0.2,373,0.2,674,0.3,756,0.3,963,0.3,431,0.1,1989,0.3
1,1,航空運賃,752,0.2,-46.9,-,-,324,0.2,-,-,499,0.2,983,0.3,2067,0.5,1384,0.2
1,1,郵便料,1376,0.4,-16.9,490,0.5,841,0.5,1049,0.5,1350,0.5,1598,0.5,2003,0.5,2292,0.3
1,1,固定電話通信料,2343,0.7,-5,1736,1.6,2036,1.2,2082,1,2040,0.8,2156,0.7,3128,0.8,3214,0.4
1,1,移動電話通信料,7454,2.3,-5.2,2089,1.9,5086,3,6543,3.1,6241,2.4,8485,2.7,12148,3,11538,1.5
1,1,ＮＨＫ放送受信料,759,0.2,25.2,515,0.5,611,0.4,511,0.2,705,0.3,591,0.2,669,0.2,1709,0.2
1,1,ケーブルテレビ受信料,1080,0.3,-10.1,552,0.5,974,0.6,968,0.5,1030,0.4,1094,0.3,1189,0.3,1745,0.2
