項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,748,-,-,104,-,110,-,106,-,109,-,109,-,108,-,102,-
0,世帯人員,3,-,-,2.7,-,2.76,-,3.03,-,2.91,-,3.1,-,3.27,-,3.22,-
0,有業人員,1.32,-,-,1.23,-,1.1,-,1.21,-,1.32,-,1.49,-,1.47,-,1.43,-
0,世帯主平均年齢,57.3,-,-,59.8,-,61.7,-,56.3,-,55.9,-,54.5,-,55.5,-,57.4,-
0,消費支出,322638,100,-2.4,106325,100,163855,100,209081,100,257735,100,318471,100,410128,100,789618,100
2,基礎的支出,167542,51.9,3.7,77417,72.8,106726,65.1,125491,60,152190,59,170599,53.6,211653,51.6,327522,41.5
3,選択的支出,155096,48.1,-8.3,28908,27.2,57129,34.9,83590,40,105546,41,147872,46.4,198475,48.4,462095,58.5
1,食料,82961,25.7,1.4,49465,46.5,62565,38.2,76666,36.7,79455,30.8,93605,29.4,104776,25.5,113775,14.4
2,基礎的支出,64567,20,1.8,43360,40.8,52707,32.2,61298,29.3,61662,23.9,70524,22.1,77006,18.8,85132,10.8
3,選択的支出,18395,5.7,0.2,6106,5.7,9858,6,15368,7.4,17793,6.9,23081,7.2,27770,6.8,28643,3.6
1,住居,31855,9.9,13.4,3648,3.4,6826,4.2,12791,6.1,23109,9,27833,8.7,40445,9.9,107879,13.7
2,基礎的支出,29753,9.2,17.9,3648,3.4,5785,3.5,11426,5.5,22616,8.8,24891,7.8,38666,9.4,100827,12.8
3,選択的支出,2102,0.7,-26.9,-,-,1041,0.6,1365,0.7,493,0.2,2942,0.9,1779,0.4,7052,0.9
1,光熱・水道,19769,6.1,-1.3,12330,11.6,18172,11.1,18962,9.1,18909,7.3,20768,6.5,24499,6,24667,3.1
2,基礎的支出,19769,6.1,-1.3,12330,11.6,18172,11.1,18962,9.1,18909,7.3,20768,6.5,24499,6,24667,3.1
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,12401,3.8,3.5,3666,3.4,5118,3.1,6210,3,12112,4.7,9746,3.1,12808,3.1,37023,4.7
2,基礎的支出,6584,2,-9,2928,2.8,3659,2.2,4595,2.2,6728,2.6,5765,1.8,7376,1.8,14986,1.9
3,選択的支出,5818,1.8,22.6,738,0.7,1459,0.9,1615,0.8,5385,2.1,3981,1.3,5432,1.3,22037,2.8
1,被服及び履物,15409,4.8,-11,4449,4.2,6320,3.9,11804,5.6,13936,5.4,17652,5.5,21804,5.3,31740,4
2,基礎的支出,1261,0.4,27,714,0.7,737,0.4,1404,0.7,1553,0.6,975,0.3,1333,0.3,2105,0.3
3,選択的支出,14147,4.4,-13.3,3735,3.5,5583,3.4,10400,5,12383,4.8,16677,5.2,20471,5,29635,3.8
1,保健医療,17445,5.4,8.9,4335,4.1,8232,5,9581,4.6,15490,6,15767,5,22601,5.5,45938,5.8
2,基礎的支出,11652,3.6,6.2,3487,3.3,6213,3.8,7478,3.6,12537,4.9,11766,3.7,15315,3.7,24680,3.1
3,選択的支出,5794,1.8,15,849,0.8,2019,1.2,2102,1,2952,1.1,4002,1.3,7286,1.8,21258,2.7
1,交通・通信,32216,10,-20.3,8138,7.7,14931,9.1,21400,10.2,24973,9.7,31566,9.9,56186,13.7,67997,8.6
2,基礎的支出,8536,2.6,-5.2,2423,2.3,5686,3.5,6275,3,7709,3,9231,2.9,13495,3.3,14869,1.9
3,選択的支出,23680,7.3,-24.7,5715,5.4,9245,5.6,15125,7.2,17265,6.7,22335,7,42690,10.4,53129,6.7
1,教育,21476,6.7,-17.8,1187,1.1,3470,2.1,2929,1.4,3912,1.5,9902,3.1,12121,3,116330,14.7
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,21476,6.7,-17.8,1187,1.1,3470,2.1,2929,1.4,3912,1.5,9902,3.1,12121,3,116330,14.7
1,教養娯楽,36283,11.2,-3.4,9443,8.9,15562,9.5,23189,11.1,24593,9.5,38080,12,44141,10.8,98519,12.5
2,基礎的支出,8443,2.6,-3.4,4418,4.2,5729,3.5,6174,3,7573,2.9,9116,2.9,10251,2.5,15789,2
3,選択的支出,27840,8.6,-3.4,5024,4.7,9832,6,17015,8.1,17020,6.6,28963,9.1,33890,8.3,82731,10.5
1,その他の消費支出,52821,16.4,2.8,9665,9.1,22659,13.8,25551,12.2,41246,16,53552,16.8,70747,17.2,145748,18.5
2,基礎的支出,16977,5.3,6.8,4111,3.9,8038,4.9,7879,3.8,12903,5,17562,5.5,23711,5.8,44468,5.6
3,選択的支出,35845,11.1,1,5554,5.2,14622,8.9,17672,8.5,28343,11,35990,11.3,47035,11.5,101280,12.8
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成25年10月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
