年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成18年平均,2006,,29.5,31.3,34.9,33.3,29.7,29.3,27.8,22.8
nen,平成19年平均,2007,,29.9,29.9,33.2,34.3,31.1,29.2,29.6,25.3
nen,平成20年平均,2008,,29.2,30.4,31.5,31.9,28.8,28.8,27.6,27.5
nen,平成21年平均,2009,,29.1,32.9,32.8,31.1,30.7,29.8,26.8,24.4
nen,平成22年平均,2010,,28.4,28.5,34.5,31.3,30.9,26.8,27.8,23.3
nen,平成23年平均,2011,,30.2,32.1,29.8,33.3,34.9,28.1,29.3,26.7
nen,平成24年平均,2012,,29.6,30.8,31.3,35.2,30.8,29.4,27,26.5
tuki,平成24年10月,2012,10,32.7,34,33.8,36,30.6,25.4,36,33.2
tuki,平成24年11月,2012,11,27.1,29.9,27.6,31.1,34.3,23.7,26.8,21.3
tuki,平成24年12月,2012,12,25.3,27,31,29.3,25.5,23.4,24.2,21.3
tuki,平成25年1月,2013,1,32.3,31.3,36.2,33.4,31.6,29.8,30.8,33.2
tuki,平成25年2月,2013,2,34.3,28.9,37.3,36,34.4,36.1,38.1,30.2
tuki,平成25年3月,2013,3,27,29.8,24.2,34.1,33.3,27.2,20.4,25.5
tuki,平成25年4月,2013,4,37.5,47.3,29.9,37.4,35,31.8,37.4,41.3
tuki,平成25年5月,2013,5,30.4,29.9,36,33.3,31.7,26.4,28.4,28.9
tuki,平成25年6月,2013,6,27.2,25.8,28.3,33.5,22.1,33.4,31.9,20.2
tuki,平成25年7月,2013,7,26.6,29.9,33.7,33.6,28.9,29.6,22.6,17.9
tuki,平成25年8月,2013,8,25.6,20.4,32.7,32.8,25,25.8,24.7,23.2
tuki,平成25年9月,2013,9,33.1,26.6,28.5,39.5,28.1,28.8,34.3,39.2
tuki,平成25年10月,2013,10,33,27.7,38.8,37.2,32.1,33.9,29.2,33.1
,,,,,,,,,,,
東京都生計分析調査　平成25年10月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
公共的料金負担率〔＝（公共的料金÷消費支出）×１００〕,,,,,,,,,,,
