項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,382,-,-,52,-,54,-,56,-,53,-,59,-,54,-,54,-
0,0,世帯人員,3.27,-,-,2.92,-,2.9,-,3.43,-,3.4,-,3.23,-,3.33,-,3.64,-
0,0,有業人員,1.59,-,-,1.52,-,1.52,-,1.53,-,1.58,-,1.58,-,1.63,-,1.75,-
0,0,世帯主平均年齢,47.1,-,-,52.5,-,48.7,-,44.2,-,46.2,-,44.3,-,46.2,-,47.5,-
0,0,消費支出,336365,-,-4.7,257041,-,292941,-,254340,-,293463,-,361769,-,396660,-,496805,-
0,0,公共的料金,110990,33,-3.7,71238,27.7,113552,38.8,94636,37.2,94192,32.1,122577,33.9,115729,29.2,164264,33.1
1,0,公共料金等,61468,18.3,-9.2,47323,18.4,54349,18.6,61669,24.2,57830,19.7,68368,18.9,72664,18.3,67816,13.7
1,1,米,1891,0.6,-22.7,1634,0.6,1597,0.5,1767,0.7,2142,0.7,1978,0.5,1920,0.5,2199,0.4
1,1,食塩,29,0,-9.4,40,0,15,0,32,0,31,0,22,0,12,0,48,0
1,1,学校給食,1297,0.4,-9.7,734,0.3,534,0.2,1335,0.5,2101,0.7,1117,0.3,1908,0.5,1354,0.3
1,1,公営家賃,1754,0.5,-4.2,3227,1.3,4260,1.5,3438,1.4,1373,0.5,-,-,-,-,-,-
1,1,電気代,10120,3,5.7,9386,3.7,9425,3.2,8555,3.4,10555,3.6,10458,2.9,11172,2.8,11286,2.3
1,1,都市ガス,3706,1.1,4,3241,1.3,3246,1.1,3401,1.3,3881,1.3,3665,1,3873,1,4632,0.9
