項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,372,-,-,50,-,49,-,56,-,54,-,57,-,57,-,49,-
0,0,世帯人員,3.28,-,-,3.2,-,2.8,-,3.31,-,3.43,-,3.29,-,3.5,-,3.4,-
0,0,有業人員,1.61,-,-,1.46,-,1.54,-,1.6,-,1.64,-,1.63,-,1.71,-,1.66,-
0,0,世帯主平均年齢,46.6,-,-,50.3,-,46.8,-,44.1,-,44.8,-,45.5,-,47,-,47.6,-
0,0,消費支出,350728,-,4.2,271487,-,225349,-,314194,-,302131,-,394462,-,460637,-,482713,-
0,0,公共的料金,92554,26.4,1.5,75472,27.8,70294,31.2,100675,32,77132,25.5,77646,19.7,131897,28.6,113796,23.6
1,0,公共料金等,56729,16.2,-6.7,39453,14.5,43674,19.4,60958,19.4,52039,17.2,51825,13.1,82535,17.9,66020,13.7
1,1,米,1783,0.5,-16.4,1343,0.5,1414,0.6,2003,0.6,1618,0.5,1998,0.5,1962,0.4,2129,0.4
1,1,食塩,24,0,-7.7,23,0,25,0,25,0,31,0,19,0,14,0,31,0
1,1,学校給食,1343,0.4,-14.3,882,0.3,199,0.1,1609,0.5,2298,0.8,1640,0.4,1684,0.4,1084,0.2
1,1,公営家賃,1175,0.3,-66.5,1742,0.6,2223,1,2854,0.9,1440,0.5,-,-,-,-,-,-
1,1,電気代,9112,2.6,4.5,7939,2.9,8293,3.7,7774,2.5,8566,2.8,10520,2.7,9936,2.2,10717,2.2
1,1,都市ガス,5294,1.5,11.1,4671,1.7,4369,1.9,4977,1.6,5964,2,5184,1.3,5203,1.1,6688,1.4
1,1,上下水道料,4711,1.3,-4.3,4882,1.8,3131,1.4,5220,1.7,4446,1.5,5469,1.4,4628,1,5169,1.1
1,1,医科診療代,3265,0.9,47.5,2079,0.8,2803,1.2,4831,1.5,1790,0.6,2883,0.7,3168,0.7,5247,1.1
1,1,歯科診療代,1978,0.6,-57.5,1356,0.5,3430,1.5,766,0.2,457,0.2,608,0.2,6336,1.4,859,0.2
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,507,0.1,-5.9,-,-,-,-,3278,1,-,-,-,-,-,-,243,0.1
1,1,鉄道運賃,3167,0.9,2.7,855,0.3,3863,1.7,2320,0.7,2170,0.7,1541,0.4,5910,1.3,5469,1.1
1,1,鉄道通学定期代,360,0.1,373.7,753,0.3,-,-,83,0,-,-,125,0,681,0.1,871,0.2
1,1,鉄道通勤定期代,4178,1.2,66.4,739,0.3,850,0.4,2969,0.9,2832,0.9,4435,1.1,11487,2.5,5792,1.2
1,1,バス代,338,0.1,8.3,235,0.1,205,0.1,167,0.1,543,0.2,286,0.1,373,0.1,558,0.1
1,1,バス通学定期代,26,0,271.4,-,-,41,0,51,0,-,-,-,-,92,0,-,-
1,1,バス通勤定期代,36,0,-70.5,251,0.1,-,-,-,-,-,-,-,-,-,-,-,-
1,1,タクシー代,684,0.2,-35.3,378,0.1,698,0.3,739,0.2,590,0.2,857,0.2,340,0.1,1181,0.2
1,1,航空運賃,1206,0.3,-41,-,-,1248,0.6,2933,0.9,2500,0.8,407,0.1,1362,0.3,-,-
1,1,郵便料,1090,0.3,-31.1,914,0.3,620,0.3,915,0.3,979,0.3,1216,0.3,1184,0.3,1792,0.4
1,1,固定電話通信料,2069,0.6,-8.5,1722,0.6,1168,0.5,2392,0.8,1819,0.6,1921,0.5,2481,0.5,2955,0.6
1,1,移動電話通信料,9590,2.7,-9.9,5013,1.8,7316,3.2,10027,3.2,9251,3.1,9845,2.5,14153,3.1,11407,2.4
1,1,ＮＨＫ放送受信料,860,0.2,68.3,662,0.2,394,0.2,1243,0.4,598,0.2,602,0.2,1798,0.4,702,0.1
1,1,ケーブルテレビ受信料,971,0.3,-19.8,782,0.3,424,0.2,850,0.3,1151,0.4,709,0.2,795,0.2,2083,0.4
1,1,他の受信料,134,0,-28.3,291,0.1,-,-,35,0,301,0.1,17,0,202,0,99,0
1,1,国公立小学校,137,0,-65.1,51,0,69,0,257,0.1,272,0.1,93,0,96,0,124,0
1,1,国公立中学校,107,0,-68.4,117,0,-,-,-,-,171,0.1,125,0,336,0.1,-,-
1,1,国公立高校,150,0,57.9,-,-,162,0.1,-,-,-,-,551,0.1,280,0.1,50,0
1,1,国公立大学,961,0.3,806.6,-,-,-,-,-,-,-,-,-,-,6664,1.4,-,-
1,1,たばこ,1471,0.4,21.2,1769,0.7,728,0.3,2640,0.8,2255,0.7,773,0.2,1372,0.3,769,0.2
2,0,準公共料金等,35825,10.2,17.8,36019,13.3,26619,11.8,39716,12.6,25093,8.3,25821,6.5,49363,10.7,47775,9.9
2,1,牛乳,1379,0.4,19.1,1726,0.6,1137,0.5,1098,0.3,1242,0.4,1335,0.3,1645,0.4,1467,0.3
2,1,灯油,280,0.1,-24.5,398,0.1,214,0.1,587,0.2,93,0,222,0.1,357,0.1,86,0
2,1,プロパンガス,384,0.1,39.6,51,0,570,0.3,120,0,597,0.2,1088,0.3,145,0,121,0
2,1,理髪料,455,0.1,61.9,477,0.2,185,0.1,252,0.1,177,0.1,556,0.1,844,0.2,682,0.1
2,1,パーマネント代,106,0,-67.6,251,0.1,-,-,47,0,452,0.1,-,-,-,-,-,-
2,1,洗濯代,1004,0.3,-5.8,791,0.3,317,0.1,713,0.2,753,0.2,914,0.2,1388,0.3,2138,0.4
2,1,新聞,2487,0.7,-8.4,1876,0.7,1761,0.8,2208,0.7,2686,0.9,2449,0.6,2485,0.5,3930,0.8
2,1,私立小学校,115,0,576.5,-,-,-,-,-,-,-,-,-,-,796,0.2,-,-
2,1,私立中学校,805,0.2,59.4,-,-,-,-,-,-,760,0.3,-,-,986,0.2,3877,0.8
2,1,私立高校,696,0.2,-71.2,-,-,-,-,-,-,1242,0.4,353,0.1,122,0,3159,0.7
2,1,私立大学,6046,1.7,833,13386,4.9,-,-,-,-,760,0.3,-,-,10808,2.3,17307,3.6
2,1,幼稚園,4209,1.2,-23.2,5853,2.2,1665,0.7,5470,1.7,1251,0.4,3335,0.8,8018,1.7,3772,0.8
2,1,民営家賃,17386,5,15.8,10834,4,20770,9.2,29221,9.3,14257,4.7,15263,3.9,21768,4.7,9418,2
2,1,地代,473,0.1,203.2,376,0.1,-,-,-,-,821,0.3,305,0.1,-,-,1818,0.4
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成25年11月,,,,,,,,,,,,,,,,,,,
第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―勤労者世帯―,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
