項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,741,-,-,104,-,103,-,115,-,107,-,100,-,110,-,102,-
0,世帯人員,3,-,-,2.62,-,2.95,-,2.91,-,2.87,-,3.12,-,3.27,-,3.23,-
0,有業人員,1.32,-,-,1.19,-,1.3,-,1.15,-,1.25,-,1.51,-,1.44,-,1.41,-
0,世帯主平均年齢,57.4,-,-,59.5,-,60.9,-,57.9,-,59,-,56.3,-,52.9,-,55.3,-
0,消費支出,318587,100,5.6,107166,100,168344,100,210873,100,262950,100,316449,100,400504,100,760813,100
2,基礎的支出,174383,54.7,13.1,76730,71.6,108893,64.7,131738,62.5,164289,62.5,169745,53.6,197914,49.4,369917,48.6
3,選択的支出,144204,45.3,-2.2,30436,28.4,59451,35.3,79135,37.5,98661,37.5,146704,46.4,202590,50.6,390896,51.4
1,食料,84194,26.4,2.8,45632,42.6,66014,39.2,75253,35.7,78616,29.9,92589,29.3,107695,26.9,123152,16.2
2,基礎的支出,65439,20.5,4.9,39085,36.5,55616,33,60172,28.5,64956,24.7,70439,22.3,76985,19.2,90528,11.9
3,選択的支出,18756,5.9,-3.9,6547,6.1,10398,6.2,15081,7.2,13660,5.2,22150,7,30711,7.7,32624,4.3
1,住居,34050,10.7,53.4,4743,4.4,4508,2.7,15241,7.2,22985,8.7,20874,6.6,38619,9.6,130811,17.2
2,基礎的支出,31841,10,68.3,4743,4.4,4508,2.7,13900,6.6,21178,8.1,16396,5.2,35979,9,125629,16.5
3,選択的支出,2210,0.7,-32.7,-,-,-,-,1340,0.6,1807,0.7,4479,1.4,2640,0.7,5182,0.7
1,光熱・水道,20883,6.6,5.6,14631,13.7,18897,11.2,20099,9.5,20411,7.8,23703,7.5,22427,5.6,25958,3.4
2,基礎的支出,20883,6.6,5.6,14631,13.7,18897,11.2,20099,9.5,20411,7.8,23703,7.5,22427,5.6,25958,3.4
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,11155,3.5,-18.5,2954,2.8,4880,2.9,7165,3.4,7374,2.8,10285,3.3,15075,3.8,30233,4
2,基礎的支出,6973,2.2,-17,2480,2.3,3529,2.1,5327,2.5,4935,1.9,6216,2,8199,2,18055,2.4
3,選択的支出,4182,1.3,-20.9,474,0.4,1351,0.8,1838,0.9,2439,0.9,4069,1.3,6876,1.7,12178,1.6
1,被服及び履物,19186,6,2.1,5346,5,9744,5.8,8481,4,11665,4.4,23754,7.5,26565,6.6,48594,6.4
2,基礎的支出,1401,0.4,11.4,436,0.4,1072,0.6,1027,0.5,1274,0.5,2420,0.8,1468,0.4,2106,0.3
3,選択的支出,17785,5.6,1.5,4910,4.6,8673,5.2,7454,3.5,10392,4,21334,6.7,25097,6.3,46488,6.1
1,保健医療,15215,4.8,0.5,4633,4.3,7936,4.7,11431,5.4,21173,8.1,19529,6.2,17390,4.3,24271,3.2
2,基礎的支出,10555,3.3,19.4,3472,3.2,6314,3.8,7464,3.5,17200,6.5,14581,4.6,11410,2.8,13352,1.8
3,選択的支出,4660,1.5,-26.1,1161,1.1,1622,1,3967,1.9,3973,1.5,4949,1.6,5980,1.5,10918,1.4
