年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成18年平均,2006,,23.9,42.2,33.9,31.3,28,26.5,23.7,15
nen,平成19年平均,2007,,23.6,42.5,34.8,30.7,28,25.3,22.8,14.4
nen,平成20年平均,2008,,24.5,42.3,35.7,31.2,28.5,25.9,23.6,15.6
nen,平成21年平均,2009,,24.3,44.1,35.5,30.9,28.2,26.5,23.2,15.2
nen,平成22年平均,2010,,23.7,43.1,35.1,31.1,28.3,26,22.2,14.3
nen,平成23年平均,2011,,24.8,43.8,36.2,31.5,28.8,26.5,23.9,15.5
nen,平成24年平均,2012,,24.5,42.6,35,31.7,29.1,27.1,23.4,15.2
tuki,平成24年11月,2012,11,25.4,41.1,34.4,33.1,29,27.5,21.5,17.8
tuki,平成24年12月,2012,12,27.3,43.8,36.3,33.1,30.7,27.8,26.2,19.1
tuki,平成25年1月,2013,1,22.9,39.2,32.5,30.3,28,22.9,20.9,14.9
tuki,平成25年2月,2013,2,24.8,43.7,34.7,31.2,28.2,25.6,25.2,15
tuki,平成25年3月,2013,3,22.9,43,33.8,32.8,27,25.1,23.4,12.8
tuki,平成25年4月,2013,4,22,42.5,33.3,32.7,27.5,25.6,22.7,11.3
tuki,平成25年5月,2013,5,25.1,44.9,34.8,32.1,28.2,27.4,24.6,15.4
tuki,平成25年6月,2013,6,24.2,45.6,38.2,31.9,28.8,25.6,24.1,14.3
tuki,平成25年7月,2013,7,22.7,42.7,36.9,33.4,28.5,25.8,23.7,11.8
tuki,平成25年8月,2013,8,25.2,48.2,35.6,33.9,29.9,28.1,24.6,14.8
tuki,平成25年9月,2013,9,23.9,46.1,38.5,32.9,30.1,28.6,24.7,12.7
tuki,平成25年10月,2013,10,24.4,45.8,36.4,34.9,28.9,28.1,24.4,13.4
tuki,平成25年11月,2013,11,24.3,41,37.5,33.1,27.3,27.2,24.6,14.2
,,,,,,,,,,,
東京都生計分析調査　平成25年11月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
エンゲル係数〔＝（食料費÷消費支出）×１００〕,,,,,,,,,,,
