項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,752,-,-,104,-,108,-,108,-,104,-,110,-,108,-,110,-
0,世帯人員,2.95,-,-,2.7,-,2.75,-,2.83,-,2.8,-,3.2,-,3.14,-,3.25,-
0,有業人員,1.32,-,-,1.31,-,1.02,-,1.26,-,1.25,-,1.32,-,1.52,-,1.53,-
0,世帯主平均年齢,57.8,-,-,57.5,-,61,-,60.3,-,57,-,54.8,-,56.9,-,57,-
0,消費支出,360671,100,2.6,127507,100,201636,100,256673,100,310916,100,371219,100,466321,100,788320,100
2,基礎的支出,202465,56.1,4.5,93060,73,139554,69.2,160826,62.7,184390,59.3,205879,55.5,249019,53.4,383584,48.7
3,選択的支出,158207,43.9,0.4,34447,27,62083,30.8,95847,37.3,126526,40.7,165341,44.5,217302,46.6,404736,51.3
1,食料,107004,29.7,0.3,59359,46.6,80879,40.1,93882,36.6,101689,32.7,118135,31.8,133981,28.7,160777,20.4
2,基礎的支出,83754,23.2,-0.2,51259,40.2,68670,34.1,72986,28.4,79219,25.5,93389,25.2,101246,21.7,119271,15.1
3,選択的支出,23249,6.4,2.3,8100,6.4,12209,6.1,20896,8.1,22470,7.2,24746,6.7,32734,7,41505,5.3
1,住居,31987,8.9,17.6,4584,3.6,16423,8.1,17572,6.8,29705,9.6,22328,6,37949,8.1,95056,12.1
2,基礎的支出,29864,8.3,27.1,4133,3.2,15536,7.7,16816,6.6,25771,8.3,19816,5.3,34106,7.3,92587,11.7
3,選択的支出,2123,0.6,-42.8,451,0.4,887,0.4,756,0.3,3934,1.3,2512,0.7,3843,0.8,2469,0.3
1,光熱・水道,23325,6.5,-6.9,16216,12.7,20164,10,23449,9.1,21499,6.9,25150,6.8,27105,5.8,29655,3.8
2,基礎的支出,23325,6.5,-6.9,16216,12.7,20164,10,23449,9.1,21499,6.9,25150,6.8,27105,5.8,29655,3.8
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,13031,3.6,-3.7,4814,3.8,6292,3.1,8889,3.5,11729,3.8,16059,4.3,17905,3.8,25457,3.2
2,基礎的支出,7469,2.1,-5.1,3659,2.9,4419,2.2,6307,2.5,6774,2.2,8675,2.3,9864,2.1,12557,1.6
3,選択的支出,5562,1.5,-1.9,1154,0.9,1872,0.9,2583,1,4955,1.6,7384,2,8040,1.7,12900,1.6
1,被服及び履物,17322,4.8,-6.4,4187,3.3,5844,2.9,10120,3.9,19872,6.4,20936,5.6,20768,4.5,39392,5
2,基礎的支出,1410,0.4,2.3,634,0.5,934,0.5,883,0.3,1812,0.6,1481,0.4,1388,0.3,2726,0.3
3,選択的支出,15912,4.4,-7.1,3553,2.8,4911,2.4,9238,3.6,18060,5.8,19455,5.2,19380,4.2,36666,4.7
1,保健医療,15775,4.4,-0.1,5009,3.9,9531,4.7,10949,4.3,15473,5,20282,5.5,28598,6.1,20545,2.6
2,基礎的支出,11530,3.2,20,4287,3.4,7721,3.8,9125,3.6,11197,3.6,11317,3,22306,4.8,14748,1.9
3,選択的支出,4245,1.2,-31.2,722,0.6,1809,0.9,1824,0.7,4276,1.4,8965,2.4,6292,1.3,5796,0.7
1,交通・通信,39496,11,9.9,10569,8.3,19806,9.8,25021,9.7,30389,9.8,34275,9.2,44503,9.5,111577,14.2
2,基礎的支出,10135,2.8,-2.2,3196,2.5,6832,3.4,9083,3.5,8961,2.9,12230,3.3,13291,2.9,17301,2.2
3,選択的支出,29361,8.1,14.7,7373,5.8,12974,6.4,15938,6.2,21428,6.9,22045,5.9,31212,6.7,94276,12
1,教育,12510,3.5,22.7,511,0.4,1793,0.9,3241,1.3,4644,1.5,8726,2.4,19924,4.3,48595,6.2
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,12510,3.5,22.7,511,0.4,1793,0.9,3241,1.3,4644,1.5,8726,2.4,19924,4.3,48595,6.2
1,教養娯楽,40145,11.1,-9,10648,8.4,17968,8.9,23772,9.3,30723,9.9,44286,11.9,58851,12.6,94509,12
2,基礎的支出,11179,3.1,0.1,4915,3.9,7511,3.7,8941,3.5,9864,3.2,12503,3.4,15050,3.2,19426,2.5
3,選択的支出,28966,8,-12.1,5733,4.5,10457,5.2,14831,5.8,20859,6.7,31783,8.6,43802,9.4,75083,9.5
1,その他の消費支出,60076,16.7,10.4,11610,9.1,22936,11.4,39777,15.5,45194,14.5,61042,16.4,76739,16.5,162757,20.6
2,基礎的支出,23798,6.6,13.6,4760,3.7,7766,3.9,13236,5.2,19294,6.2,21318,5.7,24663,5.3,75311,9.6
3,選択的支出,36278,10.1,8.4,6850,5.4,15170,7.5,26540,10.3,25900,8.3,39725,10.7,52076,11.2,87446,11.1
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成25年12月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
