項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,2565,-,3234,-,3297,-,904,-
0,0,0,0,0,調査世帯数,372,-,89,-,117,-,128,-,38,-
0,0,0,0,0,世帯人員,3.28,-,2,-,3,-,4,-,5.28,-
0,0,0,0,0,有業人員,1.61,-,1.59,-,1.58,-,1.55,-,1.96,-
0,0,0,0,0,世帯主平均年齢,46.6,-,49.2,-,45.8,-,45,-,47.7,-
1,0,0,0,0,受取,998377,-,880195,-,1042993,-,1039969,-,1022364,-
1,1,0,0,0,実収入,493430,100,412422,100,529225,100,508443,100,540439,100
1,2,0,0,0,経常収入,488722,99,407820,98.9,524045,99,502932,98.9,540053,99.9
1,3,0,0,0,勤め先収入,481816,97.6,398140,96.5,516112,97.5,498240,98,536619,99.3
1,4,0,0,0,世帯主収入,422504,85.6,318507,77.2,456858,86.3,459089,90.3,461208,85.3
1,6,0,0,0,うち男,403934,81.9,281495,68.3,432226,81.7,456932,89.9,456774,84.5
1,5,0,0,0,定期収入,416971,84.5,317116,76.9,446482,84.4,455228,89.5,455153,84.2
1,5,0,0,0,臨時収入,3356,0.7,3,0,4746,0.9,3861,0.8,6055,1.1
1,5,0,0,0,賞与,2176,0.4,1388,0.3,5629,1.1,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,54606,11.1,76474,18.5,57112,10.8,32372,6.4,64694,12
1,6,0,0,0,うち女,53151,10.8,73282,17.8,57112,10.8,30444,6,64694,12
1,4,0,0,0,他の世帯員収入,4707,1,3159,0.8,2142,0.4,6778,1.3,10716,2
1,3,0,0,0,事業・内職収入,2450,0.5,4981,1.2,2451,0.5,928,0.2,811,0.2
1,4,0,0,0,家賃収入,1068,0.2,4165,1,-,-,-,-,-,-
1,4,0,0,0,他の事業収入,876,0.2,555,0.1,2270,0.4,-,-,-,-
1,4,0,0,0,内職収入,505,0.1,261,0.1,182,0,928,0.2,811,0.2
1,3,0,0,0,他の経常収入,4456,0.9,4699,1.1,5482,1,3765,0.7,2623,0.5
1,4,0,0,0,財産収入,151,0,278,0.1,220,0,25,0,-,-
1,4,0,0,0,社会保障給付,3785,0.8,4416,1.1,4854,0.9,3200,0.6,304,0.1
1,5,0,0,0,公的年金給付,1050,0.2,4095,1,-,-,-,-,-,-
1,5,0,0,0,他の社会保障給付,2734,0.6,320,0.1,4854,0.9,3200,0.6,304,0.1
1,4,0,0,0,仕送り金,521,0.1,6,0,408,0.1,540,0.1,2319,0.4
1,2,0,0,0,特別収入,4707,1,4601,1.1,5179,1,5511,1.1,386,0.1
1,3,0,0,0,受贈金,2543,0.5,2451,0.6,1332,0.3,4440,0.9,213,0
1,3,0,0,0,他の特別収入,2165,0.4,2151,0.5,3847,0.7,1071,0.2,173,0
1,1,0,0,0,実収入以外の受取(繰入金を除く),427109,-,384164,-,443588,-,444787,-,425519,-
1,2,0,0,0,預貯金引出,348663,-,312023,-,367215,-,355499,-,361318,-
1,2,0,0,0,保険金,864,-,3371,-,-,-,-,-,-,-
1,3,0,0,0,個人・企業年金保険金,864,-,3371,-,-,-,-,-,-,-
1,3,0,0,0,他の保険金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,5379,-,18132,-,91,-,1229,-,3247,-
1,2,0,0,0,一括払購入借入金,72166,-,50638,-,76282,-,87948,-,60953,-
