項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,752,-,-,104,-,108,-,108,-,104,-,110,-,108,-,110,-
0,0,0,0,0,世帯人員,2.95,-,-,2.7,-,2.75,-,2.83,-,2.8,-,3.2,-,3.14,-,3.25,-
0,0,0,0,0,有業人員,1.32,-,-,1.31,-,1.02,-,1.26,-,1.25,-,1.32,-,1.52,-,1.53,-
0,0,0,0,0,世帯主平均年齢,57.8,-,-,57.5,-,61,-,60.3,-,57,-,54.8,-,56.9,-,57,-
2,2,0,0,0,生計支出,393918,-,12.1,127507,-,201636,-,256673,-,310916,-,371219,-,466321,-,1020242,-
2,3,0,0,0,消費支出,360671,100,2.6,127507,100,201636,100,256673,100,310916,100,371219,100,466321,100,788320,100
2,4,1,0,0,食料,95789,26.6,-0.3,55626,43.6,73905,36.7,86277,33.6,93005,29.9,105131,28.3,118600,25.4,137717,17.5
2,5,1,1,0,穀類,7604,2.1,-4.1,5312,4.2,6960,3.5,6988,2.7,7276,2.3,8049,2.2,8407,1.8,10218,1.3
2,6,1,1,1,米類,2274,0.6,-3.1,1377,1.1,2313,1.1,2057,0.8,2158,0.7,2290,0.6,2340,0.5,3376,0.4
2,6,1,1,2,パン,2584,0.7,-1,1811,1.4,2277,1.1,2404,0.9,2479,0.8,2650,0.7,2910,0.6,3552,0.5
2,6,1,1,3,めん類,1431,0.4,-15.2,1273,1,1330,0.7,1190,0.5,1324,0.4,1603,0.4,1632,0.3,1666,0.2
2,6,1,1,4,他の穀類,1315,0.4,2.5,851,0.7,1040,0.5,1337,0.5,1316,0.4,1506,0.4,1525,0.3,1624,0.2
2,5,1,2,0,魚介類,9831,2.7,-0.9,4982,3.9,9252,4.6,9913,3.9,8820,2.8,9988,2.7,12291,2.6,13549,1.7
2,6,1,2,1,生鮮魚介,5184,1.4,-1,2747,2.2,4399,2.2,5065,2,4338,1.4,5091,1.4,6767,1.5,7872,1
2,6,1,2,2,塩干魚介,1620,0.4,-1.2,715,0.6,1742,0.9,1762,0.7,1507,0.5,1874,0.5,1847,0.4,1888,0.2
2,6,1,2,3,魚肉練製品,1451,0.4,-7.6,765,0.6,1408,0.7,1543,0.6,1577,0.5,1330,0.4,1801,0.4,1735,0.2
2,6,1,2,4,他の魚介加工品,1576,0.4,6.8,755,0.6,1703,0.8,1543,0.6,1399,0.4,1694,0.5,1876,0.4,2053,0.3
2,5,1,3,0,肉類,8379,2.3,7,5053,4,6854,3.4,7183,2.8,7917,2.5,9309,2.5,10166,2.2,12147,1.5
2,6,1,3,1,生鮮肉,6831,1.9,8,4186,3.3,5584,2.8,5769,2.2,6448,2.1,7494,2,8393,1.8,9925,1.3
2,6,1,3,2,加工肉,1548,0.4,3,867,0.7,1271,0.6,1414,0.6,1469,0.5,1815,0.5,1774,0.4,2222,0.3
2,5,1,4,0,乳卵類,4007,1.1,4.4,2532,2,3697,1.8,3569,1.4,4298,1.4,4267,1.1,4652,1,5025,0.6
