実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
jissu,nen,実数_平成21年平均,2009,,750,3.03,1.31,56.2,339130,332439,80851,25678,21846,11128,15868,15466,35246,18962,40374,67019,24364,6692
jissu,nen,実数_平成22年平均,2010,,759,3.03,1.33,56.3,337735,331740,78774,25287,22403,11136,15681,15099,35925,19395,42823,65217,25458,5996
jissu,nen,実数_平成23年平均,2011,,760,3.01,1.3,57,328226,314480,77905,23660,21230,10721,13954,15528,33516,19827,36664,61475,23613,13746
jissu,nen,実数_平成24年平均,2012,,754,2.97,1.29,57.2,328955,321982,78922,25580,23122,11094,14776,15568,35244,19271,36575,61832,25251,6973
jissu,sihan,実数_平成23年10～12月,2011,10～12,759,3,1.31,57.1,360114,328538,84259,22184,20096,12296,16360,16715,35709,18390,36936,65593,24522,31576
jissu,sihan,実数_平成24年1～3月,2012,1～3,749,2.99,1.32,57,320420,315210,76872,22135,28963,9531,13826,15050,32232,18316,33733,64550,26618,5210
jissu,sihan,実数_平成24年4～6月,2012,4～6,756,2.99,1.34,57.4,337107,326235,78426,27795,22593,10934,14444,14268,36017,27344,35291,59123,23770,10872
jissu,sihan,実数_平成24年7～9月,2012,7～9,762,2.93,1.26,57.4,320140,318545,77056,26566,19318,11058,13425,17416,36876,15723,39178,61930,25536,1595
jissu,sihan,実数_平成24年10～12月,2012,10～12,748,2.99,1.24,57.1,338155,327939,83332,25822,21614,12853,17410,15540,35850,15699,38096,61722,25082,10215
jissu,tuki,実数_平成24年2月,2012,2,749,2.98,1.32,57.2,300382,291432,74767,19641,30737,9383,11102,15844,28308,14600,30031,57019,25483,8950
jissu,tuki,実数_平成24年3月,2012,3,742,2.99,1.32,57,340905,334225,79930,20855,28375,10072,14350,16718,36766,22987,38789,65382,28866,6680
jissu,tuki,実数_平成24年4月,2012,4,752,2.99,1.36,57.4,353149,351984,78662,21208,25565,9440,14249,13496,39371,56297,32929,60767,24709,1165
jissu,tuki,実数_平成24年5月,2012,5,752,3,1.36,57.2,324791,322993,80078,38767,22944,9904,14435,14417,36185,15193,34403,56669,22618,1798
jissu,tuki,実数_平成24年6月,2012,6,763,2.98,1.31,57.5,333381,303727,76539,23411,19269,13458,14647,14891,32494,10543,38542,59934,23982,29654
jissu,tuki,実数_平成24年7月,2012,7,763,2.93,1.27,57.6,327874,323090,77480,27655,18007,12867,17059,18882,35113,13193,41590,61243,23557,4784
jissu,tuki,実数_平成24年8月,2012,8,761,2.94,1.23,57.2,323425,323425,77599,29657,19882,10783,11178,16726,38909,11006,41166,66520,28104,-
jissu,tuki,実数_平成24年9月,2012,9,763,2.93,1.27,57.5,309120,309120,76088,22385,20064,9525,12038,16639,36606,22970,34777,58028,24947,-
jissu,tuki,実数_平成24年10月,2012,10,755,2.94,1.23,57.4,330739,330739,77376,28100,20027,11794,16782,15945,40410,26120,36867,57319,24735,-
jissu,tuki,実数_平成24年11月,2012,11,750,2.99,1.23,57.2,332297,301651,76572,22199,19768,13504,17888,15044,31315,10856,35063,59442,24697,30646
jissu,tuki,実数_平成24年12月,2012,12,740,3.03,1.27,56.8,351428,351428,96049,27168,25046,13262,17561,15631,35826,10120,42359,68406,25814,-
jissu,tuki,実数_平成25年1月,2013,1,731,3,1.27,56.9,362589,320042,73440,23720,29571,9232,16795,13791,36474,18768,32591,65659,22931,42547
jissu,tuki,実数_平成25年2月,2013,2,748,3.01,1.28,57.2,295893,294492,73011,23708,31297,9330,12469,13822,32773,12623,33363,52098,22381,1401
meimoku,nen,対前年（同期・同月）名目増加率_平成21年平均,2009,,-,-,-,-,3.4,3.7,3.1,12.3,-2.2,8.9,5.8,6.5,5,-3,2.4,3.6,6.9,-10.6
meimoku,nen,対前年（同期・同月）名目増加率_平成22年平均,2010,,-,-,-,-,-0.4,-0.2,-2.6,-1.5,2.5,0.1,-1.2,-2.4,1.9,2.3,6.1,-2.7,4.5,-10.4
meimoku,nen,対前年（同期・同月）名目増加率_平成23年平均,2011,,-,-,-,-,-2.8,-5.2,-1.1,-6.4,-5.2,-3.7,-11,2.8,-6.7,2.2,-14.4,-5.7,-7.2,129.3
meimoku,nen,対前年（同期・同月）名目増加率_平成24年平均,2012,,-,-,-,-,0.2,2.4,1.3,8.1,8.9,3.5,5.9,0.3,5.2,-2.8,-0.2,0.6,6.9,-49.3
meimoku,sihan,対前年（同期・同月）名目増加率_平成23年10～12月,2011,10～12,-,-,-,-,10.8,1.1,2.7,-12.6,0.9,9.1,-0.5,6.3,4.8,20.6,-14.6,6.2,11.6,...
meimoku,sihan,対前年（同期・同月）名目増加率_平成24年1～3月,2012,1～3,-,-,-,-,2,2.5,4,-0.3,10.5,6.4,7.5,-8.2,-6.6,4.5,3.8,3.3,14.6,-21.7
meimoku,sihan,対前年（同期・同月）名目増加率_平成24年4～6月,2012,4～6,-,-,-,-,3.2,3.4,3.8,-3.1,12,3.8,-0.8,-7.2,18.6,12,-6,1.4,-0.2,-2.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成24年7～9月,2012,7～9,-,-,-,-,2.6,4,-1.1,23.3,4.8,-0.4,11.5,27.8,10.1,-17.2,-1.2,4.1,11.6,-71.7
meimoku,sihan,対前年（同期・同月）名目増加率_平成24年10～12月,2012,10～12,-,-,-,-,-6.1,-0.2,-1.1,16.4,7.6,4.5,6.4,-7,0.4,-14.6,3.1,-5.9,2.3,-67.6
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年2月,2012,2,-,-,-,-,0,-1.5,6.1,-13,12,22.3,8.1,2.6,-22.2,-11.8,-11.9,4,10.3,92.5
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年3月,2012,3,-,-,-,-,5.8,7.9,3.4,-4.6,8.7,28.7,37.5,-23.9,0,46.9,37.6,2.5,12.4,-45.9
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年4月,2012,4,-,-,-,-,4.6,4.2,6.3,-16.7,12,-3.6,0.5,-7.9,24.3,21.1,-10,-2.1,-5.7,...
meimoku,tuki,対前年（同期・同月）名目増加率_平成24年5月,2012,5,-,-,-,-,3.4,3.8,2.8,11.2,14.7,3.3,-4.9,-14.7,17.8,-1.8,-3.8,3.3,7.5,-36.2
