項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,2705,-,3123,-,3199,-,973,-
0,0,0,0,0,調査世帯数,382,-,97,-,116,-,126,-,43,-
0,0,0,0,0,世帯人員,3.27,-,2,-,3,-,4,-,5.22,-
0,0,0,0,0,有業人員,1.59,-,1.53,-,1.56,-,1.54,-,2,-
0,0,0,0,0,世帯主平均年齢,47.1,-,49.8,-,46.1,-,45.1,-,49,-
1,0,0,0,0,受取,1006294,-,861578,-,1021695,-,1084728,-,1101209,-
1,1,0,0,0,実収入,516001,100,433587,100,519820,100,564764,100,572479,100
1,2,0,0,0,経常収入,513014,99.4,430513,99.3,517354,99.5,560836,99.3,571154,99.8
1,3,0,0,0,勤め先収入,477261,92.5,388724,89.7,471376,90.7,538961,95.4,539365,94.2
1,4,0,0,0,世帯主収入,415675,80.6,316268,72.9,434259,83.5,474371,84,439356,76.7
1,6,0,0,0,うち男,399025,77.3,277229,63.9,417591,80.3,472835,83.7,435299,76
1,5,0,0,0,定期収入,408533,79.2,311080,71.7,424440,81.7,468727,83,430451,75.2
1,5,0,0,0,臨時収入,4831,0.9,3549,0.8,3839,0.7,5644,1,8905,1.6
1,5,0,0,0,賞与,2311,0.4,1639,0.4,5981,1.2,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,55717,10.8,68574,15.8,35201,6.8,58346,10.3,77161,13.5
1,6,0,0,0,うち女,54940,10.6,66063,15.2,35201,6.8,58041,10.3,77161,13.5
1,4,0,0,0,他の世帯員収入,5870,1.1,3882,0.9,1915,0.4,6243,1.1,22848,4
1,3,0,0,0,事業・内職収入,1690,0.3,885,0.2,4056,0.8,354,0.1,724,0.1
1,4,0,0,0,家賃収入,652,0.1,885,0.2,1096,0.2,-,-,724,0.1
1,4,0,0,0,他の事業収入,470,0.1,-,-,1506,0.3,-,-,-,-
1,4,0,0,0,内職収入,567,0.1,-,-,1454,0.3,354,0.1,-,-
1,3,0,0,0,他の経常収入,34063,6.6,40904,9.4,41923,8.1,21521,3.8,31065,5.4
1,4,0,0,0,財産収入,113,0,190,0,-,-,193,0,-,-
1,4,0,0,0,社会保障給付,33950,6.6,40714,9.4,41923,8.1,21328,3.8,31065,5.4
1,5,0,0,0,公的年金給付,18932,3.7,37811,8.7,22342,4.3,1330,0.2,13393,2.3
1,5,0,0,0,他の社会保障給付,15018,2.9,2903,0.7,19581,3.8,19998,3.5,17672,3.1
1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,特別収入,2987,0.6,3074,0.7,2466,0.5,3928,0.7,1325,0.2
