項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,757,-,-,104,-,110,-,112,-,115,-,110,-,102,-,104,-
0,世帯人員,3.08,-,-,2.72,-,2.99,-,2.79,-,3.15,-,3.09,-,3.44,-,3.35,-
0,有業人員,1.32,-,-,1.1,-,1.34,-,1.19,-,1.23,-,1.26,-,1.62,-,1.48,-
0,世帯主平均年齢,57.3,-,-,60.5,-,59.3,-,59.6,-,57.7,-,55.5,-,54.3,-,53.9,-
0,消費支出,359920,100,11.4,111328,100,177899,100,227918,100,282996,100,344977,100,427692,100,944254,100
2,基礎的支出,182158,50.6,11.3,81575,73.3,113334,63.7,146436,64.2,161648,57.1,174810,50.7,197596,46.2,398833,42.2
3,選択的支出,177762,49.4,11.5,29752,26.7,64566,36.3,81482,35.8,121348,42.9,170168,49.3,230096,53.8,545421,57.8
1,食料,88942,24.7,5.5,49325,44.3,70180,39.4,82503,36.2,88712,31.3,96401,27.9,109440,25.6,125621,13.3
2,基礎的支出,68631,19.1,5.3,43546,39.1,58852,33.1,68532,30.1,69742,24.6,71985,20.9,80380,18.8,87118,9.2
3,選択的支出,20311,5.6,6.1,5778,5.2,11328,6.4,13971,6.1,18970,6.7,24415,7.1,29060,6.8,38503,4.1
1,住居,37299,10.4,34.8,3848,3.5,6937,3.9,20444,9,20105,7.1,26579,7.7,28375,6.6,154580,16.4
2,基礎的支出,35319,9.8,38.9,3848,3.5,5471,3.1,19178,8.4,20105,7.1,24608,7.1,26772,6.3,147055,15.6
3,選択的支出,1979,0.5,-12.3,-,-,1466,0.8,1266,0.6,-,-,1972,0.6,1604,0.4,7525,0.8
1,光熱・水道,19671,5.5,9.2,13546,12.2,18648,10.5,18604,8.2,17089,6,20658,6,23652,5.5,25414,2.7
2,基礎的支出,19671,5.5,9.2,13546,12.2,18648,10.5,18604,8.2,17089,6,20658,6,23652,5.5,25414,2.7
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,13726,3.8,3.6,3624,3.3,5674,3.2,7277,3.2,15815,5.6,15713,4.6,14939,3.5,32971,3.5
2,基礎的支出,6696,1.9,-10.2,2802,2.5,4031,2.3,5283,2.3,7211,2.5,8643,2.5,7816,1.8,11059,1.2
3,選択的支出,7030,2,21.3,823,0.7,1643,0.9,1994,0.9,8603,3,7070,2,7124,1.7,21911,2.3
1,被服及び履物,15363,4.3,-14.7,3768,3.4,6706,3.8,10203,4.5,14417,5.1,16516,4.8,21815,5.1,34008,3.6
2,基礎的支出,1297,0.4,-13.9,413,0.4,691,0.4,1047,0.5,1288,0.5,1800,0.5,1255,0.3,2582,0.3
3,選択的支出,14066,3.9,-14.8,3355,3,6015,3.4,9156,4,13128,4.6,14716,4.3,20561,4.8,31426,3.3
1,保健医療,15181,4.2,-19.9,5542,5,8839,5,10629,4.7,11201,4,12896,3.7,21773,5.1,35265,3.7
2,基礎的支出,10362,2.9,-28.3,4739,4.3,6503,3.7,9106,4,8380,3,10344,3,14351,3.4,19048,2
3,選択的支出,4819,1.3,6.9,802,0.7,2336,1.3,1524,0.7,2822,1,2551,0.7,7422,1.7,16217,1.7
1,交通・通信,43772,12.2,24,7920,7.1,15026,8.4,19948,8.8,31556,11.2,41330,12,46392,10.8,143929,15.2
2,基礎的支出,9224,2.6,10.7,2740,2.5,4240,2.4,5658,2.5,10779,3.8,9722,2.8,10273,2.4,21110,2.2
3,選択的支出,34548,9.6,28.2,5180,4.7,10786,6.1,14290,6.3,20777,7.3,31608,9.2,36119,8.4,122819,13
1,教育,13834,3.8,4.9,920,0.8,3250,1.8,3867,1.7,9460,3.3,9373,2.7,23878,5.6,45923,4.9
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,13834,3.8,4.9,920,0.8,3250,1.8,3867,1.7,9460,3.3,9373,2.7,23878,5.6,45923,4.9
1,教養娯楽,47626,13.2,9.4,9651,8.7,17602,9.9,20532,9,30797,10.9,47774,13.8,55327,12.9,151351,16
2,基礎的支出,8098,2.2,-12,4252,3.8,6191,3.5,6870,3,7701,2.7,8945,2.6,10304,2.4,12381,1.3
3,選択的支出,39528,11,15.1,5399,4.8,11412,6.4,13662,6,23096,8.2,38829,11.3,45023,10.5,138969,14.7
1,その他の消費支出,64505,17.9,26.9,13185,11.8,25037,14.1,33912,14.9,43844,15.5,57739,16.7,82099,19.2,195193,20.7
2,基礎的支出,22859,6.4,61.7,5689,5.1,8708,4.9,12157,5.3,19353,6.8,18106,5.2,22793,5.3,73066,7.7
3,選択的支出,41646,11.6,13.5,7496,6.7,16329,9.2,21755,9.5,24492,8.7,39633,11.5,59306,13.9,122127,12.9
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成25年7月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
