年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成18年平均,2006,,43.9,22.7,30.5,34.6,38.1,41.5,44.5,55
nen,平成19年平均,2007,,43.9,23.5,30.9,34.8,38.3,42,45.5,54.4
nen,平成20年平均,2008,,44.4,22.3,28.9,33.2,37.3,41.8,46.8,57.1
nen,平成21年平均,2009,,44.6,23.4,30.1,34.1,37.9,42.3,48,55.8
nen,平成22年平均,2010,,49.3,26.4,33.4,39.5,43.7,47.3,53.5,59.8
nen,平成23年平均,2011,,48.1,26.2,33.2,38.8,42.2,45.3,50.7,59.6
nen,平成24年平均,2012,,48.8,28.4,33.4,38.7,41.7,46.3,51.7,60.4
tuki,平成24年3月,2012,3,50.4,30.4,29.2,36,39.9,46.4,49.3,66.8
tuki,平成24年4月,2012,4,54.5,28.1,35.2,37.9,42,45.3,55.1,71.1
tuki,平成24年5月,2012,5,46.3,28.6,34.5,38.5,41,47.7,52.4,51.9
tuki,平成24年6月,2012,6,48.6,30.7,31.2,36.7,41.9,43.9,51.6,61.8
tuki,平成24年7月,2012,7,49.3,29.7,30.9,36.6,41.1,49.9,53.5,60.4
tuki,平成24年8月,2012,8,48.1,25.9,32.9,42.6,42.4,49.6,51.6,55.8
tuki,平成24年9月,2012,9,50.2,26.5,34.2,40.2,44.5,47.5,53,61.1
tuki,平成24年10月,2012,10,51.2,26.5,36.3,40.8,44.6,47.6,54.8,61.9
tuki,平成24年11月,2012,11,48.9,29,37.6,38.6,45.5,45.9,52.7,59
tuki,平成24年12月,2012,12,44.8,27.8,31.8,37,43.2,44.5,48.9,52.4
tuki,平成25年1月,2013,1,48.1,24.4,32.9,38.7,41.9,46.6,49.8,60.8
tuki,平成25年2月,2013,2,47.6,27.4,31.3,39.9,41.4,45.2,48,60.9
tuki,平成25年3月,2013,3,49.2,27.1,34.7,37.5,42.3,44.3,50.9,61.8
,,,,,,,,,,,
東京都生計分析調査　平成25年3月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
選択的支出係数〔＝（選択的支出÷消費支出）×１００〕,,,,,,,,,,,
