項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,6885,-,1925,-,438,-,752,-
0,0,0,0,0,調査世帯数,379,-,268,-,69,-,16,-,26,-
0,0,0,0,0,世帯人員,3.21,-,3.34,-,2.79,-,3,-,3.28,-
0,0,0,0,0,有業人員,1.61,-,1.66,-,1.53,-,1.56,-,1.44,-
0,0,0,0,0,世帯主平均年齢,47.1,-,49.3,-,41.2,-,48.2,-,41.2,-
1,0,0,0,0,受取,1600616,-,1702761,-,1468578,-,741381,-,1503837,-
1,1,0,0,0,実収入,976594,100,1081192,100,731810,100,465772,100,943170,100
1,2,0,0,0,経常収入,957680,98.1,1056709,97.7,727892,99.5,459718,98.7,929357,98.5
1,3,0,0,0,勤め先収入,929103,95.1,1020655,94.4,724878,99.1,394253,84.6,925273,98.1
1,4,0,0,0,世帯主収入,840694,86.1,924372,85.5,624768,85.4,385314,82.7,892666,94.6
1,6,0,0,0,うち男,811787,83.1,908667,84,546669,74.7,315528,67.7,892666,94.6
1,5,0,0,0,定期収入,428291,43.9,456582,42.2,360774,49.3,218974,47,464062,49.2
1,5,0,0,0,臨時収入,3937,0.4,4782,0.4,3212,0.4,326,0.1,162,0
1,5,0,0,0,賞与,408465,41.8,463008,42.8,260781,35.6,166015,35.6,428442,45.4
1,4,0,0,0,世帯主の配偶者の収入,78216,8,82842,7.7,95233,13,8938,1.9,32608,3.5
1,6,0,0,0,うち女,76869,7.9,81941,7.6,91463,12.5,8938,1.9,32608,3.5
1,4,0,0,0,他の世帯員収入,10193,1,13441,1.2,4877,0.7,-,-,-,-
1,3,0,0,0,事業・内職収入,3924,0.4,5552,0.5,330,0,858,0.2,-,-
1,4,0,0,0,家賃収入,533,0.1,774,0.1,-,-,-,-,-,-
1,4,0,0,0,他の事業収入,401,0,583,0.1,-,-,-,-,-,-
1,4,0,0,0,内職収入,2989,0.3,4195,0.4,330,0,858,0.2,-,-
1,3,0,0,0,他の経常収入,24654,2.5,30502,2.8,2684,0.4,64607,13.9,4084,0.4
1,4,0,0,0,財産収入,1686,0.2,2449,0.2,-,-,-,-,-,-
1,4,0,0,0,社会保障給付,21119,2.2,25472,2.4,2312,0.3,64607,13.9,4084,0.4
1,5,0,0,0,公的年金給付,18614,1.9,23978,2.2,2295,0.3,30964,6.6,4084,0.4
1,5,0,0,0,他の社会保障給付,2505,0.3,1494,0.1,18,0,33642,7.2,-,-
1,4,0,0,0,仕送り金,1848,0.2,2580,0.2,372,0.1,-,-,-,-
1,2,0,0,0,特別収入,18914,1.9,24482,2.3,3918,0.5,6054,1.3,13813,1.5
1,3,0,0,0,受贈金,2276,0.2,2651,0.2,1366,0.2,2618,0.6,971,0.1
1,3,0,0,0,他の特別収入,16638,1.7,21831,2,2552,0.3,3437,0.7,12842,1.4
1,1,0,0,0,実収入以外の受取(繰入金を除く),537629,-,533449,-,681578,-,229881,-,386477,-
1,2,0,0,0,預貯金引出,410534,-,448640,-,364191,-,204486,-,300249,-
1,2,0,0,0,保険金,6870,-,9540,-,-,-,-,-,4012,-
1,3,0,0,0,個人・企業年金保険金,1232,-,1351,-,-,-,-,-,4012,-
