項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,1157,-,1388,-,1773,-,1874,-,1455,-,967,-,687,-,699,-
0,0,0,0,0,調査世帯数,379,-,43,-,54,-,68,-,68,-,54,-,39,-,29,-,24,-
0,0,0,0,0,世帯人員,3.21,-,2.85,-,3.36,-,3.48,-,3.37,-,3.45,-,3.31,-,2.64,-,2.4,-
0,0,0,0,0,有業人員,1.61,-,1.35,-,1.53,-,1.46,-,1.49,-,2.02,-,1.66,-,1.85,-,1.75,-
0,0,0,0,0,世帯主平均年齢,47.1,-,31.6,-,37,-,42,-,47,-,51.9,-,56.5,-,62,-,68.6,-
1,0,0,0,0,受取,1600616,-,985308,-,1995290,-,1356239,-,1803711,-,1722518,-,1984753,-,1500379,-,1224138,-
1,1,0,0,0,実収入,976594,100,633983,100,1039169,100,860382,100,1124368,100,1123178,100,1386975,100,877985,100,541937,100
1,2,0,0,0,経常収入,957680,98.1,627515,99,1007442,96.9,824241,95.8,1115250,99.2,1112535,99.1,1371892,98.9,861910,98.2,519979,95.9
1,3,0,0,0,勤め先収入,929103,95.1,625684,98.7,1005736,96.8,804375,93.5,1102837,98.1,1087409,96.8,1364657,98.4,808942,92.1,315629,58.2
1,4,0,0,0,世帯主収入,840694,86.1,540738,85.3,890060,85.7,733896,85.3,1005776,89.5,965516,86,1313023,94.7,708612,80.7,283854,52.4
1,6,0,0,0,うち男,811787,83.1,540738,85.3,865640,83.3,698989,81.2,975716,86.8,912831,81.3,1305220,94.1,693679,79,223047,41.2
1,5,0,0,0,定期収入,428291,43.9,342302,54,436450,42,426681,49.6,496117,44.1,445040,39.6,524176,37.8,385209,43.9,251478,46.4
1,5,0,0,0,臨時収入,3937,0.4,274,0,3081,0.3,6051,0.7,7589,0.7,4136,0.4,1398,0.1,2108,0.2,1451,0.3
1,5,0,0,0,賞与,408465,41.8,198162,31.3,450529,43.4,301164,35,502069,44.7,516340,46,787449,56.8,321295,36.6,30925,5.7
1,4,0,0,0,世帯主の配偶者の収入,78216,8,82840,13.1,115676,11.1,70479,8.2,69605,6.2,121893,10.9,26208,1.9,69614,7.9,28446,5.2
1,6,0,0,0,うち女,76869,7.9,82840,13.1,111204,10.7,70479,8.2,65730,5.8,121893,10.9,26208,1.9,69614,7.9,28446,5.2
1,4,0,0,0,他の世帯員収入,10193,1,2106,0.3,-,-,-,-,27456,2.4,-,-,25426,1.8,30716,3.5,3329,0.6
1,3,0,0,0,事業・内職収入,3924,0.4,1802,0.3,1598,0.2,6603,0.8,1483,0.1,13259,1.2,1202,0.1,-,-,-,-
