項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,2207,-,6464,-,454,-,209,-,876,-,4032,-
0,0,0,0,0,調査世帯数,379,-,80,-,252,-,15,-,7,-,32,-,150,-
0,0,0,0,0,世帯人員,3.21,-,2,-,3.63,-,2.54,-,2.83,-,3.53,-,3.16,-
0,0,0,0,0,有業人員,1.61,-,1.6,-,1.61,-,1.54,-,1,-,1.68,-,2.15,-
0,0,0,0,0,世帯主平均年齢,47.1,-,49.3,-,45.3,-,53.3,-,45.2,-,51.5,-,46.7,-
1,0,0,0,0,受取,1600616,-,1373067,-,1749456,-,772589,-,801251,-,1504378,-,1606345,-
1,1,0,0,0,実収入,976594,100,864081,100,1065331,100,400034,100,426482,100,903840,100,1041049,100
1,2,0,0,0,経常収入,957680,98.1,852013,98.6,1042071,97.8,395402,98.8,425850,99.9,892360,98.7,1022089,98.2
1,3,0,0,0,勤め先収入,929103,95.1,811362,93.9,1023658,96.1,311180,77.8,352104,82.6,848007,93.8,1005281,96.6
1,4,0,0,0,世帯主収入,840694,86.1,645738,74.7,947237,88.9,285033,71.3,352104,82.6,833399,92.2,810604,77.9
1,6,0,0,0,うち男,811787,83.1,639276,74,945943,88.8,-,-,-,-,676856,74.9,804992,77.3
1,5,0,0,0,定期収入,428291,43.9,362497,42,468798,44,223748,55.9,302060,70.8,401066,44.4,416587,40
1,5,0,0,0,臨時収入,3937,0.4,1339,0.2,5224,0.5,2527,0.6,5472,1.3,1717,0.2,4149,0.4
1,5,0,0,0,賞与,408465,41.8,281902,32.6,473215,44.4,58758,14.7,44572,10.5,430617,47.6,389868,37.4
1,4,0,0,0,世帯主の配偶者の収入,78216,8,165623,19.2,63181,5.9,-,-,-,-,9491,1.1,193988,18.6
1,6,0,0,0,うち女,76869,7.9,162333,18.8,62221,5.8,-,-,-,-,9491,1.1,190648,18.3
1,4,0,0,0,他の世帯員収入,10193,1,-,-,13240,1.2,26147,6.5,-,-,5116,0.6,689,0.1
1,3,0,0,0,事業・内職収入,3924,0.4,1115,0.1,5151,0.5,-,-,-,-,3975,0.4,3139,0.3
