区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,752,-,-,104,-,108,-,108,-,104,-,110,-,108,-,110,-
0,0,世帯人員,2.95,-,-,2.7,-,2.75,-,2.83,-,2.8,-,3.2,-,3.14,-,3.25,-
0,0,有業人員,1.32,-,-,1.31,-,1.02,-,1.26,-,1.25,-,1.32,-,1.52,-,1.53,-
0,0,世帯主平均年齢,57.8,-,-,57.5,-,61,-,60.3,-,57,-,54.8,-,56.9,-,57,-
0,0,消費支出,330572,100,2.3,122631,100,190754,100,236836,100,288786,100,337873,100,425020,100,710227,100
1,0,商品,190177,57.5,1,90560,73.8,123462,64.7,145462,61.4,165455,57.3,199795,59.1,227104,53.4,378442,53.3
1,1,耐久財,22731,6.9,23.5,1374,1.1,2931,1.5,4323,1.8,7008,2.4,13108,3.9,20594,4.8,109421,15.4
1,2,半耐久財,31611,9.6,-3.5,8385,6.8,12324,6.5,20369,8.6,31347,10.9,35162,10.4,41065,9.7,72409,10.2
1,3,非耐久財,135835,41.1,-1,80800,65.9,108206,56.7,120771,51,127100,44,151525,44.8,165445,38.9,196612,27.7
1,0,サービス,140394,42.5,4.1,32071,26.2,67292,35.3,91373,38.6,123331,42.7,138078,40.9,197916,46.6,331785,46.7
2,0,食料,107004,32.4,0.3,59359,48.4,80879,42.4,93882,39.6,101689,35.2,118135,35,133981,31.5,160777,22.6
2,3,非耐久財,85757,25.9,0.2,52400,42.7,71143,37.3,75042,31.7,80608,27.9,94268,27.9,103008,24.2,123578,17.4
2,4,サービス,21247,6.4,0.6,6959,5.7,9737,5.1,18840,8,21082,7.3,23866,7.1,30973,7.3,37198,5.2
2,0,住居,31987,9.7,17.6,4584,3.7,16423,8.6,17572,7.4,29705,10.3,22328,6.6,37949,8.9,95056,13.4
2,1,耐久財,3512,1.1,21.4,31,0,-,-,331,0.1,332,0.1,676,0.2,353,0.1,22781,3.2
2,2,半耐久財,232,0.1,1.3,37,0,169,0.1,152,0.1,189,0.1,366,0.1,326,0.1,382,0.1
2,4,サービス,28243,8.5,17.3,4515,3.7,16254,8.5,17089,7.2,29184,10.1,21285,6.3,37270,8.8,71893,10.1
2,0,光熱・水道（非耐久財）,23325,7.1,-6.9,16216,13.2,20164,10.6,23449,9.9,21499,7.4,25150,7.4,27105,6.4,29655,4.2
2,0,家具・家事用品,13031,3.9,-3.7,4814,3.9,6292,3.3,8889,3.8,11729,4.1,16059,4.8,17905,4.2,25457,3.6
2,1,耐久財,4966,1.5,-6.1,566,0.5,1628,0.9,2413,1,3589,1.2,5475,1.6,8224,1.9,12828,1.8
2,2,半耐久財,4186,1.3,-8.5,2156,1.8,2250,1.2,3433,1.4,4139,1.4,4952,1.5,5194,1.2,7162,1
2,3,非耐久財,2961,0.9,1,1899,1.5,2236,1.2,2378,1,2952,1,3374,1,3921,0.9,3957,0.6
2,4,サービス,918,0.3,24.4,193,0.2,178,0.1,666,0.3,1049,0.4,2258,0.7,565,0.1,1509,0.2
2,0,被服及び履物,17322,5.2,-6.4,4187,3.4,5844,3.1,10120,4.3,19872,6.9,20936,6.2,20768,4.9,39392,5.5
2,2,半耐久財,16023,4.8,-8.6,3948,3.2,5779,3,9493,4,18472,6.4,19433,5.8,19141,4.5,35768,5
2,4,サービス,1299,0.4,32,240,0.2,65,0,627,0.3,1400,0.5,1503,0.4,1626,0.4,3624,0.5
2,0,保健医療,15775,4.8,-0.1,5009,4.1,9531,5,10949,4.6,15473,5.4,20282,6,28598,6.7,20545,2.9
2,1,耐久財,1477,0.4,60.4,308,0.3,500,0.3,662,0.3,802,0.3,2569,0.8,2773,0.7,2718,0.4
2,2,半耐久財,429,0.1,7.3,76,0.1,48,0,338,0.1,316,0.1,233,0.1,1761,0.4,236,0
2,3,非耐久財,5762,1.7,8.9,3010,2.5,3994,2.1,4583,1.9,5298,1.8,6393,1.9,7947,1.9,9095,1.3
2,4,サービス,8106,2.5,-11.6,1615,1.3,4989,2.6,5366,2.3,9057,3.1,11087,3.3,16117,3.8,8496,1.2
2,0,交通・通信,39496,11.9,9.9,10569,8.6,19806,10.4,25021,10.6,30389,10.5,34275,10.1,44503,10.5,111577,15.7
2,1,耐久財,7399,2.2,135.6,-,-,61,0,-,-,178,0.1,1046,0.3,1225,0.3,49112,6.9
2,2,半耐久財,1483,0.4,-5.7,93,0.1,162,0.1,344,0.1,370,0.1,1001,0.3,2563,0.6,5829,0.8
2,3,非耐久財,2725,0.8,6.4,787,0.6,1415,0.7,2352,1,2566,0.9,3626,1.1,3801,0.9,4518,0.6
2,4,サービス,27889,8.4,-2.7,9690,7.9,18168,9.5,22324,9.4,27275,9.4,28603,8.5,36914,8.7,52117,7.3
