年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成18年平均,2006,,72.4,169.3,97.3,80.2,82.1,77.9,65.9,43.2
nen,平成19年平均,2007,,73,176.8,104.7,84.3,76.7,82.7,70.9,43.6
nen,平成20年平均,2008,,72.4,233.3,97.4,85.3,78.9,80.5,71.7,41.9
nen,平成21年平均,2009,,74.1,216.7,99.6,83.9,78.2,81.2,70.2,46.7
nen,平成22年平均,2010,,73.2,215.7,100,89.3,80.1,77.2,71.6,43.6
nen,平成23年平均,2011,,73.8,230,99.6,82.9,82.1,75.6,68.7,46.8
nen,平成24年平均,2012,,75.2,201.6,100.2,87.6,83,78.1,75.1,46.7
tuki,平成24年4月,2012,4,94.7,209,103.4,88.5,90.6,92.4,77.1,86.8
tuki,平成24年5月,2012,5,95.3,310.4,121.3,107.4,87.5,88.2,89.9,69.5
tuki,平成24年6月,2012,6,54.9,132.9,85,76.6,80.9,72.7,50.4,27.5
tuki,平成24年7月,2012,7,71.6,343.4,115.3,94.7,84.9,71.4,61.4,39.7
tuki,平成24年8月,2012,8,79.2,149.1,95.6,79.3,80.6,79.1,70.1,63.5
tuki,平成24年9月,2012,9,86.8,308.8,112,99.1,95,79.2,74.6,64
tuki,平成24年10月,2012,10,82,144.2,89.2,72.3,68.1,77.6,78.5,82.2
tuki,平成24年11月,2012,11,84.3,321.2,113.7,86.8,81.8,74.5,77.7,65.2
tuki,平成24年12月,2012,12,47,224.2,97.3,73.6,59.4,46.9,33.4,26.4
tuki,平成25年1月,2013,1,91.9,305.7,125.2,104.8,90.8,84.9,76,70.5
tuki,平成25年2月,2013,2,78.7,226.4,97,83.5,81.2,70.9,68.5,56.5
tuki,平成25年3月,2013,3,98.2,331.6,148.9,98.8,94.9,77,92.6,77.2
tuki,平成25年4月,2013,4,92.8,293.2,135.7,92.8,75.8,67.9,83.6,77.9
,,,,,,,,,,,
東京都生計分析調査　平成25年4月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
平均消費性向〔＝（消費支出÷可処分所得）×１００〕,,,,,,,,,,,
