"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","内容まで知っていた[人]","大体知っていた[人]","あまり知らなかった[人]","全く知らなかった[人]","無回答[人]"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","全体",,"561","75","260","177","32","17"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","男性（計）","231","37","119","64","11","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","男性 18～29歳","13","4","6","3","0","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","男性 30～39歳","38","5","18","10","5","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","男性 40～49歳","50","13","22","11","4","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","男性 50～59歳","47","8","28","11","0","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","男性 60～69歳","42","4","22","15","1","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","男性 70歳以上","40","3","22","14","1","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","男性 無回答","1","0","1","0","0","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","女性（計）","316","38","138","112","21","7"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","女性 18～29歳","26","5","9","9","3","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","女性 30～39歳","49","5","19","21","3","1"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","女性 40～49歳","79","12","36","24","5","2"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","女性 50～59歳","64","9","28","21","3","3"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","女性 60～69歳","56","5","25","20","5","1"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","女性 70歳以上","42","2","21","17","2","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","女性 無回答","0","0","0","0","0","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","性・年代別","無回答","14","0","3","1","0","10"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","職業別","自営業主・家族従業","88","11","37","33","7","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","職業別","会社員・団体職員・公務員","244","46","118","69","10","1"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","職業別","アルバイト・パートタイマー","35","1","14","13","4","3"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","職業別","家事専業","55","4","26","18","5","2"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","職業別","学生","13","3","6","2","2","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","職業別","無職","81","6","38","34","2","1"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","職業別","その他","31","4","18","7","2","0"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","職業別","無回答","14","0","3","1","0","10"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","居住地区別","芝地区","86","7","35","38","4","2"
"202203","地球温暖化対策","Q19. 地球温暖化がもたらす気候変動による被害や影響を最小化して、迅速に回復できるように対処することを「気候変動の影響への適応」といいます。あなたが、「気候変動の影響への適応」について、どのくらい知っていたか、１～４のうち当てはまるものを選択してください（○は１つ）。","居住地区別","麻布地区","87","19","37","24","6","1"
