"事業所名称","サービス名","対象","定員[人]","運営法人","郵便番号","住所","電話番号","FAX番号","緯度","経度"
"就労支援事業所はばたき","就労移行支援","18歳以上で障害者総合支援法における就労移行支援支給決定者","20","みなと障がい者福祉事業団","105-0014","東京都港区芝一丁目8番23号　障害保健福祉センター内","03-5439-8062","03-5439-2515","35.651618","139.755574"
"就労継続支援Ａ型事業所かがやき","就労継続支援Ａ型","18歳以上で障害者総合支援法における就労継続支援Ａ型支給決定者","14","みなと障がい者福祉事業団","105-0014","東京都港区芝一丁目8番23号　障害保健福祉センター内","03-5439-8062","03-5439-2515","35.651618","139.755574"
"西麻布作業所","生活介護・就労継続支援Ｂ型","18歳以上で障害者総合支援法における生活介護、就労継続支援Ｂ型支給決定者（知的障害者および精神障害者）","生活介護12、就労継続支援Ｂ型28","社会福祉法人家庭授産奨励会　西麻布作業所","106-0031","東京都港区西麻布三丁目19番16号","03-3408-1545","03-3408-1550","35.659619","139.725665"
"新橋はつらつ太陽","生活介護・施設入所支援、短期入所","18歳以上で障害者総合支援法における生活介護、施設入所支援支給決定者（知的障害者）および短期入所支給決定者（児）（知的障害者（児））","生活介護80、施設入所支援40","社会福祉法人長岡福祉協会　新橋はつらつ太陽","105-0004","東京都港区新橋六丁目19番2号","03-3433-0180","03-3433-7320","35.661192","139.753738"
"みなと工房","就労継続支援Ｂ型","18歳以上で障害者総合支援法における就労継続支援Ｂ型支給決定者（精神障害者）","20","社会福祉法人港福会　みなと工房","105-0023","東京都港区芝浦一丁目14番8号201","03-3455-8140","03-6421-4005","35.646927","139.75273"
"風の子会","生活介護","18歳以上で障害者総合支援法における生活介護","20","特定非営利活動法人　風の子会高浜実習所","108-0022","東京都港区海岸三丁目3番18号　芝浦日新ビル新館5階","03-6809-4001","03-6809-4002","35.641036","139.753799"
"工房ラピール","就労継続支援Ｂ型","18歳以上で障害者総合支援法における就労継続支援Ｂ型支給決定者","20","特定非営利活動法人　工房ラピール","105-0013","東京都港区浜松町二丁目6番5号　浜松町エクセレントビル3階","03-5843-7939","03-5843-7939","35.654409","139.755856"
"アイエスエフネットベネフィット青山事業所","就労継続支援Ｂ型","18歳以上で障害者総合支援法における就労継続支援Ｂ型支給決定者","40","一般社団法人　アイエスエフネットベネフィット","107-0062","東京都港区南青山一丁目4番2号　八並ビル3階・7階","03-5785-3788","03-3497-5322","35.671298","139.724869"
"アプローズ南青山","就労継続支援Ｂ型","18歳以上で障害者総合支援法における就労継続支援Ｂ型支給決定者","20","一般社団法人　アプローズ","107-0062","東京都港区南青山四丁目3番24号　青山NKビル2階","03-6804-3623","03-6804-3562","35.666224","139.720154"
"アトリエ・レダクラフト","就労継続支援Ａ型","18歳以上で障害者総合支援法における就労継続支援Ａ型支給決定者","20","一般社団法人　レダクラフト","106-0045","東京都港区麻布十番二丁目20番14号101","03-6435-0611","03-3453-4557","35.655092","139.736511"
