"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日","緯度","経度"
"202205","2022/5/10","店舗販売業","新規","ナチュラルローソン芝浦アイランドケープ店","東京都港区芝浦四丁目19番1号","芝浦アイランドケープタワー1階","03-3455-6272","4港み生薬第12号","2022/5/25","35.637540","139.750358"
"202206","2022/5/20","店舗販売業","新規","ウエルシア田町グランパーク店","東京都港区芝浦三丁目4番1号","グランパークB1F",,"4港み生薬第13号","2022/6/13","35.643577","139.745802"
"202206","2022/6/3","店舗販売業","新規","漢方　四月一日庭","東京都港区南麻布五丁目5番7号","有栖川ヒルトップ5階","03-6450-3038","4港み生薬第20号","2022/6/8","35.653975","139.725954"
"202207","2022/6/6","店舗販売業","新規","富士化学工業株式会社　東京薬店","東京都港区芝公園一丁目8番21号","芝公園リッジビル2階","03-6809-1252","4港み生薬第22号","2022/7/1","35.657700","139.751053"
"202212","2022/12/9","店舗販売業","新規","Ｆｅｍｏｎｅ　ドラッグストア","東京都港区三田五丁目18番12号","AOI 1F","03-6277-4835","4港み生薬第54号","2022/12/14","35.644807","139.737211"
"202303","2023/2/9","店舗販売業","新規","ナチュラルローソン　乃木坂店","東京都港区赤坂九丁目6番29号","パシフィック乃木坂1階","03-5785-1509","4港み生薬第65号","2023/3/8","35.666619","139.728221"
"202303","2023/3/3","店舗販売業","新規","麻布漢方　Ｈｅｒｂａｌ　Ｒｏｏｍ","東京都港区麻布十番一丁目5番2号","フローラ麻布3階","03-6435-5866","4港み生薬第71号","2023/3/17","35.657581","139.732691"
"202303","2023/2/22","店舗販売業","新規","トモズ　白金高輪店","東京都港区高輪一丁目3番1号","プレミストタワー白金高輪1階","03-6432-5037","4港み生薬第67号","2023/3/10","35.643617","139.735347"

"医薬品販売業（店舗販売業）新規許可一覧(令和5年3月31日現在)","Ver202303",,,,,,,,,,
