年,経営体数総数,経営体数区部,経営体数大島,経営体数三宅,経営体数八丈,経営体数小笠原,漁業就業者数（人）総数,漁業就業者数（人）区部,漁業就業者数（人）大島,漁業就業者数（人）三宅,漁業就業者数（人）八丈,漁業就業者数（人）小笠原
１９９４（６）,1047,356,384,92,171,44,1550,527,569,136,253,65
１９９５（７）,986,332,393,93,125,43,1420,478,566,134,180,62
１９９６（８）,954,331,398,62,123,40,1360,472,567,88,176,57
１９９７（９）,880,257,390,62,130,41,1200,350,532,84,178,56
１９９８（１０）,1037,305,410,129,151,42,1518,498,590,145,200,85
１９９９（１１）,877,246,396,71,121,43,1105,368,481,71,121,64
２０００（１２）,819,246,407,7,115,44,1230,369,611,11,172,67
２００１（１３）,709,229,329,5,105,41,1030,332,477,7,153,61
２００２（１４）,738,207,369,13,107,42,990,284,503,1,146,56
２００３（１５）,804,261,345,17,137,44,1156,387,476,19,196,78
２００４（１６）,765,249,337,35,99,45,…,…,…,…,…,…
２００５（１７）,762,251,340,26,100,45,…,…,…,…,…,…
２００６（１８）,767,253,342,28,100,44,…,…,…,…,…,…
２００７（１９）,…,…,…,…,…,…,…,…,…,…,…,…
２００８（２０）,669,148,301,55,120,45,1243,494,428,61,190,70
