"年度","区分","芝地区（芝）[人]","麻布地区（南麻布）[人]","赤坂地区（北青山）[人]","高輪地区（白金の森）[人]","芝浦港南地区（港南の郷）[人]"
"2013","訪問","2440","4118","2633","2912","3138"
"2013","電話","3037","6350","10480","5856","10325"
"2013","来所","626","1733","2481","1221","1543"
"2013","文書","3539","4430","3513","5794","5127"
"2013","その他","78","8","2","21","1"
"2014","訪問","2669","4950","1670","3913","2221"
"2014","電話","2870","7168","8121","7990","8035"
"2014","来所","804","1464","2335","1334","1419"
"2014","文書","2867","3641","3390","7080","3150"
"2014","その他","25","8","1","4","0"
"2015","訪問","2788","4374","2033","4250","2303"
"2015","電話","2956","5966","8769","9074","8614"
"2015","来所","699","1501","3108","1367","1456"
"2015","文書","40","21","65","92","269"
"2015","その他","80","27","4","20","1"
"2016","訪問","3014","3441","2409","3409","2510"
"2016","電話","2662","6003","8436","9842","8269"
"2016","来所","1254","1798","2573","1480","1431"
"2016","文書","41","187","81","53","268"
"2016","その他","198","7","18","58","0"
"2017","訪問","4204","3469","2504","3084","2359"
"2017","電話","2630","5786","7879","10946","8297"
"2017","来所","1254","1746","2631","1497","1708"
"2017","文書","40","403","431","67","268"
"2017","その他","198","0","1","96","0"

"平成30年度港区行政資料集　高齢者相談センター（地域包括支援センター）相談方法別件数","Ver201803",,,,,
