"年月[西暦]","調査項目","設問","取組内容","回答者の属性種別","回答者の属性","十分[人]","まあ十分[人]","やや不十分[人]","不十分[人]","わからない[人]","無回答[人]","十分[%]","まあ十分[%]","やや不十分[%]","不十分[%]","わからない[%]","無回答[%]"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","性別","男性","3","19","35","46","51","2","1.9","12.2","22.4","29.5","32.7","1.3"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","性別","女性","2","32","82","57","91","7","0.7","11.8","30.3","21.0","33.6","2.6"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","年齢","18～29歳","0","10","4","7","11","1","0.0","30.3","12.1","21.2","33.3","3.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","年齢","30～39歳","1","6","16","16","25","1","1.5","9.2","24.6","24.6","38.5","1.5"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","年齢","40～49歳","1","11","27","24","33","0","1.0","11.5","28.1","25.0","34.4","0.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","年齢","50～59歳","2","6","20","24","37","1","2.2","6.7","22.2","26.7","41.1","1.1"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","年齢","60～69歳","0","3","19","20","17","1","0.0","5.0","31.7","33.3","28.3","1.7"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","地球温暖化対策","年齢","70歳以上","1","15","32","12","19","5","1.2","17.9","38.1","14.3","22.6","6.0"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","性別","男性","19","73","32","16","15","1","12.2","46.8","20.5","10.3","9.6","0.6"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","性別","女性","13","124","69","30","28","7","4.8","45.8","25.5","11.1","10.3","2.6"
"202003","区の取組","Q6. 環境に関する現在の区の取組状況が十分と感じるかどうかお答えください。","ごみ・リサイクル","年齢","18～29歳","2","15","6","5","4","1","6.1","45.5","18.2","15.2","12.1","3.0"
