時間帯,火災件数・計,火災件数・建物・小計,"火災件数・建物・焼損床面積なし
",火災件数・建物・50㎡未満,"火災件数・建物・50㎡以上～100㎡未満","火災件数・建物・100㎡以上～200㎡未満","火災件数・建物・200㎡以上～300㎡未満","火災件数・建物・300㎡以上～400㎡未満","火災件数・建物・400㎡以上～500㎡未満","火災件数・建物・500㎡以上～600㎡未満","火災件数・建物・600㎡以上～700㎡未満","火災件数・建物・700㎡以上～800㎡未満","火災件数・建物・800㎡以上～900㎡未満","火災件数・建物・900㎡以上～1,000㎡未満",火災件数・建物・1000㎡以上,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,火災件数・管外からの延焼火災,り災世帯数,り災人員,焼損棟数,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成29年,"4,205","2,837","2,420",300,65,37,8,1,4,1,-,-,-,-,1,3,216,-,-,1148,1,-,"2,486","4,884","3,266","20,719","5,147,049,552",79,758
平成30年,"3,973","2,696","2,306",291,58,26,9,-,1,1,3,-,-,-,1,2,225,3,-,"1,046",1,-,"2,200","4,239","2,999","18,604","6,070,982,850",86,798
令和元年,"4,089","2,904","2,484",323,45,38,9,2,1,1,1,-,-,-,-,5,206,1,-,969,3,1,"2,335","4,395","3,284","18,295","7,688,941,420",108,705
令和2年,"3,694","2,667","2,316",267,51,28,2,-,-,2,-,-,-,-,1,1,216,-,-,809,1,-,"2,239","4,270","3,028","16,136","5,601,522,177",86,710
令和3年,"3,939","2,812","2,438",281,47,35,8,1,2,-,-,-,-,-,-,6,215,1,-,901,4,-,"2,382","4,527","3,228","16,448","4,208,012,095",86,664
昼間,"1,995","1,415","1,214",152,23,21,4,1,-,-,-,-,-,-,-,6,151,1,-,419,3,-,"1,224","2,309","1,640","8,837","2,500,600,945",36,342
６時台,97,69,50,14,2,3,-,-,-,-,-,-,-,-,-,-,9,-,-,19,-,-,75,130,80,747,"228,264,084",7,27
７時台,126,100,82,14,3,1,-,-,-,-,-,-,-,-,-,-,14,-,-,12,-,-,114,218,116,449,"143,983,612",-,27
８時台,127,92,80,11,1,-,-,-,-,-,-,-,-,-,-,-,15,-,-,19,1,-,79,152,106,256,"72,579,105",2,28
９時台,158,106,92,10,2,1,1,-,-,-,-,-,-,-,-,1,19,-,-,31,1,-,68,113,119,575,"364,290,154",2,20
10時台,191,145,126,13,2,3,1,-,-,-,-,-,-,-,-,1,18,-,-,27,-,-,134,233,173,981,"172,942,716",6,23
11時台,209,148,135,10,1,1,1,-,-,-,-,-,-,-,-,-,19,-,-,42,-,-,116,224,162,572,"87,873,301",3,32
12時台,213,152,126,20,3,3,-,-,-,-,-,-,-,-,-,-,8,-,-,53,-,-,136,246,180,972,"632,380,863",3,47
13時台,178,111,97,13,-,1,-,-,-,-,-,-,-,-,-,2,14,1,-,49,1,-,81,162,132,1196,"200,397,073",1,26
14時台,157,101,89,6,2,3,1,-,-,-,-,-,-,-,-,2,10,-,-,44,-,-,95,192,124,888,"114,040,784",3,21
15時台,188,137,110,20,3,3,-,1,-,-,-,-,-,-,-,-,8,-,-,43,-,-,119,234,170,1328,"220,730,960",4,34
16時台,181,126,108,14,2,2,-,-,-,-,-,-,-,-,-,-,10,-,-,45,-,-,111,207,144,603,"203,525,204",3,37
17時台,170,128,119,7,2,-,-,-,-,-,-,-,-,-,-,-,7,-,-,35,-,-,96,198,134,270,"59,593,089",2,20
夜間,"1,480","1,084",912,128,24,14,4,-,2,-,-,-,-,-,-,-,58,-,-,338,-,-,"1,039","1,986","1,274","7,591","1,692,087,455",46,317
18時台,199,150,136,11,-,2,1,-,-,-,-,-,-,-,-,-,9,-,-,40,-,-,120,250,178,684,"137,347,331",1,32
19時台,208,160,138,18,2,2,-,-,-,-,-,-,-,-,-,-,8,-,-,40,-,-,138,302,173,641,"146,300,797",5,37
20時台,175,128,111,11,2,2,1,-,1,-,-,-,-,-,-,-,6,-,-,41,-,-,132,266,152,1220,"168,150,401",7,37
21時台,166,123,104,14,4,1,-,-,-,-,-,-,-,-,-,-,6,-,-,37,-,-,109,197,134,666,"140,320,696",4,36
22時台,138,88,78,6,2,2,-,-,-,-,-,-,-,-,-,-,4,-,-,46,-,-,75,152,101,439,"95,191,518",3,23
23時台,114,90,77,13,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,21,-,-,79,133,94,249,"122,616,161",2,27
０時台,105,77,63,8,5,1,-,-,-,-,-,-,-,-,-,-,3,-,-,25,-,-,86,152,99,697,"133,681,294",4,29
１時台,99,72,54,12,4,1,1,-,-,-,-,-,-,-,-,-,3,-,-,24,-,-,85,157,100,943,"187,477,476",8,22
２時台,61,46,38,6,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,14,-,-,41,63,52,274,"115,545,630",2,9
３時台,83,55,43,10,1,-,1,-,-,-,-,-,-,-,-,-,5,-,-,23,-,-,62,110,69,406,"79,238,335",3,30
４時台,59,43,29,11,-,2,-,-,1,-,-,-,-,-,-,-,6,-,-,10,-,-,69,120,67,896,"243,879,772",3,24
５時台,73,52,41,8,2,1,-,-,-,-,-,-,-,-,-,-,4,-,-,17,-,-,43,84,55,476,"122,338,044",4,11
不明,464,313,312,1,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,144,1,-,119,232,314,20,"15,323,695",4,5
