政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成29年,1035,14,14,164,843,"1,117",18,18,189,892,579,42,64,473,994,"6,148","1,607,909,740",18,226
平成30年,988,5,23,155,805,"1,062",5,28,182,847,552,53,62,437,981,"4,476","915,426,048",23,206
令和元年,1151,2,26,173,950,"1,204",3,26,192,983,616,70,61,485,946,"3,682","1,104,228,700",33,211
令和2年,"1,002",6,11,145,840,"1,044",6,12,157,869,500,34,25,441,824,"2,458","1,058,451,144",16,189
令和3年,"1,066",4,23,121,918,"1,117",4,25,134,954,589,64,59,466,972,"3,672","1,041,108,326",18,205
政令用途からの出火,834,3,15,97,719,870,3,17,106,744,472,47,46,379,779,"2,875","842,109,478",11,158
一項・イ・劇場,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,12600,0,0
一項・イ・観覧場,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,600,0,0
二項・イ・キャバレー,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,25,"1,103,665",0,0
二項・イ・カフェー,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,5262300,0,0
二項・イ・ナイトクラブ,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8,"6,145,400",0,0
二項・イ・その他（２項イ）,1,1,0,0,0,2,1,0,0,1,2,1,0,1,4,251,"47,311,857",0,2
二項・ロ・遊技場,6,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,"22,900",0,0
二項・ニ・カラオケボックス等,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,"18,500",0,0
三項・ロ・飲食店,248,0,4,26,218,250,0,4,26,220,28,2,2,24,58,386,"141,512,959",0,48
四項・百貨店,9,0,0,0,9,9,0,0,0,9,0,0,0,0,0,0,"4,100",0,0
四項・マーケット,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,200,0,0
四項・物品販売店舗,86,0,2,2,82,87,0,2,2,83,13,0,4,9,25,158,"12,226,337",0,4
四項・展示場,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,"16,000",0,0
五項・イ・ホテル,13,0,0,0,13,13,0,0,0,13,0,0,0,0,0,0,"48,430",0,0
五項・イ・簡易宿泊所,2,0,0,1,1,2,0,0,1,1,1,0,1,0,1,18,"5,476,800",0,0
五項・ロ・寄宿舎,8,0,0,1,7,8,0,0,1,7,8,0,1,7,17,40,"11,121,750",0,4
五項・ロ・共同住宅,244,0,6,44,194,264,0,7,49,208,376,37,27,312,600,948,"273,559,169",11,76
六項・イ・(2)・特定診療所,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,500,0,0
六項・イ・(3)・病院（特定病院以外）,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1651130,0,2
六項・イ・(4)・診療所（患者入院施設を有しないもの）,12,0,0,1,11,12,0,0,1,11,0,0,0,0,0,0,12375960,0,1
六項・ロ・(1)・特別養護老人ホーム,2,0,0,0,2,2,0,0,0,2,1,0,0,1,1,0,13366,0,0
六項・ロ・(1)・有料老人ホーム（要介護者入居）,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,500,0,1
六項・ハ・(1)・老人デイサービス事業を行う施設,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"30,200",0,1
六項・ハ・(3)・保育所,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,"5,740",0,0
六項・ハ・(5)・共同生活援助施設（避難困難者入所以外）,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,"26,780",0,0
八項・博物館,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,300,0,0
八項・美術館,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
八項・その他（８項）,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,"42,000",0,0
九項・ロ・公衆浴場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"1,835,900",0,0
十項・停車場,11,0,0,0,11,11,0,0,0,11,0,0,0,0,0,0,"64,222",0,0
十二項・イ・工場,4,0,0,1,3,4,0,0,1,3,0,0,0,0,0,8,"7,524,150",0,0
十二項・イ・作業場,24,1,2,2,19,31,1,3,5,22,16,1,10,5,25,412,"88,720,680",0,11
十三項・イ・車庫,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,350,0,0
十三項・イ・駐車場,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,"23,700",0,0
十四項・倉庫,9,0,1,3,5,11,0,1,3,7,3,0,0,3,5,214,"51,532,406",0,0
