応援消防本部,事案数・計,事案数・普通応援で対応,事案数・特別応援で対応,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
令和3年,392,383,9,697,465,83,68,81,136,285,6,26,299,"2,563","1,156",1407
川口市,14,14,0,56,23,5,23,5,11,27,0,0,0,198,95,103
秩父,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉西部,21,21,0,21,21,0,0,0,2,2,0,3,0,80,7,73
草加八潮,51,51,0,61,55,3,0,3,4,1,1,3,64,201,33,171
戸田市,19,19,0,26,21,1,0,4,1,19,0,0,0,77,14,63
埼玉県南西部,65,65,0,94,67,19,4,4,14,27,0,0,0,372,98,274
三郷市,5,5,0,5,5,0,0,0,1,1,1,8,52,17,3,14
市川市,16,13,3,37,17,5,0,15,3,0,0,0,0,131,42,89
松戸市,17,17,0,66,28,7,14,17,2,0,0,0,0,216,58,158
浦安市,14,12,2,22,15,4,2,1,1,5,0,0,0,81,17,64
稲城市,20,16,4,35,23,3,2,7,3,10,0,0,0,112,30,82
横浜市,31,31,0,71,35,19,13,4,30,71,3,4,180,277,273,4
川崎市,66,66,0,81,76,1,3,1,18,19,1,8,3,331,103,228
相模原市,46,46,0,115,72,16,7,20,46,103,0,0,0,446,383,63
大和市,6,6,0,6,6,0,0,0,0,0,0,0,0,18,0,18
海老名市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
都留市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,1,1,0,1,1,0,0,0,0,0,0,0,0,3,0,3
東山梨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上野原市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
