年次,救急要請,医療機関案内,かかりつけ案内,口頭指導,他機関案内,看護師への医師助言,医師直接対応,監督員対応,相談者による途中切断等,その他
平成29年,"29,838",85864,30096,78307,1852,35616,2,9,1506,13470
平成30年,"30,003",103000,37898,91441,2769,44183,68,0,1881,14791
令和元年,"31,412",117877,45616,91671,4559,40265,2,0,2678,17129
令和2年,"34,392",106484,40910,54504,8295,28306,0,0,2597,17325
令和3年,"38,755",115920,40648,52839,4723,20547,0,0,2672,18717
1月,"3,056",8614,3085,3914,648,1399,0,0,190,1616
2月,"2,833",8221,2799,3753,562,1393,0,0,179,1472
3月,"2,924",8346,3136,4214,518,1379,0,0,192,1500
4月,"2,865",8699,2943,4102,531,1564,0,0,201,1469
5月,"3,198",10529,3182,4455,525,1815,0,0,239,1592
6月,"3,254",9763,3330,4455,472,1628,0,0,236,1524
7月,"3,767",11665,3984,5280,390,1682,0,0,257,1757
8月,"3,562",9804,4722,5257,352,2899,0,0,253,1705
9月,"3,043",9625,4005,4758,213,1763,0,0,232,1564
10月,"3,334",9877,3489,4286,176,1670,0,0,221,1490
11月,"3,437",10040,3054,4174,176,1705,0,0,220,1481
12月,"3,482",10737,2919,4191,160,1560,0,0,252,1547
