月別,計・回数,計・人員,火災・回数,火災・人員,水災・回数,水災・人員,その他の災害・回数,その他の災害・人員,予防警戒・回数,予防警戒・人員,教育訓練・回数,教育訓練・人員,機械整備・回数,機械整備・人員
平成29年度,"51,278","384,782","1,072","5,205",8,24,566,"1,656","16,509","106,617","24,693","248,347","8,430","22,933"
平成30年度,"54,553","387,897","1,210","5,281",64,281,530,1641,"19,012","119,277","25,504","238,849","8,233","22,568"
令和元年度,"52,662","367,990","1,125","4,936",125,647,673,"2,071","17,348","108,634","25,421","231,654","7,970","20,048"
令和2年度,"28,234","138,998","1,217","5,433",6,14,439,"1,664","7,625","47,385","10,816","64,680","8,131","19,822"
令和3年度,"32,067","159,874","1,210","5,276",18,105,642,"2,721","9,343","58,338","12,673","74,219","8,181","19,215"
4月,"2,335","12,783",100,414,0,0,24,108,287,1169,1219,"9,423",705,"1,669"
5月,"1,514","5,484",74,407,0,0,41,140,112,472,601,"2,840",686,"1,625"
6月,"1,701","6,360",91,369,1,4,34,108,131,556,743,"3,700",701,"1,623"
7月,"2,032","7,520",77,306,1,3,51,177,442,1396,784,"4,049",677,"1,589"
8月,"1,839","6,050",62,259,0,0,42,132,454,1296,588,"2,760",693,"1,603"
9月,"1,938","7,414",91,395,0,0,31,154,268,"1,006",844,"4,231",704,"1,628"
10月,"3,315","16,943",80,332,15,90,141,900,732,"3,658","1,674","10,354",673,"1,609"
11月,"4,471","24,499",116,489,0,0,42,157,"2,005","12,597","1,640","9,685",668,"1,571"
12月,"5,182","34,946",145,649,0,0,62,288,"2,901","24,571",1410,"7,891",664,"1,547"
1月,"2,407","12,282",118,516,0,0,46,140,611,"3,221",985,"6,861",647,"1,544"
2月,"1,934","7,251",148,621,0,8,74,220,174,811,847,"3,982",691,"1,609"
3月,"3,399","18,342",108,519,1,0,54,197,"1,226","7,585","1,338","8,443",672,"1,598"
