年次,計,劇場等,キャバレー等,飲食店等,百貨店等,旅館等,共同住宅,病院等,学校等,図書館等,発着場等,神社等,工場等,駐車場等,倉庫,事務所等,複合用途,地下街等
平成２９年・技術講習(自衛消防業務新規講習),6684,56,2,9,235,113,206,277,198,21,250,6,113,27,47,1687,3412,25
平成２９年・実務講習（追加講習）,6126,48,2,12,185,99,185,244,169,15,277,5,112,18,33,1604,3091,27
平成３０年・技術講習(自衛消防業務新規講習),6545,55,2,9,230,111,202,271,194,20,245,6,111,26,46,1652,3341,24
平成３０年・実務講習（追加講習）,5879,46,2,12,178,95,178,234,162,14,266,5,107,17,32,1539,2966,26
令和元年・技術講習(自衛消防業務新規講習),6038,50,2,8,212,102,187,250,179,19,227,5,102,24,42,1526,3080,23
令和元年・実務講習（追加講習）,7209,56,2,14,218,117,218,287,199,18,326,6,132,21,39,1887,3637,32
令和２年・技術講習(自衛消防業務新規講習),5219,66,10,2,218,196,229,189,221,24,34,-,239,11,75,1158,1755,‐
令和２年・実務講習（追加講習）,7578,129,4,10,300,236,302,334,366,41,62,4,351,33,106,2280,2598,‐
令和３年・技術講習(自衛消防業務新規講習),7043,80,17,6,297,264,337,315,379,38,35,2,418,24,92,1716,2080,‐
令和３年・実務講習（追加講習）,7912,128,4,1,293,255,344,391,371,58,83,4,408,22,109,2228,2783,‐
