区分,計,交通事故,火災,運動競技,自然災害,水難事故,労働災害,一般負傷,自損行為,加害事故,急病
平成29年,"18,459",932,6,359,0,142,202,"4,694",191,43,"11,890"
平成30年,"20,075",957,8,393,1,129,203,"5,115",205,40,"13,024"
令和元年,"22,494",1041,12,363,0,168,205,"5,789",222,38,"14,656"
令和2年,"21,083",896,12,183,2,123,185,"5,502",252,44,"13,884"
令和3年,"22,773",823,11,246,0,91,185,"5,304",260,37,"15,816"
実施者別・医療従事者,"7,871",137,1,53,0,4,33,1131,29,7,6476
実施者別・家族,"5,135",42,2,8,0,59,10,1337,133,5,"3,539"
実施者別・第三者（通行人等）,"2,621",445,6,5,0,9,11,1240,20,8,877
実施者別・福祉関係者,3225,8,0,0,0,0,1,519,10,2,2685
実施者別・集客施設等関係者,1399,27,0,34,0,15,4,421,10,4,884
実施者別・職場・学校関係者,1064,14,0,98,0,0,118,256,11,1,566
実施者別・友人・近隣者,674,24,1,42,0,1,0,216,23,3,364
実施者別・消防職員・消防団員,129,20,0,1,0,0,4,35,4,1,64
実施者別・警察官,370,56,0,0,0,1,2,94,16,6,195
実施者別・その他公的機関,52,3,1,0,0,1,2,9,0,0,36
実施者別・その他,233,47,0,5,0,1,0,46,4,0,130
都民処置・胸骨圧迫（心マッサージ）,"4,760",56,0,13,0,66,7,377,141,1,"4,099"
都民処置・止血・創傷処置,2490,272,0,30,0,0,99,1919,34,21,115
都民処置・観察・バイタルサイン測定等,6978,107,1,42,0,1,22,804,15,6,5980
都民処置・保温・冷却,895,40,1,89,0,1,18,373,2,1,370
都民処置・体位管理,3745,226,1,36,0,2,27,1029,18,7,2399
都民処置・移動（危険回避）,742,99,3,6,0,27,7,216,40,2,342
都民処置・人工呼吸,413,3,0,2,0,6,1,46,14,0,341
都民処置・病院医・往診医その他医療処置,2250,17,0,8,0,2,8,281,13,0,1921
都民処置・ＡＥＤ装着、心電図測定,1236,17,0,6,0,6,2,85,14,0,1106
都民処置・在宅療法・既往における処置対応,903,0,0,0,0,0,0,69,0,0,834
都民処置・固定処置,161,22,0,65,0,0,6,63,0,0,5
都民処置・気道確保,273,7,0,0,0,0,2,25,4,0,235
都民処置・異物除去,458,0,0,0,0,0,0,337,1,0,120
都民処置・除細動,223,3,0,2,0,0,0,1,0,0,217
都民処置・その他,1709,103,6,12,0,3,12,430,19,3,1121
