消防団,団数,分団数,定員,現員,現員（女性）,分団施設,消防団用可搬ポンプ,可搬ポンプ等積載車,ホース（本）,防火服
平成29年度,58,439,"16,000","13,642","2,502",990,990,271,"19,800","16,000"
平成30年度,58,439,"16,000","13,415","2,530",990,990,285,"19,800","16,000"
令和元年度,58,439,"16,000","13,563","2,734",990,990,300,"19,800","16,000"
令和2年度,58,439,"16,000","13,786",2809,990,990,310,"19,800","16,000"
令和3年度,58,439,16000,13817,2875,990,990,315,19800,16000
丸の内,1,2,100,106,19,2,2,2,40,100
麹町,1,3,120,107,15,3,3,3,60,120
神田,1,3,150,123,34,7,7,3,140,150
京橋,1,7,150,147,38,7,7,7,140,150
日本橋,1,7,150,161,16,7,7,3,140,150
臨港,1,4,100,85,17,4,4,2,80,100
芝,1,8,220,172,40,16,16,4,320,220
麻布,1,4,120,103,27,8,8,2,160,120
赤坂,1,3,130,118,21,6,6,2,120,130
高輪,1,4,110,102,29,9,9,3,180,110
品川,1,6,270,210,47,12,12,5,240,270
大井,1,4,200,168,44,9,9,4,180,200
荏原,1,7,230,220,45,15,15,5,300,230
大森,1,8,300,246,50,20,20,5,400,300
田園調布,1,9,300,247,59,18,18,7,360,300
蒲田,1,7,300,260,75,15,15,7,300,300
矢口,1,7,270,205,38,16,16,6,320,270
目黒,1,12,500,463,214,36,36,8,720,500
世田谷,1,18,700,703,175,50,50,12,1000,700
玉川,1,11,300,232,41,15,15,5,300,300
成城,1,7,250,273,45,20,20,4,400,250
渋谷,1,11,450,400,96,25,25,5,500,450
四谷,1,3,100,82,18,3,3,3,60,100
牛込,1,4,150,133,30,4,4,4,80,150
新宿,1,12,300,275,69,16,16,9,320,300
中野,1,8,250,194,45,16,16,7,320,250
野方,1,8,250,205,46,21,21,6,420,250
杉並,1,9,400,342,58,37,37,8,740,400
荻窪,1,7,350,260,63,16,16,5,320,350
小石川,1,6,200,177,34,8,8,3,160,200
本郷,1,6,200,189,41,7,7,3,140,200
豊島,1,7,220,230,38,9,9,3,180,220
池袋,1,6,230,208,57,12,12,3,240,230
王子,1,8,200,207,30,16,16,5,320,200
赤羽,1,7,200,192,57,18,18,3,360,200
滝野川,1,8,210,163,20,17,17,6,340,210
板橋,1,8,350,262,56,21,21,7,420,350
志村,1,10,350,315,44,27,27,10,540,350
練馬,1,8,280,253,39,17,17,4,340,280
光が丘,1,5,180,169,27,11,11,5,220,180
石神井,1,10,330,301,35,17,17,9,340,330
上野,1,8,280,254,51,16,16,7,320,280
浅草,1,4,130,111,20,5,5,3,100,130
日本堤,1,4,140,128,29,7,7,4,140,140
荒川,1,8,300,256,73,17,17,7,340,300
尾久,1,6,200,172,51,14,14,5,280,200
千住,1,8,380,323,50,17,17,8,340,380
足立,1,12,520,464,67,45,45,10,900,520
西新井,1,9,360,317,49,31,31,8,620,360
本所,1,8,300,245,35,16,16,5,320,300
向島,1,9,350,263,52,19,19,9,380,350
深川,1,10,290,261,47,20,20,6,400,290
城東,1,8,280,254,46,18,18,7,360,280
本田,1,16,700,466,98,51,51,12,1020,700
金町,1,11,500,388,80,23,23,7,460,500
江戸川,1,10,350,287,36,32,32,4,640,350
葛西,1,8,300,231,41,15,15,3,300,300
小岩,1,8,450,389,58,31,31,3,620,450
,,,,,,,,,,
注1．　現員欄中の（　）内は、女性消防団員数を内数で示しています。,,,,,,,,,,
