区分,計,国立,公立・都立・市町村立,公的・日本赤十字社・済生会・国保団体連合会等,私立・病院・,私立・診療所,その他の場所
平成29年,"698,928","53,237","83,144","38,825","517,824","5,898",0
平成30年,"726,428","55,498","85,177","42,036","538,217","5,499",1
令和元年,"731,900","57,972","84,064","42,047","542,354","5,463",0
令和2年,"625,639","46,632","66,240","36,999","471,482","4,286",0
令和3年,630287,46524,57854,38230,482377,5122,180
医療機関等の数,646,20,31,10,483,102,0
救急告示・搬送人員,"609,849",44068,55589,38063,"469,316","2,813",0
救急告示・医療機関数,311,11,22,9,262,7,0
救急告示以外・搬送人員,7701,648,162,167,4361,2183,180
救急告示以外・医療機関数,269,4,3,1,171,90,0
管轄外・搬送人員,12737,1808,2103,0,8700,126,0
管轄外・医療機関数,66,5,6,0,50,5,0
