類別,計,製造所,貯蔵所・小計,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・小計,取扱所・給油,取扱所・第１種販売,取扱所・第２種販売,取扱所・移送,取扱所・一般
平成29年度,"12,626",70,"7,941","1,748",366,"1,168","2,928",8,"1,552",171,"4,615","1,715",225,92,13,"2,570"
平成29年度（島しょ）,441,-,313,23,104,16,57,1,56,56,128,65,-,-,11,52
平成30年度,"12,599",68,"7,914","1,724",352,"1,165","2,958",7,"1,546",162,"4,617","1,690",216,91,12,"2,608"
平成30年度（島しょ）,436,-,309,23,104,17,55,1,57,52,127,64,-,-,11,52
令和元年度,"12,516",65,"7,819","1,695",345,"1,146","2,971",7,"1,497",158,"4,632","1,661",207,89,11,"2,664"
令和元年度（島しょ）,432,-,303,20,104,17,55,1,55,51,129,64,-,-,10,55
令和2年度,"12,492",64,"7,796","1,666",338,"1,141","2,970",10,"1,512",159,"4,632","1,639",197,87,11,"2,698"
令和2年度（島しょ）,435,-,304,20,105,17,54,1,55,52,131,64,-,-,10,57
令和3年度,"12,414",64,"7,759","1,650",329,"1,151","2,961",8,"1,510",150,"4,591","1,613",189,86,11,"2,692"
令和3年度（島しょ）,432,-,302,19,105,17,54,1,57,49,130,63,-,-,10,57
第一類,14,-,10,10,-,-,‐,-,‐,-,4,-,3,-,-,1
第一類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二類,12,-,12,8,-,-,-,-,4,-,-,-,-,-,-,-
第二類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第三類,4,1,3,1,-,-,-,-,2,-,-,-,-,-,-,-
第三類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第四類,"12,127",51,"7,571","1,528",327,"1,151","2,961",8,"1,446",150,"4,505","1,613",174,76,11,"2,631"
第四類（島しょ）,432,-,302,19,105,17,54,1,57,49,130,63,-,-,10,57
第五類,5,1,3,2,1,-,-,-,-,-,1,-,-,-,-,1
第五類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第六類,3,-,2,-,1,-,-,-,1,-,1,-,-,-,-,1
第六類（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
混在,249,11,158,101,-,-,-,-,57,-,80,-,12,10,-,58
混在（島しょ）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
