出火原因,死者の発生した火災件数,"死者の発生した火災件数（うち自損放火）",年齢・計,年齢・計（うち自損放火）,年齢・0～5歳,年齢・6～9歳,年齢・10～19歳,年齢・10～19歳（うち自損放火）,年齢・20～29歳,年齢・20～29歳（うち自損放火）,年齢・30～39歳,年齢・30～39歳（うち自損放火）,年齢・40～49歳,年齢・40～49歳（うち自損放火）,年齢・50～59歳,年齢・50～59歳（うち自損放火）,年齢・60～64歳,年齢・60～64歳（うち自損放火）,年齢・65～69歳,年齢・65～69歳（うち自損放火）,年齢・70～79歳,年齢・70～79歳（うち自損放火）,年齢・80歳以上,年齢・80歳以上（うち自損放火）,年齢・不明,年齢・不明（うち自損放火）
平成29年,76,14,79,14,-,-,1,-,2,-,-,-,8,2,5,2,12,4,10,2,18,3,22,-,1,1
平成30年,79,12,86,12,-,-,-,-,-,-,1,1,5,-,10,-,8,2,16,3,14,3,14,2,18,1
令和元年,95,17,108,17,1,-,-,-,1,-,5,2,9,2,13,2,14,2,12,2,27,3,26,4,-,-
令和2年,80,10,86,10,-,-,-,-,1,-,3,1,5,2,13,4,5,1,3,-,20,1,36,1,-,-
令和3年,78,13,86,-14,-,-,-,-,2,-2,3,-3,7,-2,6,-,8,-3,7,-1,22,2,31,-1,-,-
放火,16,13,17,-14,-,-,-,-,2,-2,3,-3,3,-2,1,-,3,-3,1,-1,2,2,2,-1,-,-
たばこ,13,-,15,-,-,-,-,-,-,-,-,-,2,-,2,-,2,-,-,-,4,-,5,-,-,-
電気ストーブ,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,4,-,-,-
ガステーブル等,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,2,-,-,-
石油ストーブ等,4,-,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,1,-,-,-
コード,3,-,4,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,2,-,-,-,-,-
電気冷蔵庫,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-
溶接器,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,-,-,-,-
電気こんろ,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-
ロウソク,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0,-,-,-,-,-
蚊取線香,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-
白熱灯スタンド,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-
その他,23,-,27,-,-,-,-,-,-,-,-,-,-,-,2,-,3,-,1,-,7,-,14,-,-,-
