"応援を行った消防本部",応援救急隊名,出場件数・合計,出場件数・搬送,出場件数・不搬送・小計,出場件数・不搬送・現場処置,出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,救護人員・現場処置,搬送人員（程度別）・死亡,搬送人員（程度別）・重篤,搬送人員（程度別）・重症,搬送人員（程度別）・中等症,搬送人員（程度別）・軽症
平成29年,合計,131,89,42,13,29,132,120,12,1,0,3,21,95
平成30年,合計,158,111,48,8,40,140,132,8,0,0,3,27,103
令和元年,合計,164,116,49,11,38,141,135,8,3,0,3,26,103
令和2年,合計,95,58,37,5,32,70,67,3,3,0,7,15,42
令和3年,合計,102,49,53,20,33,68,53,15,1,0,4,15,33
相模原市,相原Ａ,2,1,1,0,1,1,1,0,0,0,1,0,0
相模原市,藤野Ａ,3,3,0,0,0,3,3,0,0,0,0,3,0
川崎市,臨港Ａ,2,0,2,0,2,0,0,0,0,0,0,0,0
川崎市,殿町Ａ,5,1,4,1,3,3,2,1,0,0,0,0,2
川崎市,藤崎Ａ,3,1,2,1,1,2,1,1,0,0,0,0,1
川崎市,幸Ａ,3,1,2,0,2,1,1,0,0,0,0,0,1
川崎市,平間Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川崎市,高津Ａ,1,1,0,0,0,1,1,0,0,0,0,1,0
川崎市,久地Ａ,2,1,1,0,1,1,1,0,0,0,0,1,0
川崎市,宮前Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川崎市,向丘Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
川崎市,栗谷Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川崎市,多摩Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
横浜市,旭Ａ,1,0,1,1,0,1,0,1,0,0,0,0,0
横浜市,都岡Ａ,6,2,4,2,2,6,4,2,0,0,0,0,4
横浜市,若葉台Ａ,6,4,2,2,0,7,5,2,0,0,0,2,3
横浜市,瀬谷第２Ａ,1,0,1,1,0,1,0,1,0,0,0,0,0
横浜市,中瀬谷Ａ,2,1,1,0,1,1,1,0,0,0,0,0,1
横浜市,下瀬谷Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
横浜市,ＷＳ第１Ａ,1,0,1,1,0,1,0,1,0,0,0,0,0
横浜市,今宿Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
大和市,,0,0,0,0,0,0,0,0,0,0,0,0,0
市川市,大洲１Ａ,2,0,2,0,2,0,0,0,0,0,0,0,0
市川市,行徳１Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
市川市,南１Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
市川市,広尾１Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
市川市,国府台１Ａ,2,0,2,0,2,0,0,0,0,0,0,0,0
市川市,東１Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
市川市,東２Ａ,3,2,1,0,1,2,2,0,0,0,0,1,1
松戸市,二十世紀Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
松戸市,西口Ａ,2,0,2,0,2,0,0,0,0,0,0,0,0
浦安市,浦安２Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
浦安市,浦安今川１Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
浦安市,浦安堀江１Ａ,2,1,1,0,1,1,1,0,0,0,0,1,0
稲城市,稲城Ａ,3,0,3,0,3,0,0,0,0,0,0,0,0
三郷市,,0,0,0,0,0,0,0,0,0,0,0,0,0
草加八潮,救急八潮１,1,0,1,1,0,2,0,2,0,0,0,0,0
草加八潮,救急八潮２,1,1,0,0,0,1,1,0,0,0,0,0,1
草加八潮,救急八潮３,1,1,0,0,0,1,1,0,0,0,1,0,0
草加八潮,救急谷塚１,1,0,1,1,0,1,0,1,0,0,0,0,0
草加八潮,救急西１,1,0,1,1,0,1,0,1,0,0,0,0,0
草加八潮,救急谷塚１,1,1,0,0,0,1,1,0,0,0,1,0,0
川口市,川口南Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
川口市,南平第２Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
戸田市,救急２号車,1,0,1,1,0,1,0,1,0,0,0,0,0
戸田市,救急５号車,1,0,1,1,0,1,0,1,0,0,0,0,0
戸田市,救急６号車,1,1,0,0,0,1,1,0,0,0,0,0,1
秩父,,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉西部,救急所沢中央２,1,0,1,1,0,0,0,0,0,0,0,0,0
埼玉西部,救急三ケ島１,1,1,0,0,0,1,1,0,0,0,0,0,1
埼玉西部,救急入間２,1,1,0,0,0,1,1,0,0,0,0,1,0
埼玉県南西部,朝霞Ａ,2,2,0,0,0,2,2,0,0,0,0,1,1
埼玉県南西部,志木第１Ａ,2,2,0,0,0,2,2,0,0,0,0,2,0
埼玉県南西部,志木第２Ａ,2,2,0,0,0,2,2,0,0,0,0,1,1
埼玉県南西部,和光Ａ,5,3,2,2,0,3,3,0,0,0,0,0,3
埼玉県南西部,白子Ａ,2,1,1,1,0,1,1,0,0,0,0,1,0
埼玉県南西部,新座Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
埼玉県南西部,片山Ａ,1,1,0,0,0,1,1,0,0,0,1,0,0
埼玉県南西部,大和田Ａ,5,3,2,2,0,3,3,0,1,0,0,0,2
上野原市,,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,,0,0,0,0,0,0,0,0,0,0,0,0,0
都留市,,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,,0,0,0,0,0,0,0,0,0,0,0,0,0
海老名市,,0,0,0,0,0,0,0,0,0,0,0,0,0
