時間帯,出場件数・計,出場件数・区分・救命,出場件数・区分・搬送困難,出場件数・区分・傷害事件等,出場件数・区分・繁華街等,出場件数・区分・直近地域,出場件数・区分・遅延
平成29年,"155,000","123,138","22,591","1,534","3,481","3,096","1,160"
平成30年,"153,612","119,931","24,798","1,390","3,987","2,495","1,011"
令和元年,"152,169","118,786","25,020","1,364","3,896","2,310",793
令和2年,"128,424","100,526","22,061","1,287","2,477","1,557",516
令和3年,"134,144","104,099","23,307","1,263","2,635","1,899",941
0時台,"3,699","2,709",578,87,289,34,2
1時台,"3,095","2,205",520,79,261,27,3
2時台,"2,612","1,905",434,62,193,17,1
3時台,"2,408","1,807",359,53,173,15,1
4時台,"2,514","1,883",416,33,168,14,0
5時台,"2,963","2,187",530,49,172,25,0
6時台,"3,822","3,005",742,29,11,35,0
7時台,"5,226","4,072","1,039",34,24,51,6
8時台,"6,359","4,924","1,271",35,23,96,10
9時台,"7,406","5,672","1,552",34,13,98,37
10時台,"7,799","6,061","1,480",29,16,131,82
11時台,"7,767","6,152","1,337",29,9,157,83
12時台,"7,781","6,254","1,232",43,12,146,94
13時台,"7,127","5,646","1,215",30,18,128,90
14時台,"6,573","5,218","1,127",38,7,117,66
15時台,"6,390","5,119","1,080",34,6,103,48
16時台,"6,325","4,935","1,145",51,11,117,66
17時台,"7,018","5,649","1,112",46,23,110,78
18時台,"7,534","6,113","1,129",48,52,103,89
19時台,"7,236","5,754","1,179",68,52,99,84
20時台,"6,708","5,190","1,103",83,199,85,48
21時台,"6,077","4,539",1063,85,279,82,29
22時台,"5,268","3,872",924,94,304,64,10
23時台,"4,437","3,228",740,90,320,45,14
