政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成29年,"2,730",83,75,442,"2,130","3,126",113,92,573,"2,348","2,406",206,216,"1,984","4,746","20,431","4,812,225,813",70,714
平成30年,"2,609",58,86,423,"2,042","2,883",74,101,511,"2,197","2,151",172,169,"1,810","4,116","18,158","5,853,910,274",80,754
令和元年,"2,811",73,81,434,"2,223","3,147",92,97,553,"2,405","2,289",203,168,"1,918","4,292","18,030","7,135,079,558",103,649
令和2年,"2,598",55,72,383,"2,088","2,911",63,84,486,"2,278","2,184",155,126,"1,903","4,153","15,802","5,416,484,736",80,658
令和3年,"2,720",70,76,316,"2,258","3,082",100,93,435,"2,454","2,321",211,150,"1,960","4,363","15,292","3,952,506,761",79,605
政令用途から出火,"2,151",11,33,248,"1,859","2,251",14,39,273,"1,925","1,506",132,94,"1,280","2,483","6,607","2,622,044,481",39,431
一項・イ・劇場,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,9000,-,-
一項・イ・観覧場,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,11500,-,-
二項・ロ・遊技場,3,-,-,-,3,3,-,-,-,3,-,-,-,-,-,-,19150,-,-
三項・ロ・飲食店,40,-,-,5,35,40,-,-,5,35,3,-,-,3,5,18,"25,406,790",-,7
四項・百貨店,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,450,-,-
四項・物品販売店舗,17,-,-,1,16,17,-,-,1,16,-,-,-,-,-,-,"1,662,181",-,1
五項・イ・ホテル,6,-,-,-,6,6,-,-,-,6,-,-,-,-,-,-,19200,-,-
五項・イ・宿泊所,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"2,400",-,-
五項・イ・簡易宿泊所,4,-,-,1,3,4,-,-,1,3,5,1,-,4,5,1,489000,-,1
五項・ロ・寄宿舎,7,-,-,-,7,7,-,-,-,7,5,-,-,5,19,-,"41,800",-,2
五項・ロ・共同住宅,758,1,7,105,645,791,1,7,112,671,893,67,35,791,1454,1918,"487,563,711",20,196
六項・イ・(1)・特定病院,4,-,-,-,4,4,-,-,-,4,-,-,-,-,-,-,"354,240",-,-
六項・イ・(3)・病院（特定病院以外）,5,-,-,-,5,5,-,-,-,5,-,-,-,-,-,-,"77,300",-,1
六項・イ・(4)・診療所（患者入院施設を有しないもの）,3,-,-,1,2,3,-,-,1,2,-,-,-,-,-,-,"16,168,600",-,-
六項・ロ・(1)・有料老人ホーム（要介護者入居）,3,-,-,-,3,3,-,-,-,3,2,-,-,2,8,-,"2,269,890",-,-
六項・ロ・(1)・介護老人保健施設,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,"704,824",-,-
六項・ロ・(2)・救護施設,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"24,100",-,-
六項・ハ・(1)・軽費老人ホーム（要介護者入居以外）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,400,-,-
六項・ハ・(1)・有料老人ホーム（要介護者入居以外）,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,250,-,-
六項・ハ・(3)・保育所,3,-,-,1,2,3,-,-,1,2,-,-,-,-,-,-,176800,-,-
六項・ハ・(5)・福祉ホーム,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,900,-,-
六項・ニ・特別支援学校,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,"162,000",-,-
