用途,"防火管理者を選任し届出しなければならない防火対象物（令和3年12月末）","防火管理者を選任し届出している防火対象物（令和3年12月末）","防火管理者の選任届・解任届受理状況（令和3年中）・選任","防火管理者の選任届・解任届受理状況（令和3年中）・解任","統括防火管理者を選任し届出しなければならない防火対象物（令和3年12月末）","統括防火管理者を選任し届出している防火対象物（令和3年12月末）"
計,"110,635","105,276","62,994","49,674","44,612","31,493"
（一）・イ・劇場、映画館、演芸場又は観覧場,95,91,41,38,10,9
（一）・ロ・公会堂又は集会場,42,42,17,15,4,4
（二）・イ・キャバレー、カフェー、ナイトクラブその他これらに類するもの,33,28,6,1,16,7
（二）・ロ・遊技場又はダンスホール,386,377,153,159,24,19
（二）・ハ・その他の性風俗店舗,7,6,1,0,1,1
（二）・ニ・カラオケボックス等,169,168,84,87,8,3
"（三）・イ・待合、料理店その他これらに類するもの",44,41,5,4,1,0
（三）・ロ・飲　　　食　　　店,"3,997","3,749","1,802","1,453",692,444
（四）・百貨店、マーケットその他の物品販売業を営む店舗又は展示場,"3,954","3,748","1,973","1,689",177,134
（五）・イ・旅館、ホテル又は宿泊所,"1,559","1,510",545,466,87,81
（五）・ロ・寄宿舎、下宿又は共同住宅,"31,353","29,759","7,298","6,269",757,304
（六）・イ・（１）病院,207,207,63,53,3,2
（六）・イ・（２）有床診療所,118,115,13,13,5,2
（六）・イ・（３）病院（（六）項イ?を除く。）、有床診療所（（六）項イ?を除く。）又は有床助産所,401,397,86,89,13,13
（六）・イ・（４）無床診療所又は無床助産所,297,278,61,39,44,32
（六）・ロ・（１）老人短期入所施設、特別養護老人ホーム等,1882,1865,718,647,34,30
（六）・ロ・（２）救護施設,7,7,0,0,0,0
（六）・ロ・（３）乳児院,3,3,1,0,0,0
（六）・ロ・（４）障害児入所施設,14,14,2,2,0,0
（六）・ロ・（５）障害者支援施設等,143,139,52,35,0,0
（六）・ハ・（１）老人デイサービスセンター等,283,279,90,84,14,12
（六）・ハ・（２）更生施設,13,13,8,8,0,0
（六）・ハ・（３）助産施設、保育所等,2065,2048,705,553,21,15
（六）・ハ・（４）児童発達支援センター、情緒障害児短期治療施設等,43,43,25,16,3,3
（六）・ハ・（５）身体障害者福祉センター、障害者支援施設等,344,341,123,99,9,9
（六）・ニ・幼稚園又は特別支援学校,763,754,85,80,2,2
"（七）・小学校、中学校、高等学校、中等教育学校､高等専門学校､大学､専修学校､各種学校その他これらに類するもの",3280,3231,978,913,14,7
（八）・図書館、博物館、美術館その他これらに類するもの,266,265,73,70,1,0
"（九）・イ・公衆浴場のうち、蒸気浴場、熱気浴場その他これらに類するもの",154,151,33,31,11,10
（九）・ロ・イに掲げる公衆浴場以外の公衆浴場,291,290,12,9,1,1
（十）・車両の停車場又は船舶若しくは航空機の発着場,69,68,119,116,4,3
"(十一)・神社、寺院、教会その他これらに類するもの",1619,1581,91,75,4,2
(十二)・イ・工場又は作業場,821,797,143,134,3,2
(十二)・ロ・映画スタジオ又はテレビスタジオ,10,10,3,2,1,0
(十三)・イ・自動車車庫又は駐車場,228,219,34,32,21,16
(十三)・ロ・飛行機又は回転翼航空機の格納庫,1,1,0,0,0,0
(十四)倉庫,579,551,276,234,16,14
(十五)・①官公署,935,923,525,504,9,5
(十五)・②事務所,"7,956","7,609","6,542","4,707",582,350
(十五)・③その他の事業場,4130,3946,1605,1468,107,61
(十六)・イ特定用途を含む複合用途,34356,32289,34601,26581,25393,17799
(十六)・ロその他の複合用途,7659,7264,3803,2748,3486,1930
(十六の二)地下街,10,10,174,132,8,8
(十六の三)準地下街,0,0,17,12,3,3
(十七)文化財建造物,49,49,8,7,0,0
高層建築物,0,0,0,0,13023,10156
