地域,有人直接通報承認対象物数,無人直接通報承認対象物数,即時通報承認対象物数,緊急即時通報承認対象物数,事業所火災直接通報対象物数,救急直接通報登録世帯
平成29年,"1,100",132,"2,081","25,093",-,1584
平成30年,"1,133",141,"2,101","25,620",-,1364
令和元年,"1,149",143,"2,103","27,439",-,1162
令和2年,"1,111",142,"2,103","28,215",1267,1085
令和3年,-,-,-,-,"1,283",1011
特別区,-,-,-,-,837,750
千代田区,-,-,-,-,17,15
中央区,-,-,-,-,16,29
港区,-,-,-,-,30,1
品川区,-,-,-,-,33,5
大田区,-,-,-,-,77,64
目黒区,-,-,-,-,16,11
世田谷区,-,-,-,-,72,81
渋谷区,-,-,-,-,16,-
新宿区,-,-,-,-,22,8
中野区,-,-,-,-,29,-
杉並区,-,-,-,-,51,11
文京区,-,-,-,-,17,10
豊島区,-,-,-,-,22,165
北区,-,-,-,-,30,-
板橋区,-,-,-,-,49,-
練馬区,-,-,-,-,53,1
台東区,-,-,-,-,23,22
荒川区,-,-,-,-,23,1
足立区,-,-,-,-,66,6
墨田区,-,-,-,-,37,-
江東区,-,-,-,-,26,319
葛飾区,-,-,-,-,43,-
江戸川区,-,-,-,-,69,1
受託地区,-,-,-,-,446,261
立川市,-,-,-,-,34,21
国立市,-,-,-,-,15,7
武蔵野市,-,-,-,-,17,-
三鷹市,-,-,-,-,26,12
府中市,-,-,-,-,26,10
昭島市,-,-,-,-,15,12
調布市,-,-,-,-,13,-
小金井市,-,-,-,-,9,1
小平市,-,-,-,-,18,2
東村山市,-,-,-,-,6,9
国分寺市,-,-,-,-,16,4
狛江市,-,-,-,-,2,-
東大和市,-,-,-,-,3,2
武蔵村山市,-,-,-,-,4,11
清瀬市,-,-,-,-,11,22
東久留米市,-,-,-,-,11,12
西東京市,-,-,-,-,18,-
八王子市,-,-,-,-,61,-
青梅市,-,-,-,-,17,8
町田市,-,-,-,-,46,1
日野市,-,-,-,-,24,5
福生市,-,-,-,-,2,8
羽村市,-,-,-,-,6,19
瑞穂町,-,-,-,-,4,11
多摩市,-,-,-,-,9,-
あきる野市,-,-,-,-,18,1
日の出町,-,-,-,-,9,11
檜原村,-,-,-,-,-,-
奥多摩町,-,-,-,-,6,72
