事故種別,内容,救急搬送人員（人）,,,,
ころぶ,机・テーブル,57,,,,
ころぶ,階段,32,,,,
ころぶ,その他の家具,29,,,,
ころぶ,ベッド,23,,,,
ころぶ,椅子,23,,,,
落ちる,階段,126,,,,
落ちる,椅子,69,,,,
落ちる,自転車の補助イス,55,,,,
落ちる,滑り台,33,,,,
落ちる,人,26,,,,
ぶつかる,机・テーブル,31,,,,
ぶつかる,その他の家具,29,,,,
ぶつかる,人,17,,,,
ぶつかる,壁・天井,16,,,,
ぶつかる,ベッド,15,,,,
ものがつまる等,その他の玩具,16,,,,
ものがつまる等,薬剤等,15,,,,
ものがつまる等,ビー玉類,12,,,,
ものがつまる等,魚等の骨,10,,,,
ものがつまる等,洗剤等,10,,,,
はさむ・はさまれる,手動ドア,17,,,,
はさむ・はさまれる,自転車,9,,,,
はさむ・はさまれる,自動車のドア,6,,,,
はさむ・はさまれる,エレベーター,5,,,,
はさむ・はさまれる,滑り台,2,,,,
はさむ・はさまれる,自動ドア,2,,,,
やけど,味噌汁・スープ,14,,,,
やけど,ポット・魔法瓶,5,,,,
やけど,熱湯,4,,,,
やけど,カップ麺,3,,,,
やけど,コンセント,3,,,,
やけど,鍋,3,,,,
切る・刺さる,ハサミ・爪切り,10,,,,
切る・刺さる,歯ブラシ,9,,,,
切る・刺さる,ナイフ,7,,,,
切る・刺さる,筆記具,3,,,,
切る・刺さる,フードプロセッサー,2,,,,
かまれる・刺される,動物等,8,,,,
おぼれる,浴槽,3,,,,
